model,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
J10_PLEURA_J90,2099,0.484379399241546,0.499309312191366,0.4976562017571745,0.5006046549461708,0.5323271460410888,0.5054670881923152,"1 Pleural effusion, not elsewhere classified"
D3_ANAEMIANAS_D649,8865,0.492289492279792,0.488822271653118,0.5186282963715985,0.5216039907743747,0.5037080578953059,0.5170116933270031,"Anemia, unspecified"
I9_CORATHER_Z951,1131,0.504245622162141,0.485350894455696,0.6524228427812224,0.6507682127392556,0.6468764407370804,0.6580867086744427,Presence of aortocoronary bypass graft
G6_DISBROTHUNS_G939,448,0.453887513503645,0.457728905158248,0.5048480938995663,0.5010487790500809,0.5888415741721131,0.4905018166361146,"Disorder of brain, unspecified"
M13_MYALGIA_M791,1939,0.363191707026612,0.482454302268116,0.461657219831193,0.4267813971208699,0.5536630404274853,0.5385092039176164,Myalgia
E4_HYPERCHOL_E780,1803,0.508463898684411,0.494865178008825,0.5246091638884681,0.5348254337225886,0.549154207850803,0.5698759880718903,Pure hypercholesterolemia
H7_EYEADNEXOTH_H578,294,0.534327703850012,0.528922741109106,0.486088886676259,0.4084690732413061,0.531341264191187,0.5063815351929917,Other specified disorders of eye and adnexa
F5_DELUSIO_F22,214,0.439569928371989,0.329258183550428,0.4770508717188969,0.5236687286203406,0.4551082403816424,0.4651239639183944,1 Delusional disorders
CD2_BENIGN_CAECUM_D120,1497,0.453515120974608,0.463371239751204,0.5355405486538595,0.5362772757344222,0.5493136934708848,0.5514690001375223,Benign neoplasm of cecum
E4_OBESITYNAS_E668,629,0.491284954061542,0.528302317423785,0.5772140416300957,0.6088089221007954,0.5540783117643446,0.5950065598214418,Other obesity
U22_COVID19_CONFIRMED_U071,5844,0.472183336694665,0.498940380636279,0.5141306835947735,0.5037694197242047,0.5118299012874895,0.5081039725814753,COVID-19
BLEEDING_K920,435,0.535021843427312,0.495252073915508,0.5008264174597702,0.5039216793690761,0.4791717453734379,0.506141057201011,Hematemesis
L12_HYPERTROPHICNAS_L918,2127,0.477752893471477,0.457521960248998,0.5526745797992968,0.5486503498434392,0.442862029986437,0.4434956440477448,Other hypertrophic disorders of the skin
H7_GLAUCNAS_H409,1019,0.510096757921716,0.484268288120117,0.5037289635662279,0.5153946599293625,0.5245513763509689,0.5169625676727563,Unspecified glaucoma
