benchmark,ifeval,bbh,math,gpqa,musr,mmlu_pro
calme-3.2-instruct-78b,80.62607215521483,62.6094432829016,40.33232628398791,20.3579418344519,38.52890624999999,70.03361406619385
calme-3.1-instruct-78b,81.35547015252862,62.40968270370106,39.27492447129909,19.463087248322143,36.49947916666666,68.72229609929079
CalmeRys-78B-Orpo-v0.1,81.6327344778521,61.92476379259157,40.6344410876133,20.02237136465324,36.37213541666666,66.80149231678487
calme-2.4-rys-78b,80.10899967641413,62.15654929467119,40.70996978851964,20.3579418344519,34.56614583333333,66.690676713948
Qwen2.5-72B-Instruct-abli,85.92667455684251,60.48786941269388,60.12084592145015,19.35123042505593,12.342187500000003,50.410017730496456
Qwen2.5-72B-Instruct,86.3837949972739,61.87325566878789,59.818731117824775,16.666666666666664,11.742187500000004,51.39812352245864
calme-2.1-qwen2.5-72b,86.62360315075111,61.65570318314716,59.13897280966768,15.100671140939594,13.297135416666665,51.3242464539007
Homer-v1.0-Qwen2.5-72B,76.27716680629618,62.27406507872839,49.01812688821752,22.14765100671141,17.89947916666667,57.16976950354611
qwen2.5-test-32b-it,78.89499860370483,58.28330738049858,59.74320241691843,15.212527964205815,19.1265625,52.94954196217494
Linkbricks-Horizon-AI-Ave,79.71681804279312,57.63392862080288,60.27190332326284,14.988814317673372,18.155989583333334,53.25428486997635
calme-2.2-qwen2.5-72b,84.76763875406145,61.80360419146786,58.91238670694864,14.5413870246085,12.016666666666673,51.305777186761226
FluentlyLM-Prinum,80.9033364805383,59.48220341842799,54.003021148036254,18.232662192393736,17.259895833333335,53.42050827423167
T3Q-qwen2.5-14b-v1.0-e3,73.2396707403024,65.46659667305961,28.625377643504528,22.25950782997764,38.688020833333326,54.27009456264776
T3Q-Qwen2.5-14B-Instruct-,73.2396707403024,65.46659667305961,28.625377643504528,22.25950782997764,38.688020833333326,54.27009456264776
Qwen2.5-32B-Instruct-abli,83.34131216283905,56.53381848053764,59.5166163141994,15.659955257270694,14.928385416666664,51.35195035460993
Gilgamesh-72B,84.86006019583593,61.83602130504769,43.80664652567976,19.239373601789712,17.664062499999996,53.3558658392435
ultiima-72B,71.4012154416947,61.10313258693403,53.54984894259819,21.923937360178968,18.115104166666665,54.510195035461
zetasepic-abliteratedV2-Q,83.28136012446973,56.82740697772572,58.53474320241692,15.659955257270694,14.224479166666663,52.05378250591017
Awqward2.5-32B-Instruct,82.54697535871487,57.20733868173476,62.31117824773413,12.080536912751676,13.86953125,52.4785756501182
test-2.5-72B,84.37047035199936,62.1541268705062,41.08761329305136,18.5682326621924,20.515104166666664,53.74372044917257
shuttle-3,81.5403130360776,64.05301565117443,45.99697885196375,21.58836689038032,14.64427083333333,52.40469858156028
Qwen2.5-32B-Instruct,83.46121623957765,56.48934826159387,62.53776435045317,11.74496644295302,13.498958333333327,51.85062056737589
Mistral-Large-Instruct-24,84.00577135334247,52.7448919952634,49.546827794561935,24.94407158836689,17.216666666666665,50.687056737588655
Rombos-LLM-V2.5-Qwen-72b,71.5535889218385,61.26714504573664,54.229607250755286,19.798657718120808,17.322916666666668,54.83340721040189
Linkbricks-Horizon-AI-Ave.1,82.48702332034557,56.52792400025388,61.78247734138973,11.74496644295302,13.832291666666665,51.82291666666666
Qwen2.5-72B-Instruct-abli.1,71.52610628687438,59.912975835046495,52.41691842900303,20.917225950783,19.122916666666665,54.13157505910166
Linkbricks-Horizon-AI-Ave.2,82.08985491828349,56.18657609330364,62.2356495468278,11.297539149888143,13.661718749999997,51.915263002364064
lambda-qwen2.5-32b-dpo-te,80.83839767372794,54.40796058706255,61.027190332326285,14.205816554809845,13.328385416666665,51.739804964539005
Qwentile2.5-32B-Instruct,73.93161256576994,57.20587763688364,52.19033232628399,17.897091722595075,19.96197916666667,54.21468676122932
Rombos-LLM-V2.5-Qwen-32b,68.26631116548536,58.26189408678741,49.546827794561935,19.57494407158837,24.727083333333336,54.62101063829788
openbuddy-llama3.3-70b-v2,81.2080834408259,54.14664796972127,44.10876132930513,24.608501118568235,22.265885416666663,48.082890070921984
Linkbricks-Horizon-AI-Ave.3,75.15558717536138,56.67538301839144,54.607250755287005,14.093959731543624,20.59140625,52.91260342789597
huihui-ai-abliterated-Qwe,82.06237228331938,56.04478184089901,59.44108761329305,11.85682326621924,12.091145833333336,52.45087174940899
Linkbricks-Horizon-AI-Ave.4,76.30963620970138,56.552203892922165,53.625377643504535,14.87695749440716,19.465885416666666,52.8017878250591
ultiima-32B,68.54357549080883,58.112446786765965,49.62235649546828,17.4496644295302,24.13489583333333,54.55636820330969
RYS-XLarge,79.95662619627035,58.77356748233938,42.522658610271904,17.897091722595075,23.72109375,49.20028073286053
Qwen2.5-95B-Instruct,84.31051831363006,58.530351322851054,53.02114803625378,15.212527964205815,13.61484375,46.85468380614657
ultiima-72B-v1.5,65.49610588793291,63.438206058920265,43.957703927492446,21.81208053691276,18.536718749999995,56.153959810874696
sky-t1-coder-32b-flash,77.80090160773415,55.46594372212499,54.229607250755286,15.771812080536916,12.808854166666665,53.13423463356975
Llama-3.3-70B-Instruct,89.97581971391463,56.561410788022194,48.338368580060425,10.514541387024613,15.565625,48.12906323877069
RomboUltima-32B,66.71509372908326,56.67376969863417,53.85196374622356,16.21923937360179,21.72109375,53.20811170212767
calme-2.1-rys-78b,81.35547015252862,59.4700307859535,39.42598187311178,19.239373601789712,18.99739583333333,49.37573877068559
calme-2.3-rys-78b,80.65854155862002,59.57454695904105,39.80362537764351,20.58165548098433,16.999218749999997,49.7266548463357
calme-2.1-qwen2-72b,81.62774770941103,57.3258823447103,40.78549848942598,17.4496644295302,20.15234375,49.05252659574468
calme-2.2-rys-78b,79.86420475449586,59.268645675184494,40.70996978851964,20.917225950783,16.82864583333333,48.72931442080378
MG-FinalMix-72B,80.13648231137824,57.502411706281976,39.72809667673716,18.008948545861294,21.2171875,49.19104609929077
EVA-Qwen2.5-72B-v0.2,68.78837041272712,59.0667326828602,43.126888217522655,21.14093959731544,19.730729166666663,53.47591607565011
Qwen2-72B-Orpo-v0.1,78.79759039348927,57.41436351018751,40.55891238670695,17.897091722595075,20.87005208333333,49.49578900709219
RYS-XLarge-base,79.10233735377686,58.69214607657639,37.91540785498489,17.225950782997764,22.4171875,49.22798463356975
calme-2.2-qwen2-72b,80.08151704145003,56.79594225047665,45.31722054380665,16.554809843400445,16.516927083333332,49.27415780141844
Arcee-Nova,79.07485471881274,56.74098753952074,43.80664652567976,18.008948545861294,17.220833333333328,49.46808510638298
L3.3-MS-Nevoria-70b,69.63268571833845,56.60264873723427,39.57703927492447,29.418344519015665,18.628645833333337,50.39154846335697
Set-70b,76.42954028643999,56.88003115055037,36.40483383685801,26.174496644295303,18.961979166666666,49.3572695035461
QwentileSwap,73.78422585406722,57.67565555333628,42.220543806646525,15.659955257270694,19.20520833333333,54.95345744680851
li-14b-v0.4,81.32798751756451,50.384177102490106,55.740181268882175,11.85682326621924,16.349999999999998,46.30060579196218
tempmotacilla-cinerea-030,80.84837121061007,50.59894860885105,55.51359516616314,14.988814317673372,12.66953125,47.224069148936174
L3.3-Nevoria-R1-70b,60.23794642659256,56.16728833047952,46.299093655589125,29.194630872483216,20.19140625,49.5881353427896
Qwen2-72B-Instruct,79.89168738945996,57.48300911876294,41.76737160120846,16.33109619686801,17.167968749999996,48.92324172576833
Galactic-Qwen-14B-Exp2,66.20300801872366,59.91731650130399,34.74320241691843,19.910514541387023,28.489843749999995,52.11842494089834
BigQwen2.5-52B-Instruct,79.13480675718205,59.80960695923371,54.7583081570997,6.935123042505594,10.44609375,50.21609042553191
Llama-3.1-SauerkrautLM-70,86.56365111238182,57.24162100868165,36.933534743202415,12.192393736017896,19.38541666666666,48.16600177304965
Llama-3.1-70B-Instruct,86.6885419575615,55.92799173898473,38.06646525679759,14.205816554809845,17.691145833333334,47.87972813238771
Dracarys-72B-Instruct,78.55778224001206,56.93552010003367,39.65256797583081,18.791946308724835,16.81119791666666,49.51425827423168
Linkbricks-Horizon-AI-Ave.5,79.56444456264933,58.07744907944319,56.64652567975831,2.1252796420581683,11.179427083333335,52.44163711583924
Lamarckvergence-14B,76.55941790006072,50.32923622182769,54.003021148036254,15.100671140939594,16.336197916666666,47.593454491725765
Lix-14B-v0.1,78.13313120298585,51.473725053502925,52.94561933534743,15.99552572706935,13.422656250000005,47.93513593380615
calme-2.2-llama3.1-70b,85.92667455684251,54.20646208605566,43.65558912386707,9.955257270693512,17.06953125,49.05252659574468
NQLSG-Qwen2.5-14B-MegaFus,80.02655177152178,50.73787805937095,54.68277945619335,12.416107382550338,14.757812499999998,47.23330378250591
calme-2.3-llama3.1-70b,86.04657863358113,55.58549511699308,39.27492447129909,12.527964205816552,17.736197916666658,48.4799793144208
NQLSG-Qwen2.5-14B-MegaFus.1,78.62272104682242,50.455174757059126,53.32326283987915,14.093959731543624,15.261718749999996,47.593454491725765
orca_mini_v8_1_70b,85.7143490383294,53.51972670972081,35.27190332326284,24.3847874720358,15.996874999999998,44.25975177304965
