virtual_benchmark,claude-opus-4-20250514-th,deepseek-r1-0528,grok-3-preview-02-24,claude-sonnet-4-20250514,o4-mini-2025-04-16,mistral-medium-2505,gemma-3n-e4b-it,grok-3-mini-beta,qwen3-30b-a3b,gemini-2.5-flash,claude-opus-4-20250514,gemini-2.0-flash-001,o3-mini,claude-sonnet-4-20250514-,llama-4-maverick-03-26-ex,gemma-3-27b-it,gemini-2.5-pro,claude-3-5-sonnet-2024102,claude-3-7-sonnet-2025021,claude-3-7-sonnet-2025021,command-a-03-2025
win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.2857142857142857,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
effective_score,0.9,0.8571428571428571,0.7,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.6,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.5,0.5,0.4444444444444444,0.4,0.35714285714285715,0.35,0.3333333333333333,0.3333333333333333,0.3,0.21428571428571427,0.07142857142857142
total_games,5.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,5.0,9.0,5.0,7.0,10.0,6.0,9.0,5.0,7.0,7.0
tie_rate,0.2,0.2857142857142857,0.2,0.0,0.3333333333333333,0.14285714285714285,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.2,0.4444444444444444,0.4,0.14285714285714285,0.1,0.0,0.2222222222222222,0.2,0.14285714285714285,0.14285714285714285
creative_writing_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.2857142857142857,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
math_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.2857142857142857,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
instruction_following_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.3333333333333333,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
coding_win_rate,0.8,0.6666666666666666,0.6,1.0,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.0,0.2,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2,0.0,0.0
hard_prompt_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6,0.5,0.5,0.3333333333333333,0.4,0.4,0.2,0.2,0.4,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
longer_query_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.2857142857142857,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
multi_turn_win_rate,0.8,0.7142857142857143,0.6,0.6666666666666666,0.5,0.5714285714285714,0.6,0.5,0.5,0.5714285714285714,0.4,0.4,0.2222222222222222,0.2,0.2857142857142857,0.3,0.3333333333333333,0.2222222222222222,0.2,0.14285714285714285,0.0
