model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8683,1,1,4,1,1
gemini-2.5-pro-preview-03-25,0.6271,2,1,19,1,1
chatgpt-4o-latest-20250326,0.6051,3,2,13,2,1
grok-4-0709,0.5993,4,1,19,1,1
deepseek-r1-0528,0.565,5,2,15,2,1
grok-3-preview-02-24,0.5618,6,2,14,2,1
o3-2025-04-16,0.5581,7,2,14,2,2
llama-4-maverick-03-26-experimental,0.4716,8,2,21,2,2
gemini-2.5-flash,0.4342,9,2,21,2,2
gemini-2.5-pro-preview-05-06,0.4161,10,2,25,2,2
claude-opus-4-20250514-thinking-16k,0.3233,11,3,28,4,2
gpt-4o-2024-11-20,0.323,12,2,38,2,1
qwen3-235b-a22b-no-thinking,0.3002,13,6,28,6,3
claude-opus-4-20250514,0.2726,14,6,31,6,4
gpt-4.1-2025-04-14,0.2173,15,6,33,9,6
qwen3-235b-a22b,0.2161,16,6,34,9,4
kimi-k2-0711-preview,0.2121,17,6,36,7,2
claude-sonnet-4-20250514-thinking-32k,0.2098,18,6,35,9,6
qwen3-235b-a22b-instruct-2507,0.1681,19,2,39,2,1
mistral-medium-2505,0.1617,20,10,35,10,7
hunyuan-turbos-20250416,0.1499,21,6,38,8,2
o4-mini-2025-04-16,0.1384,22,10,36,10,8
gemini-2.5-flash-preview-04-17,0.1338,23,10,37,10,6
deepseek-v3-0324,0.1257,24,10,37,10,8
qwen-max-2025-01-25,0.0608,25,11,38,11,9
grok-3-mini-beta,0.0435,26,13,38,14,10
gpt-4.1-mini-2025-04-14,0.0272,27,13,38,14,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.0179,28,13,38,14,10
mistral-small-2506,0.0117,29,11,39,11,7
grok-3-mini-high,0.0086,30,11,39,13,10
minimax-m1,-0.0369,31,14,39,14,13
claude-sonnet-4-20250514,-0.0443,32,15,39,17,14
qwen3-30b-a3b,-0.0628,33,15,39,17,14
qwq-32b,-0.0768,34,15,40,17,14
gemma-3-27b-it,-0.0896,35,18,41,20,14
gemini-2.0-flash-thinking-exp-01-21,-0.1012,36,8,48,8,2
gemini-2.0-flash-001,-0.136,37,20,43,22,17
o3-mini,-0.1983,38,22,47,23,20
command-a-03-2025,-0.2786,39,27,47,29,22
amazon-nova-experimental-chat-05-14,-0.398,40,34,48,35,25
claude-3-5-sonnet-20241022,-0.3988,41,36,48,37,29
claude-3-7-sonnet-20250219,-0.4012,42,35,48,37,29
claude-3-7-sonnet-20250219-thinking-32k,-0.4058,43,36,48,37,31
llama-4-scout-17b-16e-instruct,-0.501,44,37,51,37,30
gemma-3n-e4b-it,-0.5205,45,37,52,38,30
magistral-medium-2506,-0.5461,46,38,52,38,34
llama-4-maverick-17b-128e-instruct,-0.5977,47,39,52,39,37
claude-3-5-haiku-20241022,-0.7484,48,43,52,43,40
gpt-4o-mini-2024-07-18,-0.7585,49,37,52,38,22
mistral-small-3.1-24b-instruct-2503,-0.8073,50,43,52,44,39
llama-3.3-70b-instruct,-0.8541,51,43,52,45,43
amazon.nova-pro-v1:0,-0.8664,52,45,52,46,43
