"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.68535622250922,1,1,42,1,1
"gemini-2.5-pro-preview-03",7.27710188582591,2,1,52,1,1
"grok-4-0709",6.71445341657759,3,1,52,1,1
"o3-2025-04-16",5.49591841316572,7,1,52,2,1
"chatgpt-4o-latest-2025032",6.17660651081022,6,1,52,1,1
"gemini-2.5-pro-preview-05",4.41884477467269,14,2,52,2,1
"deepseek-r1-0528",4.96297041307004,10,1,52,2,1
"grok-3-preview-02-24",6.51107653149763,4,1,52,1,1
"llama-4-maverick-03-26-ex",5.38205078631348,8,1,52,2,1
"gemini-2.5-flash",5.2331347575893,9,1,52,2,1
"qwen3-235b-a22b-no-thinki",4.03706805487383,16,2,52,3,1
"gemini-2.5-flash-preview-",3.49643032186097,19,3,52,4,1
"gemini-2.0-flash-thinking",2.1272090776348,27,7,52,10,1
"kimi-k2-0711-preview",4.22636954246449,15,2,52,2,1
"gpt-4.1-2025-04-14",3.90701853834025,17,2,52,3,1
"deepseek-v3-0324",2.20352537822651,26,6,52,7,1
"o4-mini-2025-04-16",2.39732885292007,25,6,52,7,1
"mistral-medium-2505",2.76073268489444,20,4,52,7,1
"gemini-2.5-flash-lite-pre",2.59757974107726,22,5,52,7,1
"qwen-max-2025-01-25",0.861655492413909,29,14,52,17,1
"hunyuan-turbos-20250416",2.42769420556068,23,5,52,7,1
"qwen3-235b-a22b",3.56554262699693,18,2,52,4,1
"minimax-m1",-0.204330638839528,34,20,52,20,1
"claude-opus-4-20250514-th",4.60326592148558,13,2,52,2,1
"qwen3-235b-a22b-instruct-",6.28135624186533,5,1,52,1,1
"gemma-3-27b-it",-0.192584766271931,33,20,52,20,1
"claude-opus-4-20250514",4.89955636108584,11,1,52,2,1
"grok-3-mini-beta",1.45113994673615,28,10,52,14,1
"grok-3-mini-high",0.79957854544211,30,14,52,18,1
"gpt-4o-2024-11-20",2.66477778126981,21,5,52,7,1
"claude-sonnet-4-20250514-",4.75120664031924,12,2,52,2,1
"gemini-2.0-flash-001",-1.32635783118066,41,23,52,28,1
"mistral-small-2506",-0.315404220074003,35,20,52,20,1
"gpt-4.1-mini-2025-04-14",0.677896631125172,31,15,52,18,1
"qwq-32b",-1.17163620005964,39,22,52,28,1
"claude-sonnet-4-20250514",2.41976045327493,24,7,52,7,1
"qwen3-30b-a3b",-0.385997485898013,36,20,52,20,1
"command-a-03-2025",-1.47049153353486,42,26,52,28,1
"o3-mini",-0.680234598805848,37,20,52,23,1
"amazon-nova-experimental-",-3.72995587787196,43,32,52,37,1
"gemma-3n-e4b-it",-12.1200961889256,47,44,52,46,1
"claude-3-7-sonnet-2025021",-0.170391047425445,32,18,52,20,1
"claude-3-5-sonnet-2024102",-1.12062192851375,38,22,52,28,1
"llama-4-maverick-17b-128e",-12.1109697403844,46,44,52,46,1
"claude-3-7-sonnet-2025021.1",-1.22475113748153,40,22,52,28,1
"llama-4-scout-17b-16e-ins",-12.1201636257393,48,44,52,46,1
"llama-3.3-70b-instruct",-13.6241154961891,51,46,52,46,1
"amazon.nova-pro-v1:0",-13.6038688877414,50,46,52,46,1
"mistral-small-3.1-24b-ins",-8.63412724198889,44,44,52,44,1
"magistral-medium-2506",-8.64150194697972,45,44,52,44,1
"claude-3-5-haiku-20241022",-13.5185910632751,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-18.6480152947194,52,52,52,52,1
