"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.38440257850973,1,1,28,1,1
"gemini-2.5-pro-preview-03",7.3123787784448,3,1,38,1,1
"grok-4-0709",6.97589327381828,4,1,41,1,1
"o3-2025-04-16",5.53468827424603,7,2,52,2,1
"chatgpt-4o-latest-2025032",7.3420570430907,2,1,41,1,1
"gemini-2.5-pro-preview-05",4.36781850882848,13,3,52,5,2
"deepseek-r1-0528",4.75371074949301,11,2,52,4,2
"grok-3-preview-02-24",6.36852060538345,5,1,52,1,1
"llama-4-maverick-03-26-ex",5.39575006349467,8,2,52,2,1
"gemini-2.5-flash",5.12730718182366,9,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.74767829025192,16,5,52,6,2
"gemini-2.5-flash-preview-",3.3059091323873,18,6,52,6,2
"gemini-2.0-flash-thinking",1.76244212734552,28,10,52,13,2
"kimi-k2-0711-preview",3.88110064427134,15,5,52,6,2
"gpt-4.1-2025-04-14",3.70547921817121,17,5,52,6,2
"deepseek-v3-0324",2.33144810298312,24,8,52,10,2
"o4-mini-2025-04-16",2.2949151309993,25,9,52,10,2
"mistral-medium-2505",2.59253738650288,21,7,52,9,2
"gemini-2.5-flash-lite-pre",2.57499271330112,22,7,52,10,2
"qwen-max-2025-01-25",0.509687362154558,29,18,52,20,1
"hunyuan-turbos-20250416",2.80827969235256,20,6,52,9,2
"qwen3-235b-a22b",3.29703763375482,19,6,52,6,2
"minimax-m1",-0.442954681798694,33,21,52,26,1
"claude-opus-4-20250514-th",4.36325519238093,14,2,52,5,2
"qwen3-235b-a22b-instruct-",5.64050963865984,6,1,52,1,1
"gemma-3-27b-it",-0.384138157996151,32,21,52,26,1
"claude-opus-4-20250514",4.86713876427171,10,2,52,2,1
"grok-3-mini-beta",1.76323968233542,27,10,52,13,2
"grok-3-mini-high",0.291594889945417,30,20,52,20,1
"gpt-4o-2024-11-20",1.92570771892051,26,10,52,12,2
"claude-sonnet-4-20250514-",4.56474218373434,12,2,52,4,2
"gemini-2.0-flash-001",-1.51626366508563,41,29,52,29,1
"mistral-small-2506",-0.627504748055392,36,23,52,26,1
"gpt-4.1-mini-2025-04-14",0.276434335250107,31,20,52,20,1
"qwq-32b",-1.8352042199304,42,29,52,29,1
"claude-sonnet-4-20250514",2.37399002010578,23,8,52,10,2
"qwen3-30b-a3b",-0.619995488618509,34,23,52,26,1
"command-a-03-2025",-1.26069946667934,39,27,52,29,1
"o3-mini",-0.902746808285819,37,26,52,29,1
"amazon-nova-experimental-",-4.30806094375314,43,39,52,42,1
"gemma-3n-e4b-it",-12.4696960832378,48,44,52,48,1
"claude-3-7-sonnet-2025021",-0.623270064197186,35,23,52,26,1
"claude-3-5-sonnet-2024102",-1.30866416774829,40,27,52,29,1
"llama-4-maverick-17b-128e",-9.438762021038,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-1.17020320959002,38,26,52,29,1
"llama-4-scout-17b-16e-ins",-9.43857921222444,44,44,52,44,1
"llama-3.3-70b-instruct",-13.6310838809557,50,48,52,48,1
"amazon.nova-pro-v1:0",-14.0633494050217,51,48,52,48,1
"mistral-small-3.1-24b-ins",-9.52086068311924,47,44,52,44,1
"magistral-medium-2506",-9.49964215485275,46,44,52,44,1
"claude-3-5-haiku-20241022",-13.6027780045839,49,48,52,48,1
"gpt-4o-mini-2024-07-18",-14.7761898504405,52,48,52,48,1
