"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",32.7677507329538,1,1,52,1,1
"gemini-2.5-pro-preview-03",30.4315893444261,3,1,52,1,1
"grok-4-0709",30.0322032823944,4,1,52,1,1
"o3-2025-04-16",27.634308009596,5,3,52,3,1
"chatgpt-4o-latest-2025032",31.376728230638,2,1,52,1,1
"gemini-2.5-pro-preview-05",-3.23950810937401,29,6,52,6,1
"deepseek-r1-0528",-3.23950810937401,29,6,52,6,1
"grok-3-preview-02-24",-3.22520656880381,6,6,52,6,1
"llama-4-maverick-03-26-ex",-3.23950810937401,29,6,52,6,1
"gemini-2.5-flash",-3.23950810937401,29,6,52,6,1
"qwen3-235b-a22b-no-thinki",-3.23950810937401,29,6,52,6,1
"gemini-2.5-flash-preview-",-3.23950810937401,29,6,52,6,1
"gemini-2.0-flash-thinking",-3.23950810937401,29,6,52,6,1
"kimi-k2-0711-preview",-3.23950810937401,29,6,52,6,1
"gpt-4.1-2025-04-14",-3.23950810937401,29,6,52,6,1
"deepseek-v3-0324",-3.23950810937401,29,6,52,6,1
"o4-mini-2025-04-16",-3.23950810937401,29,6,52,6,1
"mistral-medium-2505",-3.23950810937401,29,6,52,6,1
"gemini-2.5-flash-lite-pre",-3.23950810937401,29,6,52,6,1
"qwen-max-2025-01-25",-3.23950810937401,29,6,52,6,1
"hunyuan-turbos-20250416",-3.23950810937401,29,6,52,6,1
"qwen3-235b-a22b",-3.23950810937401,29,6,52,6,1
"minimax-m1",-3.23950810937401,29,6,52,6,1
"claude-opus-4-20250514-th",-3.23950810937401,29,6,52,6,1
"qwen3-235b-a22b-instruct-",-3.23950810937401,29,6,52,6,1
"gemma-3-27b-it",-3.23950810937401,29,6,52,6,1
"claude-opus-4-20250514",-3.23950810937401,29,6,52,6,1
"grok-3-mini-beta",-3.23950810937401,29,6,52,6,1
"grok-3-mini-high",-3.23950810937401,29,6,52,6,1
"gpt-4o-2024-11-20",-3.23950810937401,29,6,52,6,1
"claude-sonnet-4-20250514-",-3.23950810937401,29,6,52,6,1
"gemini-2.0-flash-001",-3.23950810937401,29,6,52,6,1
"mistral-small-2506",-3.23950810937401,29,6,52,6,1
"gpt-4.1-mini-2025-04-14",-3.23950810937401,29,6,52,6,1
"qwq-32b",-3.23950810937401,29,6,52,6,1
"claude-sonnet-4-20250514",-3.23950810937401,29,6,52,6,1
"qwen3-30b-a3b",-3.23950810937401,29,6,52,6,1
"command-a-03-2025",-3.23950810937401,29,6,52,6,1
"o3-mini",-3.23950810937401,29,6,52,6,1
"amazon-nova-experimental-",-3.23950810937401,29,6,52,6,1
"gemma-3n-e4b-it",-3.23950810937401,29,6,52,6,1
"claude-3-7-sonnet-2025021",-3.23950810937401,29,6,52,6,1
"claude-3-5-sonnet-2024102",-3.23950810937401,29,6,52,6,1
"llama-4-maverick-17b-128e",-3.23950810937401,29,6,52,6,1
"claude-3-7-sonnet-2025021.1",-3.23950810937401,29,6,52,6,1
"llama-4-scout-17b-16e-ins",-3.23950810937401,29,6,52,6,1
"llama-3.3-70b-instruct",-3.23950810937401,29,6,52,6,1
"amazon.nova-pro-v1:0",-3.23950810937401,29,6,52,6,1
"mistral-small-3.1-24b-ins",-3.23950810937401,29,6,52,6,1
"magistral-medium-2506",-3.23950810937401,29,6,52,6,1
"claude-3-5-haiku-20241022",-3.23950810937401,29,6,52,6,1
"gpt-4o-mini-2024-07-18",-3.23950810937401,29,6,52,6,1
