"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.98101255894042,1,1,28,1,1
"gemini-2.5-pro-preview-03",6.97185241547272,4,1,35,1,1
"grok-4-0709",7.05260858632479,3,1,35,1,1
"o3-2025-04-16",5.16794433474852,8,2,52,2,1
"chatgpt-4o-latest-2025032",7.08860259008547,2,1,39,1,1
"gemini-2.5-pro-preview-05",4.34321952768598,14,5,52,5,2
"deepseek-r1-0528",4.76729245648523,12,2,52,4,1
"grok-3-preview-02-24",6.49303606745683,5,1,41,1,1
"llama-4-maverick-03-26-ex",5.43665047220119,7,2,52,2,1
"gemini-2.5-flash",5.00078908849387,10,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.6590415815467,16,6,52,6,2
"gemini-2.5-flash-preview-",3.02632483737685,19,7,52,8,2
"gemini-2.0-flash-thinking",1.86309510855987,28,13,52,15,2
"kimi-k2-0711-preview",3.72154526433575,15,6,52,6,2
"gpt-4.1-2025-04-14",3.56088419637773,17,6,52,7,2
"deepseek-v3-0324",2.18348912830167,25,11,52,13,2
"o4-mini-2025-04-16",2.07499123162805,26,11,52,13,2
"mistral-medium-2505",2.44932978400565,22,8,52,12,2
"gemini-2.5-flash-lite-pre",2.39271745839813,24,10,52,12,2
"qwen-max-2025-01-25",0.64862814422967,29,18,52,20,2
"hunyuan-turbos-20250416",2.75815004300267,20,8,52,10,2
"qwen3-235b-a22b",3.17571836945154,18,6,52,7,2
"minimax-m1",-0.371460845060799,33,25,52,27,1
"claude-opus-4-20250514-th",4.51631237228023,13,2,52,5,2
"qwen3-235b-a22b-instruct-",5.75528472726155,6,1,52,1,1
"gemma-3-27b-it",-0.519695913549127,35,26,52,27,1
"claude-opus-4-20250514",5.1325907156278,9,2,52,2,1
"grok-3-mini-beta",1.87368528294975,27,12,52,14,2
"grok-3-mini-high",0.387448765438435,31,20,52,20,1
"gpt-4o-2024-11-20",2.41485059742925,23,8,52,12,2
"claude-sonnet-4-20250514-",4.90334623270726,11,2,52,2,1
"gemini-2.0-flash-001",-1.40385644690054,41,29,52,29,1
"mistral-small-2506",-0.524000131801095,36,26,52,27,1
"gpt-4.1-mini-2025-04-14",0.490114606854915,30,19,52,20,1
"qwq-32b",-3.58076087089095,42,40,52,41,1
"claude-sonnet-4-20250514",2.71319636545421,21,8,52,10,2
"qwen3-30b-a3b",-0.415258930979634,34,25,52,27,1
"command-a-03-2025",-0.9114526690567,39,27,52,29,1
"o3-mini",-0.74643206114429,37,27,52,29,1
"amazon-nova-experimental-",-4.45250157488704,43,42,52,42,1
"gemma-3n-e4b-it",-12.6406104481576,48,48,52,48,1
"claude-3-7-sonnet-2025021",-0.337457155211847,32,23,52,26,1
"claude-3-5-sonnet-2024102",-1.08263648928402,40,29,52,29,1
"llama-4-maverick-17b-128e",-9.30435319501434,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-0.852251875500123,38,27,52,29,1
"llama-4-scout-17b-16e-ins",-9.28926937797069,44,44,52,44,1
"llama-3.3-70b-instruct",-13.5966715383065,50,48,52,48,1
"amazon.nova-pro-v1:0",-14.3603516722984,52,48,52,48,1
"mistral-small-3.1-24b-ins",-9.38473845731575,47,44,52,44,1
"magistral-medium-2506",-9.31999668697382,46,44,52,44,1
"claude-3-5-haiku-20241022",-13.5577669828964,49,48,52,48,1
"gpt-4o-mini-2024-07-18",-14.3522295879131,51,48,52,48,1
