"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",33.2635026591925,1,1,52,1,1
"gemini-2.5-pro-preview-03",30.8067668863712,4,1,52,1,1
"grok-4-0709",31.6540647467584,3,1,52,1,1
"o3-2025-04-16",-2.3577752860116,5,5,52,5,1
"chatgpt-4o-latest-2025032",32.4162047988053,2,1,52,1,1
"gemini-2.5-pro-preview-05",-2.67622901713013,29,5,52,5,1
"deepseek-r1-0528",-2.67622901713013,29,5,52,5,1
"grok-3-preview-02-24",-2.67622901713013,29,5,52,5,1
"llama-4-maverick-03-26-ex",-2.67622901713013,29,5,52,5,1
"gemini-2.5-flash",-2.67622901713013,29,5,52,5,1
"qwen3-235b-a22b-no-thinki",-2.67622901713013,29,5,52,5,1
"gemini-2.5-flash-preview-",-2.67622901713013,29,5,52,5,1
"gemini-2.0-flash-thinking",-2.67622901713013,29,5,52,5,1
"kimi-k2-0711-preview",-2.67622901713013,29,5,52,5,1
"gpt-4.1-2025-04-14",-2.67622901713013,29,5,52,5,1
"deepseek-v3-0324",-2.67622901713013,29,5,52,5,1
"o4-mini-2025-04-16",-2.67622901713013,29,5,52,5,1
"mistral-medium-2505",-2.67622901713013,29,5,52,5,1
"gemini-2.5-flash-lite-pre",-2.67622901713013,29,5,52,5,1
"qwen-max-2025-01-25",-2.67622901713013,29,5,52,5,1
"hunyuan-turbos-20250416",-2.67622901713013,29,5,52,5,1
"qwen3-235b-a22b",-2.67622901713013,29,5,52,5,1
"minimax-m1",-2.67622901713013,29,5,52,5,1
"claude-opus-4-20250514-th",-2.67622901713013,29,5,52,5,1
"qwen3-235b-a22b-instruct-",-2.67622901713013,29,5,52,5,1
"gemma-3-27b-it",-2.67622901713013,29,5,52,5,1
"claude-opus-4-20250514",-2.67622901713013,29,5,52,5,1
"grok-3-mini-beta",-2.67622901713013,29,5,52,5,1
"grok-3-mini-high",-2.67622901713013,29,5,52,5,1
"gpt-4o-2024-11-20",-2.67622901713013,29,5,52,5,1
"claude-sonnet-4-20250514-",-2.67622901713013,29,5,52,5,1
"gemini-2.0-flash-001",-2.67622901713013,29,5,52,5,1
"mistral-small-2506",-2.67622901713013,29,5,52,5,1
"gpt-4.1-mini-2025-04-14",-2.67622901713013,29,5,52,5,1
"qwq-32b",-2.67622901713013,29,5,52,5,1
"claude-sonnet-4-20250514",-2.67622901713013,29,5,52,5,1
"qwen3-30b-a3b",-2.67622901713013,29,5,52,5,1
"command-a-03-2025",-2.67622901713013,29,5,52,5,1
"o3-mini",-2.67622901713013,29,5,52,5,1
"amazon-nova-experimental-",-2.67622901713013,29,5,52,5,1
"gemma-3n-e4b-it",-2.67622901713013,29,5,52,5,1
"claude-3-7-sonnet-2025021",-2.67622901713013,29,5,52,5,1
"claude-3-5-sonnet-2024102",-2.67622901713013,29,5,52,5,1
"llama-4-maverick-17b-128e",-2.67622901713013,29,5,52,5,1
"claude-3-7-sonnet-2025021.1",-2.67622901713013,29,5,52,5,1
"llama-4-scout-17b-16e-ins",-2.67622901713013,29,5,52,5,1
"llama-3.3-70b-instruct",-2.67622901713013,29,5,52,5,1
"amazon.nova-pro-v1:0",-2.67622901713013,29,5,52,5,1
"mistral-small-3.1-24b-ins",-2.67622901713013,29,5,52,5,1
"magistral-medium-2506",-2.67622901713013,29,5,52,5,1
"claude-3-5-haiku-20241022",-2.67622901713013,29,5,52,5,1
"gpt-4o-mini-2024-07-18",-2.67622901713013,29,5,52,5,1
