model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8982,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7559,2,1,13,1,1
grok-4-0709,0.6053,3,1,14,2,1
grok-3-preview-02-24,0.5814,4,2,13,2,2
chatgpt-4o-latest-20250326,0.58,5,2,13,2,2
deepseek-r1-0528,0.5324,6,2,14,2,2
o3-2025-04-16,0.5206,7,2,14,2,2
llama-4-maverick-03-26-experimental,0.4867,8,2,16,2,2
gemini-2.5-pro-preview-05-06,0.4693,9,2,20,2,2
gemini-2.5-flash,0.412,10,2,20,2,2
claude-opus-4-20250514-thinking-16k,0.3246,11,5,26,6,2
qwen3-235b-a22b-no-thinking,0.269,12,8,28,9,6
claude-opus-4-20250514,0.26,13,8,28,9,7
gpt-4o-2024-11-20,0.2315,14,2,38,3,1
kimi-k2-0711-preview,0.2075,15,9,33,9,5
gpt-4.1-2025-04-14,0.2042,16,9,32,11,7
gemini-2.5-flash-preview-04-17,0.1977,17,9,32,11,7
qwen3-235b-a22b-instruct-2507,0.1881,18,3,39,3,2
deepseek-v3-0324,0.1753,19,11,32,11,8
claude-sonnet-4-20250514-thinking-32k,0.1689,20,11,33,11,8
hunyuan-turbos-20250416,0.1461,21,9,36,9,3
gemini-2.0-flash-thinking-exp-01-21,0.1373,22,2,43,3,1
qwen3-235b-a22b,0.1322,23,11,36,11,9
mistral-medium-2505,0.1129,24,11,35,12,11
qwen-max-2025-01-25,0.1026,25,11,36,11,10
o4-mini-2025-04-16,0.0862,26,12,36,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.0841,27,11,36,12,11
gemma-3-27b-it,-0.0078,28,14,37,15,14
grok-3-mini-high,-0.012,29,13,39,14,11
grok-3-mini-beta,-0.0201,30,14,38,15,14
minimax-m1,-0.0274,31,14,39,15,14
claude-sonnet-4-20250514,-0.0543,32,17,39,19,14
gpt-4.1-mini-2025-04-14,-0.0824,33,18,39,19,14
mistral-small-2506,-0.0967,34,14,44,16,12
qwq-32b,-0.1042,35,19,42,19,14
gemini-2.0-flash-001,-0.1101,36,20,40,21,16
qwen3-30b-a3b,-0.2205,37,24,47,25,22
command-a-03-2025,-0.2387,38,26,47,27,24
o3-mini,-0.2656,39,27,47,29,24
claude-3-7-sonnet-20250219-thinking-32k,-0.339,40,32,47,34,29
claude-3-7-sonnet-20250219,-0.3774,41,35,48,35,30
claude-3-5-sonnet-20241022,-0.3981,42,35,48,36,32
amazon-nova-experimental-chat-05-14,-0.4046,43,35,48,35,29
llama-4-scout-17b-16e-instruct,-0.4952,44,36,50,38,32
magistral-medium-2506,-0.5092,45,36,51,38,33
gemma-3n-e4b-it,-0.5326,46,36,51,39,34
llama-4-maverick-17b-128e-instruct,-0.6168,47,41,52,42,39
gpt-4o-mini-2024-07-18,-0.6993,48,37,52,38,25
claude-3-5-haiku-20241022,-0.7628,49,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.8119,50,44,52,44,43
llama-3.3-70b-instruct,-0.8255,51,45,52,46,44
amazon.nova-pro-v1:0,-0.8577,52,46,52,47,44
