model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9404,1,1,2,1,1
gemini-2.5-pro,0.919,2,1,2,1,1
grok-4-0709,0.6328,3,3,10,3,2
chatgpt-4o-latest-20250326,0.6219,4,3,9,3,3
grok-3-preview-02-24,0.5866,5,3,10,3,3
o3-2025-04-16,0.5543,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5378,7,3,10,3,3
llama-4-maverick-03-26-experimental,0.4935,8,3,12,3,3
gemini-2.5-flash,0.4898,9,4,12,4,3
deepseek-r1-0528,0.4892,10,3,12,4,3
claude-opus-4-20250514-thinking-16k,0.2823,11,11,23,11,11
qwen3-235b-a22b-no-thinking,0.2814,12,11,23,11,11
gemini-2.5-flash-preview-04-17,0.2625,13,11,25,11,11
claude-opus-4-20250514,0.2469,14,11,25,11,11
kimi-k2-0711-preview,0.2421,15,11,27,11,11
gpt-4.1-2025-04-14,0.2412,16,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.1889,17,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1636,18,11,29,11,11
qwen3-235b-a22b,0.158,19,11,29,11,11
qwen3-235b-a22b-instruct-2507,0.1558,20,11,35,11,4
deepseek-v3-0324,0.1304,21,13,29,13,11
mistral-medium-2505,0.1297,22,13,29,14,11
o4-mini-2025-04-16,0.1087,23,15,31,16,12
hunyuan-turbos-20250416,0.106,24,11,34,11,11
gemini-2.0-flash-thinking-exp-01-21,0.0868,25,11,38,11,3
qwen-max-2025-01-25,0.0767,26,16,33,16,13
grok-3-mini-beta,0.0437,27,17,34,18,16
grok-3-mini-high,0.0276,28,17,36,17,13
gemma-3-27b-it,-0.0201,29,22,36,23,18
minimax-m1,-0.0292,30,22,37,22,18
gpt-4o-2024-11-20,-0.0398,31,13,40,16,11
claude-sonnet-4-20250514,-0.0537,32,23,37,23,22
gpt-4.1-mini-2025-04-14,-0.0605,33,23,37,23,22
qwq-32b,-0.1134,34,24,39,26,23
gemini-2.0-flash-001,-0.1381,35,26,39,26,24
mistral-small-2506,-0.1727,36,26,41,26,23
qwen3-30b-a3b,-0.1886,37,28,40,31,26
o3-mini,-0.2249,38,32,42,32,30
command-a-03-2025,-0.2694,39,32,43,33,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3364,40,34,43,36,34
claude-3-7-sonnet-20250219,-0.3446,41,34,43,36,34
amazon-nova-experimental-chat-05-14,-0.3923,42,37,45,39,34
claude-3-5-sonnet-20241022,-0.4122,43,39,46,40,36
llama-4-scout-17b-16e-instruct,-0.5637,44,42,49,42,40
gemma-3n-e4b-it,-0.5864,45,42,49,42,41
llama-4-maverick-17b-128e-instruct,-0.5935,46,44,49,44,42
magistral-medium-2506,-0.6805,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.7665,48,44,52,45,44
gpt-4o-mini-2024-07-18,-0.7753,49,44,52,44,40
llama-3.3-70b-instruct,-0.8045,50,47,52,47,44
claude-3-5-haiku-20241022,-0.808,51,47,52,47,45
amazon.nova-pro-v1:0,-0.8229,52,47,52,47,46
