model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9119,1,1,2,1,1
gemini-2.5-pro,0.9012,2,1,2,1,1
grok-4-0709,0.6434,3,3,10,3,2
chatgpt-4o-latest-20250326,0.6426,4,3,7,3,2
grok-3-preview-02-24,0.5807,5,3,10,3,3
o3-2025-04-16,0.5373,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5115,7,3,10,3,3
llama-4-maverick-03-26-experimental,0.4893,8,4,12,4,3
deepseek-r1-0528,0.4751,9,4,12,4,4
gemini-2.5-flash,0.4693,10,4,12,4,4
qwen3-235b-a22b-no-thinking,0.2806,11,11,22,11,11
claude-opus-4-20250514-thinking-16k,0.2772,12,11,22,11,11
claude-opus-4-20250514,0.2754,13,11,22,11,11
gemini-2.5-flash-preview-04-17,0.262,14,11,24,11,11
gpt-4.1-2025-04-14,0.2561,15,11,24,11,11
kimi-k2-0711-preview,0.2464,16,11,25,11,11
claude-sonnet-4-20250514-thinking-32k,0.1965,17,11,27,11,11
qwen3-235b-a22b-instruct-2507,0.185,18,11,33,11,6
gemini-2.5-flash-lite-preview-06-17-thinking,0.1724,19,11,28,11,11
qwen3-235b-a22b,0.1581,20,11,29,12,11
mistral-medium-2505,0.1339,21,14,29,16,13
deepseek-v3-0324,0.1232,22,15,29,16,12
hunyuan-turbos-20250416,0.1141,23,11,33,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1034,24,11,38,11,4
o4-mini-2025-04-16,0.1003,25,16,30,16,14
qwen-max-2025-01-25,0.0649,26,17,33,17,16
grok-3-mini-beta,0.0475,27,18,33,18,16
grok-3-mini-high,-0.0073,28,19,36,21,17
claude-sonnet-4-20250514,-0.0216,29,22,35,23,21
gemma-3-27b-it,-0.0289,30,23,36,23,21
minimax-m1,-0.0429,31,23,37,23,21
gpt-4.1-mini-2025-04-14,-0.0559,32,23,37,23,22
gpt-4o-2024-11-20,-0.0857,33,17,41,19,11
qwq-32b,-0.1524,34,27,39,28,25
gemini-2.0-flash-001,-0.1575,35,28,39,29,26
mistral-small-2506,-0.1673,36,27,41,27,23
qwen3-30b-a3b,-0.1863,37,30,41,32,26
o3-mini,-0.2263,38,32,41,32,32
command-a-03-2025,-0.2496,39,32,41,32,32
claude-3-7-sonnet-20250219,-0.3154,40,35,43,35,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3158,41,35,43,35,32
claude-3-5-sonnet-20241022,-0.3859,42,39,44,39,35
amazon-nova-experimental-chat-05-14,-0.4233,43,40,46,40,37
llama-4-scout-17b-16e-instruct,-0.5592,44,43,49,43,42
llama-4-maverick-17b-128e-instruct,-0.5801,45,43,49,43,43
gemma-3n-e4b-it,-0.6057,46,43,50,44,42
magistral-medium-2506,-0.6548,47,44,51,44,43
mistral-small-3.1-24b-instruct-2503,-0.7518,48,44,52,46,44
llama-3.3-70b-instruct,-0.7712,49,46,52,46,44
claude-3-5-haiku-20241022,-0.7909,50,46,52,47,46
gpt-4o-mini-2024-07-18,-0.7927,51,44,52,44,42
amazon.nova-pro-v1:0,-0.8309,52,47,52,48,46
