model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9339,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.9318,2,1,2,1,1
grok-4-0709,0.6667,3,2,10,3,2
chatgpt-4o-latest-20250326,0.6475,4,3,7,3,3
o3-2025-04-16,0.5538,5,3,10,3,3
grok-3-preview-02-24,0.5478,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5256,7,3,10,3,3
llama-4-maverick-03-26-experimental,0.4988,8,4,10,4,3
gemini-2.5-flash,0.4917,9,4,10,4,4
deepseek-r1-0528,0.4707,10,4,11,5,4
qwen3-235b-a22b-no-thinking,0.2951,11,11,22,11,11
claude-opus-4-20250514-thinking-16k,0.277,12,11,22,11,11
gemini-2.5-flash-preview-04-17,0.2718,13,11,23,11,11
claude-opus-4-20250514,0.2584,14,11,22,11,11
kimi-k2-0711-preview,0.2515,15,11,26,11,11
gpt-4.1-2025-04-14,0.242,16,11,24,11,11
qwen3-235b-a22b,0.2003,17,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.1803,18,11,27,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1782,19,11,29,11,11
hunyuan-turbos-20250416,0.1441,20,11,32,11,11
deepseek-v3-0324,0.1353,21,14,30,15,12
qwen3-235b-a22b-instruct-2507,0.1246,22,11,34,11,7
o4-mini-2025-04-16,0.1222,23,15,30,16,12
mistral-medium-2505,0.1175,24,16,30,16,14
qwen-max-2025-01-25,0.0887,25,16,32,17,14
gemini-2.0-flash-thinking-exp-01-21,0.0751,26,11,38,11,5
grok-3-mini-beta,0.0413,27,18,33,20,17
minimax-m1,0.0122,28,20,35,20,18
grok-3-mini-high,0.004,29,20,36,20,17
claude-sonnet-4-20250514,-0.0264,30,23,36,23,22
gemma-3-27b-it,-0.0412,31,23,37,23,23
gpt-4.1-mini-2025-04-14,-0.0714,32,25,37,25,23
gpt-4o-2024-11-20,-0.1173,33,20,41,21,12
qwq-32b,-0.1291,34,26,39,27,25
gemini-2.0-flash-001,-0.1446,35,27,39,28,26
mistral-small-2506,-0.17,36,27,41,28,25
qwen3-30b-a3b,-0.1707,37,29,39,31,27
o3-mini,-0.2128,38,32,41,32,30
command-a-03-2025,-0.2756,39,32,43,34,32
claude-3-7-sonnet-20250219,-0.3264,40,36,43,36,34
claude-3-7-sonnet-20250219-thinking-32k,-0.3348,41,36,43,37,34
claude-3-5-sonnet-20241022,-0.4007,42,38,44,39,37
amazon-nova-experimental-chat-05-14,-0.4159,43,38,45,39,36
llama-4-scout-17b-16e-instruct,-0.5514,44,42,48,43,42
llama-4-maverick-17b-128e-instruct,-0.5773,45,43,48,44,43
gemma-3n-e4b-it,-0.6131,46,44,50,44,42
magistral-medium-2506,-0.6906,47,44,52,44,44
llama-3.3-70b-instruct,-0.784,48,46,52,46,46
mistral-small-3.1-24b-instruct-2503,-0.7881,49,46,52,46,44
gpt-4o-mini-2024-07-18,-0.798,50,44,52,44,42
claude-3-5-haiku-20241022,-0.8154,51,47,52,47,46
amazon.nova-pro-v1:0,-0.8332,52,47,52,47,46
