model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.91,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8605,2,1,4,1,1
grok-4-0709,0.6241,3,2,11,2,1
grok-3-preview-02-24,0.6108,4,2,11,2,2
chatgpt-4o-latest-20250326,0.6087,5,2,11,3,2
o3-2025-04-16,0.5515,6,3,12,3,2
deepseek-r1-0528,0.5141,7,3,12,3,3
llama-4-maverick-03-26-experimental,0.5061,8,3,12,3,3
gemini-2.5-flash,0.4788,9,3,12,4,3
gemini-2.5-pro-preview-05-06,0.4682,10,3,12,3,3
claude-opus-4-20250514-thinking-16k,0.2737,11,10,25,11,10
qwen3-235b-a22b-no-thinking,0.2734,12,11,24,11,10
qwen3-235b-a22b-instruct-2507,0.255,13,6,33,7,3
claude-opus-4-20250514,0.2542,14,11,25,11,10
kimi-k2-0711-preview,0.2535,15,10,27,11,9
gpt-4.1-2025-04-14,0.245,16,11,27,11,10
gemini-2.5-flash-preview-04-17,0.2277,17,11,27,11,10
claude-sonnet-4-20250514-thinking-32k,0.178,18,11,29,11,11
qwen3-235b-a22b,0.1572,19,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1472,20,11,29,11,11
mistral-medium-2505,0.1318,21,12,29,14,11
deepseek-v3-0324,0.127,22,12,31,12,11
hunyuan-turbos-20250416,0.1146,23,11,35,11,11
o4-mini-2025-04-16,0.1001,24,14,31,15,11
gemini-2.0-flash-thinking-exp-01-21,0.0931,25,9,39,11,3
qwen-max-2025-01-25,0.0809,26,14,34,15,11
grok-3-mini-beta,0.0345,27,17,35,17,15
grok-3-mini-high,0.0218,28,17,37,17,13
gemma-3-27b-it,-0.0194,29,21,37,22,18
gpt-4o-2024-11-20,-0.026,30,11,39,13,10
minimax-m1,-0.0353,31,21,37,22,18
gpt-4.1-mini-2025-04-14,-0.0581,32,23,37,23,20
claude-sonnet-4-20250514,-0.059,33,23,37,23,22
qwq-32b,-0.1138,34,24,39,25,22
mistral-small-2506,-0.116,35,24,39,24,18
gemini-2.0-flash-001,-0.1444,36,27,39,27,24
qwen3-30b-a3b,-0.165,37,27,39,27,24
o3-mini,-0.2266,38,32,41,32,29
command-a-03-2025,-0.2627,39,32,43,32,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3528,40,36,44,37,34
claude-3-7-sonnet-20250219,-0.386,41,37,46,39,36
amazon-nova-experimental-chat-05-14,-0.4103,42,37,47,39,34
claude-3-5-sonnet-20241022,-0.4192,43,40,46,40,36
gemma-3n-e4b-it,-0.5333,44,40,49,40,39
llama-4-scout-17b-16e-instruct,-0.5681,45,41,49,42,40
llama-4-maverick-17b-128e-instruct,-0.5971,46,43,49,44,42
magistral-medium-2506,-0.6579,47,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7395,48,44,52,44,44
gpt-4o-mini-2024-07-18,-0.792,49,44,52,44,40
claude-3-5-haiku-20241022,-0.7929,50,47,52,47,44
llama-3.3-70b-instruct,-0.7944,51,47,52,47,44
amazon.nova-pro-v1:0,-0.8317,52,47,52,47,46
