model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9331,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8778,2,1,3,1,1
grok-4-0709,0.6462,3,2,10,2,2
chatgpt-4o-latest-20250326,0.5997,4,3,10,3,2
grok-3-preview-02-24,0.5724,5,3,11,3,2
o3-2025-04-16,0.5486,6,3,11,3,3
llama-4-maverick-03-26-experimental,0.5133,7,3,12,3,3
gemini-2.5-flash,0.4996,8,3,12,3,3
deepseek-r1-0528,0.494,9,3,12,3,3
gemini-2.5-pro-preview-05-06,0.468,10,3,12,3,3
qwen3-235b-a22b-no-thinking,0.2849,11,11,22,11,10
claude-opus-4-20250514-thinking-16k,0.2819,12,11,22,11,10
kimi-k2-0711-preview,0.2574,13,11,27,11,10
claude-opus-4-20250514,0.2495,14,11,25,11,11
qwen3-235b-a22b-instruct-2507,0.2412,15,7,33,7,3
gemini-2.5-flash-preview-04-17,0.2412,16,11,27,11,10
gpt-4.1-2025-04-14,0.2253,17,11,27,11,11
qwen3-235b-a22b,0.201,18,11,28,11,11
claude-sonnet-4-20250514-thinking-32k,0.1876,19,11,28,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.156,20,11,30,11,11
hunyuan-turbos-20250416,0.1269,21,11,33,11,11
o4-mini-2025-04-16,0.1145,22,14,30,14,12
deepseek-v3-0324,0.1141,23,13,30,14,11
mistral-medium-2505,0.1123,24,14,30,14,12
qwen-max-2025-01-25,0.1052,25,13,32,14,11
gemini-2.0-flash-thinking-exp-01-21,0.081,26,11,39,11,3
grok-3-mini-high,0.0313,27,17,37,17,13
grok-3-mini-beta,0.0304,28,19,35,19,16
minimax-m1,0.026,29,18,36,19,16
gemma-3-27b-it,-0.0381,30,23,37,23,20
claude-sonnet-4-20250514,-0.0463,31,23,37,24,20
gpt-4.1-mini-2025-04-14,-0.0696,32,24,38,24,21
gpt-4o-2024-11-20,-0.0841,33,16,41,18,11
qwq-32b,-0.0963,34,24,38,25,22
mistral-small-2506,-0.1311,35,26,39,26,20
gemini-2.0-flash-001,-0.1414,36,28,39,28,24
qwen3-30b-a3b,-0.1427,37,28,39,28,24
o3-mini,-0.2033,38,31,39,31,28
command-a-03-2025,-0.2861,39,33,43,34,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3539,40,37,44,38,35
claude-3-7-sonnet-20250219,-0.379,41,38,45,38,35
amazon-nova-experimental-chat-05-14,-0.4151,42,38,46,39,35
claude-3-5-sonnet-20241022,-0.4153,43,38,45,38,37
gemma-3n-e4b-it,-0.5479,44,41,49,41,39
llama-4-scout-17b-16e-instruct,-0.5627,45,41,49,42,40
llama-4-maverick-17b-128e-instruct,-0.5855,46,43,49,43,42
magistral-medium-2506,-0.6797,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7636,48,44,52,45,44
llama-3.3-70b-instruct,-0.8037,49,47,52,47,44
claude-3-5-haiku-20241022,-0.8159,50,47,52,47,47
gpt-4o-mini-2024-07-18,-0.8262,51,44,52,44,40
amazon.nova-pro-v1:0,-0.8329,52,47,52,47,47
