model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9285,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8673,2,1,3,1,1
grok-4-0709,0.6636,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6401,4,2,7,3,2
grok-3-preview-02-24,0.5619,5,3,10,3,2
o3-2025-04-16,0.5515,6,3,10,3,3
llama-4-maverick-03-26-experimental,0.5093,7,3,11,4,3
deepseek-r1-0528,0.4884,8,4,12,4,3
gemini-2.5-flash,0.4829,9,4,12,4,4
gemini-2.5-pro-preview-05-06,0.469,10,4,12,4,3
qwen3-235b-a22b-no-thinking,0.2902,11,11,22,11,10
claude-opus-4-20250514-thinking-16k,0.2696,12,11,23,11,10
claude-opus-4-20250514,0.2654,13,11,22,11,11
kimi-k2-0711-preview,0.2615,14,11,26,11,10
gemini-2.5-flash-preview-04-17,0.2452,15,11,26,11,10
gpt-4.1-2025-04-14,0.2448,16,11,26,11,11
qwen3-235b-a22b,0.2035,17,11,27,11,11
qwen3-235b-a22b-instruct-2507,0.2015,18,10,33,11,4
claude-sonnet-4-20250514-thinking-32k,0.1709,19,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.167,20,11,29,11,11
hunyuan-turbos-20250416,0.1561,21,11,31,11,11
deepseek-v3-0324,0.1329,22,13,30,14,11
mistral-medium-2505,0.1181,23,14,30,15,13
o4-mini-2025-04-16,0.1172,24,14,30,15,12
qwen-max-2025-01-25,0.0932,25,15,32,16,12
gemini-2.0-flash-thinking-exp-01-21,0.0785,26,11,38,11,5
grok-3-mini-beta,0.0336,27,18,34,19,17
minimax-m1,0.0123,28,20,35,20,17
grok-3-mini-high,-0.0034,29,19,37,20,17
claude-sonnet-4-20250514,-0.0277,30,23,37,23,20
gemma-3-27b-it,-0.0436,31,23,37,23,22
gpt-4.1-mini-2025-04-14,-0.0711,32,25,37,25,23
gpt-4o-2024-11-20,-0.1166,33,18,42,20,11
mistral-small-2506,-0.124,34,25,39,26,23
qwq-32b,-0.1313,35,26,39,27,24
qwen3-30b-a3b,-0.1499,36,28,39,28,25
gemini-2.0-flash-001,-0.1507,37,28,39,29,26
o3-mini,-0.2128,38,31,40,32,30
command-a-03-2025,-0.2712,39,32,43,32,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3479,40,37,43,38,35
claude-3-7-sonnet-20250219,-0.356,41,38,43,38,35
claude-3-5-sonnet-20241022,-0.4048,42,38,45,39,37
amazon-nova-experimental-chat-05-14,-0.4335,43,38,46,40,37
llama-4-scout-17b-16e-instruct,-0.5536,44,42,48,42,39
gemma-3n-e4b-it,-0.5731,45,42,49,43,40
llama-4-maverick-17b-128e-instruct,-0.5783,46,43,48,43,42
magistral-medium-2506,-0.6728,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7685,48,46,52,46,44
llama-3.3-70b-instruct,-0.7742,49,46,52,47,44
claude-3-5-haiku-20241022,-0.8045,50,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8125,51,44,52,44,41
amazon.nova-pro-v1:0,-0.8418,52,47,52,47,47
