model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9474,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8778,2,1,4,1,1
grok-4-0709,0.6733,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6575,4,2,7,2,2
o3-2025-04-16,0.5734,5,3,10,3,3
grok-3-preview-02-24,0.5545,6,3,10,3,3
llama-4-maverick-03-26-experimental,0.5136,7,4,10,4,3
deepseek-r1-0528,0.5001,8,4,10,4,3
gemini-2.5-flash,0.4901,9,4,10,4,4
gemini-2.5-pro-preview-05-06,0.4875,10,4,11,4,3
qwen3-235b-a22b-no-thinking,0.2983,11,11,21,11,10
kimi-k2-0711-preview,0.2647,12,11,26,11,10
claude-opus-4-20250514-thinking-16k,0.2615,13,11,24,11,11
claude-opus-4-20250514,0.2504,14,11,24,11,11
gpt-4.1-2025-04-14,0.2462,15,11,26,11,11
gemini-2.5-flash-preview-04-17,0.2461,16,11,26,11,11
qwen3-235b-a22b,0.2151,17,11,27,11,11
hunyuan-turbos-20250416,0.1833,18,11,30,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.1674,19,11,30,11,11
deepseek-v3-0324,0.1592,20,12,30,12,11
claude-sonnet-4-20250514-thinking-32k,0.1423,21,12,30,12,11
qwen3-235b-a22b-instruct-2507,0.1401,22,11,37,11,6
o4-mini-2025-04-16,0.1309,23,12,30,14,12
mistral-medium-2505,0.1157,24,14,30,15,12
qwen-max-2025-01-25,0.099,25,14,32,15,12
gemini-2.0-flash-thinking-exp-01-21,0.0539,26,11,39,11,5
grok-3-mini-beta,0.0304,27,18,35,18,17
minimax-m1,0.0232,28,18,35,18,17
grok-3-mini-high,-0.0008,29,18,37,19,17
claude-sonnet-4-20250514,-0.0425,30,24,37,25,23
gemma-3-27b-it,-0.0428,31,24,37,24,23
gpt-4.1-mini-2025-04-14,-0.08,32,25,38,25,23
gpt-4o-2024-11-20,-0.1094,33,18,41,20,11
mistral-small-2506,-0.1141,34,25,39,25,22
qwq-32b,-0.1218,35,25,39,26,25
gemini-2.0-flash-001,-0.1389,36,27,39,27,25
qwen3-30b-a3b,-0.1512,37,27,39,27,25
o3-mini,-0.2175,38,31,39,32,29
command-a-03-2025,-0.2813,39,32,42,34,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3676,40,37,44,38,36
claude-3-7-sonnet-20250219,-0.3715,41,37,44,38,36
amazon-nova-experimental-chat-05-14,-0.4217,42,38,47,38,36
claude-3-5-sonnet-20241022,-0.4248,43,39,46,39,37
llama-4-scout-17b-16e-instruct,-0.5481,44,41,48,42,39
gemma-3n-e4b-it,-0.5716,45,42,48,42,40
llama-4-maverick-17b-128e-instruct,-0.5843,46,43,48,43,42
magistral-medium-2506,-0.6962,47,44,52,44,43
llama-3.3-70b-instruct,-0.7793,48,47,52,47,44
gpt-4o-mini-2024-07-18,-0.7888,49,44,52,44,40
mistral-small-3.1-24b-instruct-2503,-0.7908,50,46,52,47,44
claude-3-5-haiku-20241022,-0.8137,51,47,52,47,46
amazon.nova-pro-v1:0,-0.8443,52,47,52,47,47
