model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9273,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8615,2,1,4,1,1
chatgpt-4o-latest-20250326,0.6716,3,2,7,2,2
grok-4-0709,0.6548,4,2,10,2,1
grok-3-preview-02-24,0.5876,5,3,10,3,2
o3-2025-04-16,0.5779,6,3,10,3,2
deepseek-r1-0528,0.5194,7,4,11,4,3
llama-4-maverick-03-26-experimental,0.507,8,4,11,4,3
gemini-2.5-pro-preview-05-06,0.4895,9,4,12,4,3
gemini-2.5-flash,0.4702,10,4,12,4,4
qwen3-235b-a22b-no-thinking,0.2893,11,11,23,11,10
gpt-4.1-2025-04-14,0.2658,12,11,25,11,10
kimi-k2-0711-preview,0.2617,13,11,27,11,9
claude-opus-4-20250514,0.255,14,11,25,11,11
claude-opus-4-20250514-thinking-16k,0.2526,15,11,26,11,11
gemini-2.5-flash-preview-04-17,0.2341,16,11,27,11,11
hunyuan-turbos-20250416,0.1764,17,11,31,11,10
qwen3-235b-a22b,0.1757,18,11,29,11,11
deepseek-v3-0324,0.1746,19,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1606,20,11,29,11,11
qwen3-235b-a22b-instruct-2507,0.1458,21,11,36,11,5
mistral-medium-2505,0.1338,22,12,29,14,11
claude-sonnet-4-20250514-thinking-32k,0.1306,23,12,29,12,11
o4-mini-2025-04-16,0.1192,24,14,30,14,12
qwen-max-2025-01-25,0.0755,25,15,34,17,12
gemini-2.0-flash-thinking-exp-01-21,0.0587,26,11,39,11,4
grok-3-mini-beta,0.0344,27,17,34,18,15
grok-3-mini-high,-0.0116,28,17,37,19,15
gemma-3-27b-it,-0.026,29,23,37,23,19
minimax-m1,-0.0331,30,23,37,23,18
claude-sonnet-4-20250514,-0.0532,31,23,37,24,23
gpt-4o-2024-11-20,-0.0611,32,14,41,17,11
gpt-4.1-mini-2025-04-14,-0.0708,33,24,37,24,23
mistral-small-2506,-0.0992,34,24,39,24,19
qwq-32b,-0.1403,35,26,39,26,24
gemini-2.0-flash-001,-0.1415,36,26,39,26,25
qwen3-30b-a3b,-0.1721,37,26,39,27,26
o3-mini,-0.24,38,32,42,32,29
command-a-03-2025,-0.2594,39,32,42,32,30
claude-3-7-sonnet-20250219-thinking-32k,-0.3677,40,36,46,36,35
claude-3-7-sonnet-20250219,-0.3767,41,36,46,36,36
amazon-nova-experimental-chat-05-14,-0.4176,42,38,47,39,36
claude-3-5-sonnet-20241022,-0.4295,43,40,46,40,37
llama-4-scout-17b-16e-instruct,-0.5515,44,40,49,42,40
gemma-3n-e4b-it,-0.5598,45,40,49,42,40
llama-4-maverick-17b-128e-instruct,-0.5944,46,43,50,44,42
magistral-medium-2506,-0.676,47,44,52,44,42
gpt-4o-mini-2024-07-18,-0.7531,48,42,52,44,39
llama-3.3-70b-instruct,-0.7681,49,45,52,47,44
mistral-small-3.1-24b-instruct-2503,-0.7705,50,44,52,46,44
claude-3-5-haiku-20241022,-0.7933,51,47,52,47,44
amazon.nova-pro-v1:0,-0.844,52,47,52,47,47
