model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9032,1,1,3,1,1
gemini-2.5-pro,0.8866,2,1,3,1,1
grok-4-0709,0.6121,3,2,12,2,1
chatgpt-4o-latest-20250326,0.5847,4,2,12,3,2
grok-3-preview-02-24,0.5598,5,3,13,3,2
gemini-2.5-pro-preview-05-06,0.5547,6,3,14,3,2
o3-2025-04-16,0.4988,7,3,14,3,3
llama-4-maverick-03-26-experimental,0.4658,8,3,15,3,3
deepseek-r1-0528,0.4648,9,3,15,3,3
gemini-2.5-flash,0.4395,10,3,15,3,3
claude-opus-4-20250514-thinking-16k,0.3374,11,5,21,7,4
claude-opus-4-20250514,0.2726,12,11,26,11,7
qwen3-235b-a22b-no-thinking,0.2708,13,11,26,11,7
gemini-2.5-flash-preview-04-17,0.2665,14,8,27,11,5
claude-sonnet-4-20250514-thinking-32k,0.2394,15,11,28,11,7
gpt-4.1-2025-04-14,0.2082,16,11,29,11,11
kimi-k2-0711-preview,0.1993,17,11,31,11,8
gemini-2.0-flash-thinking-exp-01-21,0.1517,18,3,41,6,2
qwen3-235b-a22b-instruct-2507,0.1414,19,7,37,8,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1331,20,12,33,12,11
qwen3-235b-a22b,0.126,21,12,33,12,11
deepseek-v3-0324,0.1217,22,12,33,12,11
mistral-medium-2505,0.118,23,12,33,14,11
gpt-4o-2024-11-20,0.1086,24,8,41,10,3
o4-mini-2025-04-16,0.0826,25,14,34,14,12
qwen-max-2025-01-25,0.08,26,13,34,14,11
hunyuan-turbos-20250416,0.0776,27,11,36,12,11
grok-3-mini-beta,0.0181,28,16,36,17,14
grok-3-mini-high,0.0006,29,16,37,16,12
gemma-3-27b-it,-0.0171,30,17,36,18,16
claude-sonnet-4-20250514,-0.0183,31,17,36,18,17
minimax-m1,-0.0339,32,17,37,18,16
gpt-4.1-mini-2025-04-14,-0.0643,33,19,39,22,17
qwq-32b,-0.1267,34,23,41,24,18
gemini-2.0-flash-001,-0.1308,35,23,41,24,21
mistral-small-2506,-0.2157,36,24,43,25,22
qwen3-30b-a3b,-0.2377,37,28,43,30,24
o3-mini,-0.2397,38,29,43,30,25
command-a-03-2025,-0.2405,39,29,43,30,25
claude-3-7-sonnet-20250219,-0.2784,40,31,45,32,27
claude-3-7-sonnet-20250219-thinking-32k,-0.2785,41,31,45,32,27
claude-3-5-sonnet-20241022,-0.3565,42,35,46,36,31
amazon-nova-experimental-chat-05-14,-0.3992,43,36,48,36,31
llama-4-scout-17b-16e-instruct,-0.5189,44,41,49,42,35
magistral-medium-2506,-0.5596,45,42,50,42,37
llama-4-maverick-17b-128e-instruct,-0.5911,46,43,50,43,42
gemma-3n-e4b-it,-0.632,47,43,52,43,42
gpt-4o-mini-2024-07-18,-0.7495,48,42,52,43,35
claude-3-5-haiku-20241022,-0.783,49,45,52,45,44
mistral-small-3.1-24b-instruct-2503,-0.7971,50,44,52,45,44
llama-3.3-70b-instruct,-0.8235,51,46,52,47,44
amazon.nova-pro-v1:0,-0.8315,52,47,52,47,44
