model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9001,1,1,3,1,1
gemini-2.5-pro,0.8965,2,1,3,1,1
grok-4-0709,0.633,3,2,11,2,1
chatgpt-4o-latest-20250326,0.5577,4,3,12,3,2
grok-3-preview-02-24,0.5283,5,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5126,6,3,13,3,3
llama-4-maverick-03-26-experimental,0.4777,7,3,13,3,3
o3-2025-04-16,0.4749,8,3,13,3,3
gemini-2.5-flash,0.4646,9,3,13,3,3
deepseek-r1-0528,0.4307,10,3,17,3,3
claude-opus-4-20250514-thinking-16k,0.348,11,6,21,6,4
claude-opus-4-20250514,0.2851,12,10,23,11,9
claude-sonnet-4-20250514-thinking-32k,0.282,13,10,24,10,6
gemini-2.5-flash-preview-04-17,0.2764,14,10,24,10,6
qwen3-235b-a22b-no-thinking,0.2757,15,10,24,11,9
qwen3-235b-a22b-instruct-2507,0.2245,16,4,34,5,3
kimi-k2-0711-preview,0.2105,17,11,31,11,10
gpt-4.1-2025-04-14,0.1881,18,11,30,11,11
qwen3-235b-a22b,0.1772,19,11,31,12,11
gemini-2.0-flash-thinking-exp-01-21,0.1482,20,5,38,7,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1478,21,12,31,12,11
qwen-max-2025-01-25,0.1046,22,14,33,15,12
mistral-medium-2505,0.0969,23,16,33,16,14
o4-mini-2025-04-16,0.0861,24,16,33,16,14
deepseek-v3-0324,0.0706,25,16,34,16,14
hunyuan-turbos-20250416,0.066,26,12,35,13,11
minimax-m1,0.0361,27,16,34,16,16
grok-3-mini-beta,0.0209,28,16,35,17,16
claude-sonnet-4-20250514,0.0149,29,17,35,19,16
grok-3-mini-high,0.0108,30,16,37,16,14
gpt-4o-2024-11-20,-0.0061,31,12,42,12,6
gemma-3-27b-it,-0.0441,32,20,38,20,19
gpt-4.1-mini-2025-04-14,-0.0667,33,21,38,21,19
qwq-32b,-0.1178,34,23,41,24,20
gemini-2.0-flash-001,-0.1469,35,26,41,28,24
qwen3-30b-a3b,-0.1913,36,28,42,29,24
o3-mini,-0.2004,37,28,42,31,27
mistral-small-2506,-0.2312,38,29,43,30,24
command-a-03-2025,-0.2619,39,32,43,32,29
claude-3-7-sonnet-20250219-thinking-32k,-0.2652,40,32,43,32,30
claude-3-7-sonnet-20250219,-0.2672,41,32,43,32,30
claude-3-5-sonnet-20241022,-0.336,42,35,44,35,32
amazon-nova-experimental-chat-05-14,-0.4257,43,38,48,38,34
llama-4-scout-17b-16e-instruct,-0.5278,44,42,48,42,37
llama-4-maverick-17b-128e-instruct,-0.5666,45,43,49,43,43
magistral-medium-2506,-0.5732,46,43,49,43,41
gemma-3n-e4b-it,-0.6396,47,43,52,43,43
mistral-small-3.1-24b-instruct-2503,-0.789,48,45,52,46,44
claude-3-5-haiku-20241022,-0.8031,49,46,52,47,45
llama-3.3-70b-instruct,-0.8209,50,47,52,47,45
amazon.nova-pro-v1:0,-0.8299,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8358,52,44,52,44,42
