model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8966,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.885,2,1,3,1,1
grok-4-0709,0.6567,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6137,4,3,8,3,2
grok-3-preview-02-24,0.5229,5,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5067,6,3,12,3,3
o3-2025-04-16,0.4897,7,3,12,3,3
llama-4-maverick-03-26-experimental,0.4778,8,3,13,3,3
gemini-2.5-flash,0.4498,9,4,13,4,3
deepseek-r1-0528,0.4344,10,4,15,4,3
claude-opus-4-20250514-thinking-16k,0.3201,11,7,23,9,6
claude-opus-4-20250514,0.2985,12,10,23,11,8
qwen3-235b-a22b-no-thinking,0.2845,13,11,23,11,9
gemini-2.5-flash-preview-04-17,0.2749,14,10,23,11,7
claude-sonnet-4-20250514-thinking-32k,0.2433,15,11,27,11,10
kimi-k2-0711-preview,0.2234,16,11,27,11,10
gpt-4.1-2025-04-14,0.2194,17,11,27,11,11
qwen3-235b-a22b,0.1842,18,11,30,11,11
qwen3-235b-a22b-instruct-2507,0.1793,19,8,33,10,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1633,20,11,31,12,11
gemini-2.0-flash-thinking-exp-01-21,0.1386,21,6,38,9,3
hunyuan-turbos-20250416,0.111,22,11,33,12,11
mistral-medium-2505,0.1068,23,15,31,15,14
deepseek-v3-0324,0.1012,24,15,32,15,14
o4-mini-2025-04-16,0.0944,25,15,32,16,14
qwen-max-2025-01-25,0.0893,26,15,33,15,13
grok-3-mini-beta,0.0266,27,18,33,19,16
claude-sonnet-4-20250514,0.0266,28,18,33,19,17
minimax-m1,0.0164,29,18,34,19,16
grok-3-mini-high,-0.0287,30,19,38,20,17
gemma-3-27b-it,-0.0497,31,21,37,23,20
gpt-4o-2024-11-20,-0.0575,32,15,42,16,11
gpt-4.1-mini-2025-04-14,-0.0687,33,23,38,24,20
gemini-2.0-flash-001,-0.1566,34,28,41,28,25
qwq-32b,-0.1571,35,27,41,29,24
qwen3-30b-a3b,-0.1921,36,29,42,29,26
mistral-small-2506,-0.2059,37,29,42,29,24
o3-mini,-0.2121,38,30,42,30,28
command-a-03-2025,-0.2481,39,32,42,32,29
claude-3-7-sonnet-20250219,-0.2589,40,32,43,32,29
claude-3-7-sonnet-20250219-thinking-32k,-0.2723,41,32,43,32,30
claude-3-5-sonnet-20241022,-0.3363,42,35,44,35,32
amazon-nova-experimental-chat-05-14,-0.4468,43,41,48,42,36
llama-4-scout-17b-16e-instruct,-0.5221,44,42,48,43,40
llama-4-maverick-17b-128e-instruct,-0.5612,45,43,48,43,43
magistral-medium-2506,-0.5818,46,43,50,43,42
gemma-3n-e4b-it,-0.6576,47,43,52,43,43
llama-3.3-70b-instruct,-0.7806,48,46,52,46,44
claude-3-5-haiku-20241022,-0.791,49,46,52,47,46
mistral-small-3.1-24b-instruct-2503,-0.7921,50,46,52,46,44
gpt-4o-mini-2024-07-18,-0.8165,51,44,52,44,42
amazon.nova-pro-v1:0,-0.8416,52,47,52,47,46
