model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.8693,1,1,4,1,1
gemini-2.5-pro,0.8683,2,1,3,1,1
grok-4-0709,0.6331,3,2,11,2,1
chatgpt-4o-latest-20250326,0.6252,4,2,8,2,2
grok-3-preview-02-24,0.558,5,3,12,3,2
gemini-2.5-pro-preview-05-06,0.5113,6,3,12,3,2
o3-2025-04-16,0.4875,7,3,12,4,3
llama-4-maverick-03-26-experimental,0.4662,8,4,13,4,3
deepseek-r1-0528,0.4505,9,4,14,4,3
gemini-2.5-flash,0.422,10,4,15,4,4
claude-opus-4-20250514-thinking-16k,0.3139,11,7,22,9,5
claude-opus-4-20250514,0.3082,12,9,22,10,7
qwen3-235b-a22b-no-thinking,0.2724,13,11,23,11,9
gemini-2.5-flash-preview-04-17,0.2643,14,10,25,11,7
gpt-4.1-2025-04-14,0.2398,15,11,26,11,10
claude-sonnet-4-20250514-thinking-32k,0.2369,16,11,27,11,10
kimi-k2-0711-preview,0.2165,17,11,28,11,9
qwen3-235b-a22b-instruct-2507,0.1891,18,6,33,8,3
gemini-2.0-flash-thinking-exp-01-21,0.1581,19,6,39,6,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1543,20,11,30,13,11
qwen3-235b-a22b,0.1343,21,13,31,13,11
mistral-medium-2505,0.1273,22,14,30,14,12
deepseek-v3-0324,0.114,23,14,32,14,12
hunyuan-turbos-20250416,0.0966,24,11,33,13,11
o4-mini-2025-04-16,0.0773,25,16,33,17,14
qwen-max-2025-01-25,0.0608,26,16,33,17,14
grok-3-mini-beta,0.0305,27,17,33,18,16
claude-sonnet-4-20250514,0.0198,28,18,34,18,17
gpt-4o-2024-11-20,0.0091,29,11,42,11,6
gemma-3-27b-it,-0.031,30,20,36,21,18
grok-3-mini-high,-0.044,31,18,39,19,17
minimax-m1,-0.0535,32,21,38,22,18
gpt-4.1-mini-2025-04-14,-0.0568,33,22,38,22,18
gemini-2.0-flash-001,-0.1605,34,27,41,28,23
qwq-32b,-0.1824,35,27,42,28,23
mistral-small-2506,-0.1969,36,28,42,28,23
command-a-03-2025,-0.2191,37,29,42,31,26
qwen3-30b-a3b,-0.2211,38,29,42,31,26
o3-mini,-0.2377,39,31,42,31,28
claude-3-7-sonnet-20250219,-0.253,40,32,43,32,28
claude-3-7-sonnet-20250219-thinking-32k,-0.2619,41,32,43,32,29
claude-3-5-sonnet-20241022,-0.3321,42,34,45,34,32
amazon-nova-experimental-chat-05-14,-0.4442,43,40,48,42,33
llama-4-scout-17b-16e-instruct,-0.5242,44,42,48,43,41
magistral-medium-2506,-0.5512,45,43,50,43,42
llama-4-maverick-17b-128e-instruct,-0.5721,46,43,49,43,43
gemma-3n-e4b-it,-0.6507,47,43,52,43,43
claude-3-5-haiku-20241022,-0.7648,48,46,52,47,44
llama-3.3-70b-instruct,-0.768,49,46,52,47,44
mistral-small-3.1-24b-instruct-2503,-0.7682,50,45,52,46,44
gpt-4o-mini-2024-07-18,-0.7792,51,43,52,43,40
amazon.nova-pro-v1:0,-0.8422,52,47,52,47,47
