model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8889,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8837,2,1,4,1,1
chatgpt-4o-latest-20250326,0.6475,3,2,7,2,2
grok-4-0709,0.6437,4,2,10,2,1
grok-3-preview-02-24,0.5474,5,3,11,3,2
gemini-2.5-pro-preview-05-06,0.5397,6,3,11,3,2
o3-2025-04-16,0.5116,7,3,11,3,3
llama-4-maverick-03-26-experimental,0.4683,8,4,13,4,3
deepseek-r1-0528,0.463,9,4,13,4,3
gemini-2.5-flash,0.4265,10,4,16,4,4
claude-opus-4-20250514-thinking-16k,0.3068,11,8,24,9,7
claude-opus-4-20250514,0.2913,12,10,24,11,8
qwen3-235b-a22b-no-thinking,0.2822,13,11,24,11,8
gemini-2.5-flash-preview-04-17,0.2667,14,10,25,11,7
gpt-4.1-2025-04-14,0.2414,15,11,27,11,10
kimi-k2-0711-preview,0.2167,16,11,28,11,8
claude-sonnet-4-20250514-thinking-32k,0.2026,17,11,28,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1543,18,11,30,11,11
deepseek-v3-0324,0.1483,19,11,30,13,11
qwen3-235b-a22b,0.1443,20,11,30,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1349,21,6,40,8,3
hunyuan-turbos-20250416,0.1288,22,11,33,11,9
mistral-medium-2505,0.125,23,14,31,14,11
qwen3-235b-a22b-instruct-2507,0.1034,24,10,38,11,4
o4-mini-2025-04-16,0.0928,25,15,33,15,13
qwen-max-2025-01-25,0.0657,26,15,33,16,13
grok-3-mini-beta,0.0258,27,16,35,17,16
gpt-4o-2024-11-20,0.0246,28,11,41,11,6
claude-sonnet-4-20250514,0.0033,29,18,36,18,16
gemma-3-27b-it,-0.0289,30,21,36,22,17
minimax-m1,-0.0438,31,22,37,22,17
grok-3-mini-high,-0.0439,32,18,39,20,16
gpt-4.1-mini-2025-04-14,-0.0673,33,22,38,23,18
gemini-2.0-flash-001,-0.1455,34,26,41,27,23
qwq-32b,-0.1728,35,26,42,27,23
mistral-small-2506,-0.189,36,25,43,27,22
command-a-03-2025,-0.2281,37,29,43,30,27
qwen3-30b-a3b,-0.2289,38,28,43,29,27
o3-mini,-0.2461,39,30,43,31,28
claude-3-7-sonnet-20250219,-0.2659,40,31,43,32,28
claude-3-7-sonnet-20250219-thinking-32k,-0.2839,41,31,43,32,30
claude-3-5-sonnet-20241022,-0.3534,42,33,46,35,31
amazon-nova-experimental-chat-05-14,-0.4287,43,36,48,40,33
llama-4-scout-17b-16e-instruct,-0.5139,44,42,48,42,35
magistral-medium-2506,-0.5711,45,42,51,43,42
llama-4-maverick-17b-128e-instruct,-0.5793,46,43,50,43,42
gemma-3n-e4b-it,-0.654,47,43,52,43,43
gpt-4o-mini-2024-07-18,-0.7437,48,43,52,43,35
claude-3-5-haiku-20241022,-0.7736,49,46,52,46,44
llama-3.3-70b-instruct,-0.7738,50,45,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7986,51,45,52,46,44
amazon.nova-pro-v1:0,-0.8451,52,47,52,47,46
