model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8609,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7463,2,1,11,1,1
grok-3-preview-02-24,0.5947,3,2,13,2,2
grok-4-0709,0.5917,4,1,14,1,1
chatgpt-4o-latest-20250326,0.55,5,2,13,2,2
deepseek-r1-0528,0.5012,6,2,14,2,2
llama-4-maverick-03-26-experimental,0.481,7,2,15,2,2
o3-2025-04-16,0.4801,8,2,14,2,2
gemini-2.5-pro-preview-05-06,0.4292,9,2,21,2,2
gemini-2.5-flash,0.4062,10,2,20,4,2
claude-opus-4-20250514-thinking-16k,0.3349,11,5,22,5,2
qwen3-235b-a22b-instruct-2507,0.3147,12,2,34,2,1
claude-opus-4-20250514,0.2942,13,7,26,9,5
qwen3-235b-a22b-no-thinking,0.2524,14,9,27,9,6
claude-sonnet-4-20250514-thinking-32k,0.2337,15,9,28,9,5
kimi-k2-0711-preview,0.208,16,9,32,9,5
gpt-4.1-2025-04-14,0.2061,17,10,29,10,8
gemini-2.5-flash-preview-04-17,0.2033,18,9,29,10,7
gpt-4o-2024-11-20,0.1883,19,3,39,4,2
gemini-2.0-flash-thinking-exp-01-21,0.1732,20,3,41,3,1
mistral-medium-2505,0.1181,21,12,34,13,10
qwen3-235b-a22b,0.1173,22,11,35,12,10
deepseek-v3-0324,0.1138,23,12,34,12,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.0929,24,12,35,13,10
qwen-max-2025-01-25,0.0889,25,12,36,13,10
hunyuan-turbos-20250416,0.0874,26,11,37,11,5
o4-mini-2025-04-16,0.0599,27,14,36,14,12
grok-3-mini-beta,-0.0059,28,15,38,16,14
grok-3-mini-high,-0.0137,29,14,39,15,12
gemma-3-27b-it,-0.0152,30,16,38,17,14
claude-sonnet-4-20250514,-0.0167,31,17,37,17,14
minimax-m1,-0.0464,32,17,39,18,14
gpt-4.1-mini-2025-04-14,-0.0615,33,18,39,18,15
mistral-small-2506,-0.1222,34,18,42,18,14
qwq-32b,-0.1318,35,21,42,22,17
gemini-2.0-flash-001,-0.1396,36,22,41,25,19
qwen3-30b-a3b,-0.2076,37,25,44,25,21
command-a-03-2025,-0.2206,38,28,44,28,24
o3-mini,-0.2475,39,29,46,29,24
claude-3-7-sonnet-20250219-thinking-32k,-0.2949,40,32,47,32,27
claude-3-7-sonnet-20250219,-0.3395,41,33,47,33,31
claude-3-5-sonnet-20241022,-0.3543,42,34,47,34,32
amazon-nova-experimental-chat-05-14,-0.4342,43,35,48,37,32
magistral-medium-2506,-0.4835,44,37,50,39,32
llama-4-scout-17b-16e-instruct,-0.5171,45,40,50,40,35
gemma-3n-e4b-it,-0.5413,46,40,51,40,35
llama-4-maverick-17b-128e-instruct,-0.5993,47,43,51,43,40
claude-3-5-haiku-20241022,-0.7479,48,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7576,49,44,52,44,43
gpt-4o-mini-2024-07-18,-0.7702,50,41,52,42,33
llama-3.3-70b-instruct,-0.8084,51,45,52,46,44
amazon.nova-pro-v1:0,-0.8517,52,48,52,48,44
