model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9085,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7927,2,1,6,1,1
grok-4-0709,0.6339,3,1,12,2,1
chatgpt-4o-latest-20250326,0.5448,4,2,12,2,2
grok-3-preview-02-24,0.5331,5,2,13,2,2
llama-4-maverick-03-26-experimental,0.4967,6,2,14,2,2
o3-2025-04-16,0.4846,7,2,14,3,2
deepseek-r1-0528,0.4697,8,2,14,3,2
gemini-2.5-flash,0.4526,9,3,15,3,2
gemini-2.5-pro-preview-05-06,0.4356,10,3,21,3,2
claude-opus-4-20250514-thinking-16k,0.3421,11,4,23,6,3
qwen3-235b-a22b-instruct-2507,0.2849,12,3,34,3,2
claude-opus-4-20250514,0.2804,13,10,24,10,6
qwen3-235b-a22b-no-thinking,0.2756,14,10,25,10,6
claude-sonnet-4-20250514-thinking-32k,0.245,15,10,29,10,6
gemini-2.5-flash-preview-04-17,0.2284,16,10,29,10,8
kimi-k2-0711-preview,0.2204,17,10,31,10,5
qwen3-235b-a22b,0.1973,18,10,31,11,10
gpt-4.1-2025-04-14,0.1781,19,11,31,11,10
gemini-2.0-flash-thinking-exp-01-21,0.1395,20,3,40,4,2
qwen-max-2025-01-25,0.1285,21,11,35,12,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.1166,22,12,35,12,11
hunyuan-turbos-20250416,0.1116,23,11,37,11,7
deepseek-v3-0324,0.0932,24,13,35,14,11
o4-mini-2025-04-16,0.0898,25,14,35,14,12
mistral-medium-2505,0.0859,26,14,35,14,12
minimax-m1,0.0635,27,14,36,14,12
gpt-4o-2024-11-20,0.0436,28,10,42,11,3
grok-3-mini-high,0.0073,29,14,38,15,12
claude-sonnet-4-20250514,-0.0004,30,16,37,18,15
grok-3-mini-beta,-0.0061,31,16,37,18,14
gemma-3-27b-it,-0.0483,32,19,38,19,16
gpt-4.1-mini-2025-04-14,-0.0807,33,19,39,21,18
qwq-32b,-0.0998,34,19,40,21,18
gemini-2.0-flash-001,-0.1367,35,24,41,25,19
mistral-small-2506,-0.1457,36,20,42,24,16
qwen3-30b-a3b,-0.1625,37,25,42,26,22
o3-mini,-0.205,38,28,43,29,25
command-a-03-2025,-0.2681,39,31,44,31,27
claude-3-7-sonnet-20250219-thinking-32k,-0.306,40,32,46,33,31
claude-3-7-sonnet-20250219,-0.3338,41,33,47,34,32
claude-3-5-sonnet-20241022,-0.3583,42,34,47,35,32
amazon-nova-experimental-chat-05-14,-0.4397,43,37,48,39,33
llama-4-scout-17b-16e-instruct,-0.5145,44,39,49,40,35
magistral-medium-2506,-0.5396,45,40,50,40,36
gemma-3n-e4b-it,-0.5665,46,41,51,41,37
llama-4-maverick-17b-128e-instruct,-0.5767,47,43,50,43,41
claude-3-5-haiku-20241022,-0.7937,48,45,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7967,49,44,52,45,43
llama-3.3-70b-instruct,-0.8225,50,46,52,47,44
gpt-4o-mini-2024-07-18,-0.833,51,43,52,43,39
amazon.nova-pro-v1:0,-0.8497,52,47,52,48,44
