model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9062,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7914,2,1,5,1,1
grok-4-0709,0.6641,3,1,10,2,1
chatgpt-4o-latest-20250326,0.6184,4,2,11,2,2
grok-3-preview-02-24,0.5253,5,2,12,2,2
o3-2025-04-16,0.5012,6,2,12,3,2
llama-4-maverick-03-26-experimental,0.4932,7,2,12,3,2
deepseek-r1-0528,0.4661,8,3,13,3,2
gemini-2.5-pro-preview-05-06,0.4434,9,3,18,3,2
gemini-2.5-flash,0.4358,10,4,15,4,2
claude-opus-4-20250514-thinking-16k,0.3084,11,8,23,8,5
claude-opus-4-20250514,0.2981,12,9,23,10,7
qwen3-235b-a22b-no-thinking,0.2861,13,9,25,10,8
gemini-2.5-flash-preview-04-17,0.2371,14,10,27,11,8
kimi-k2-0711-preview,0.234,15,10,28,10,7
gpt-4.1-2025-04-14,0.2195,16,11,28,11,10
qwen3-235b-a22b-instruct-2507,0.2153,17,5,34,5,2
claude-sonnet-4-20250514-thinking-32k,0.2039,18,11,28,11,10
qwen3-235b-a22b,0.2019,19,11,28,11,10
hunyuan-turbos-20250416,0.1616,20,11,33,11,7
gemini-2.5-flash-lite-preview-06-17-thinking,0.1429,21,11,31,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1277,22,5,39,7,2
deepseek-v3-0324,0.1273,23,13,31,14,11
qwen-max-2025-01-25,0.1043,24,14,34,14,11
mistral-medium-2505,0.1008,25,14,33,14,14
o4-mini-2025-04-16,0.0998,26,14,33,14,12
minimax-m1,0.0337,27,15,36,16,14
claude-sonnet-4-20250514,0.0177,28,19,35,19,15
grok-3-mini-beta,0.0063,29,19,37,19,14
gpt-4o-2024-11-20,-0.0287,30,11,42,13,7
grok-3-mini-high,-0.0433,31,19,39,19,14
gemma-3-27b-it,-0.0546,32,21,38,23,19
gpt-4.1-mini-2025-04-14,-0.0806,33,23,39,24,19
mistral-small-2506,-0.1317,34,23,42,25,19
gemini-2.0-flash-001,-0.1517,35,26,41,27,24
qwq-32b,-0.1539,36,25,41,27,23
qwen3-30b-a3b,-0.1695,37,27,41,29,24
o3-mini,-0.2192,38,29,42,30,28
command-a-03-2025,-0.2489,39,30,42,31,28
claude-3-7-sonnet-20250219-thinking-32k,-0.3063,40,32,44,32,31
claude-3-7-sonnet-20250219,-0.3083,41,32,44,32,31
claude-3-5-sonnet-20241022,-0.3539,42,34,46,37,32
amazon-nova-experimental-chat-05-14,-0.4641,43,38,48,40,35
llama-4-scout-17b-16e-instruct,-0.5102,44,40,48,42,37
magistral-medium-2506,-0.5569,45,42,51,42,39
llama-4-maverick-17b-128e-instruct,-0.5674,46,43,50,43,42
gemma-3n-e4b-it,-0.6035,47,43,51,43,40
llama-3.3-70b-instruct,-0.7719,48,45,52,46,44
claude-3-5-haiku-20241022,-0.7808,49,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7984,50,45,52,46,44
gpt-4o-mini-2024-07-18,-0.8071,51,43,52,43,39
amazon.nova-pro-v1:0,-0.8608,52,48,52,48,46
