model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8699,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7544,2,1,9,1,1
grok-4-0709,0.6343,3,1,12,1,1
chatgpt-4o-latest-20250326,0.6341,4,2,11,2,2
grok-3-preview-02-24,0.5717,5,2,11,2,2
o3-2025-04-16,0.4996,6,2,13,2,2
deepseek-r1-0528,0.4906,7,2,13,2,2
llama-4-maverick-03-26-experimental,0.4805,8,2,14,2,2
gemini-2.5-pro-preview-05-06,0.4397,9,2,20,4,2
gemini-2.5-flash,0.3979,10,4,20,5,3
claude-opus-4-20250514,0.311,11,8,24,9,5
claude-opus-4-20250514-thinking-16k,0.299,12,8,25,9,5
qwen3-235b-a22b-no-thinking,0.2704,13,9,25,9,8
gpt-4.1-2025-04-14,0.2461,14,9,27,9,9
qwen3-235b-a22b-instruct-2507,0.2319,15,4,34,6,2
kimi-k2-0711-preview,0.2256,16,9,28,9,7
gemini-2.5-flash-preview-04-17,0.2186,17,9,27,11,9
claude-sonnet-4-20250514-thinking-32k,0.1912,18,11,28,11,9
hunyuan-turbos-20250416,0.1492,19,9,34,11,6
gemini-2.0-flash-thinking-exp-01-21,0.1491,20,4,41,6,2
deepseek-v3-0324,0.1479,21,11,31,12,11
qwen3-235b-a22b,0.1408,22,11,33,12,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.1285,23,12,34,12,11
mistral-medium-2505,0.1266,24,12,33,13,11
o4-mini-2025-04-16,0.0783,25,14,34,14,12
qwen-max-2025-01-25,0.0691,26,14,34,14,12
gpt-4o-2024-11-20,0.0664,27,9,41,9,3
grok-3-mini-beta,0.0088,28,16,36,18,15
claude-sonnet-4-20250514,0.0087,29,17,36,18,15
gemma-3-27b-it,-0.0297,30,18,37,20,16
minimax-m1,-0.0548,31,20,38,21,16
grok-3-mini-high,-0.0648,32,18,39,19,15
gpt-4.1-mini-2025-04-14,-0.0668,33,21,38,22,18
mistral-small-2506,-0.1123,34,21,41,22,16
gemini-2.0-flash-001,-0.156,35,25,41,26,23
qwq-32b,-0.1868,36,26,42,28,23
qwen3-30b-a3b,-0.2045,37,28,42,29,24
command-a-03-2025,-0.2102,38,28,42,29,24
o3-mini,-0.2537,39,30,43,31,27
claude-3-7-sonnet-20250219-thinking-32k,-0.2973,40,32,46,32,28
claude-3-7-sonnet-20250219,-0.3085,41,32,46,32,31
claude-3-5-sonnet-20241022,-0.3508,42,33,47,34,31
amazon-nova-experimental-chat-05-14,-0.4622,43,39,48,40,33
llama-4-scout-17b-16e-instruct,-0.5112,44,40,51,41,34
magistral-medium-2506,-0.5138,45,40,51,40,34
llama-4-maverick-17b-128e-instruct,-0.5824,46,43,51,43,42
gemma-3n-e4b-it,-0.5873,47,42,51,43,40
claude-3-5-haiku-20241022,-0.7458,48,44,52,45,43
llama-3.3-70b-instruct,-0.7534,49,44,52,45,43
gpt-4o-mini-2024-07-18,-0.7551,50,42,52,43,33
mistral-small-3.1-24b-instruct-2503,-0.7689,51,44,52,45,43
amazon.nova-pro-v1:0,-0.8637,52,48,52,48,47
