model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9469,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8063,2,1,9,1,1
grok-4-0709,0.651,3,2,12,2,1
chatgpt-4o-latest-20250326,0.5688,4,2,12,2,2
o3-2025-04-16,0.5206,5,2,14,2,2
grok-3-preview-02-24,0.5154,6,2,14,2,2
llama-4-maverick-03-26-experimental,0.5035,7,2,14,2,2
deepseek-r1-0528,0.4916,8,2,15,2,2
gemini-2.5-pro-preview-05-06,0.4699,9,2,20,3,2
gemini-2.5-flash,0.4637,10,2,17,3,2
claude-opus-4-20250514-thinking-16k,0.3341,11,4,25,6,3
qwen3-235b-a22b-no-thinking,0.2923,12,9,27,10,5
claude-opus-4-20250514,0.2497,13,10,29,10,10
gemini-2.5-flash-preview-04-17,0.2271,14,10,29,10,7
qwen3-235b-a22b,0.2214,15,10,29,11,8
kimi-k2-0711-preview,0.2212,16,10,30,10,4
claude-sonnet-4-20250514-thinking-32k,0.191,17,11,30,11,10
gpt-4.1-2025-04-14,0.173,18,11,30,11,10
qwen3-235b-a22b-instruct-2507,0.1723,19,4,38,5,2
hunyuan-turbos-20250416,0.1654,20,10,36,11,3
qwen-max-2025-01-25,0.1453,21,11,34,11,10
deepseek-v3-0324,0.1434,22,11,34,11,11
o4-mini-2025-04-16,0.1155,23,12,34,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1113,24,11,36,12,11
gemini-2.0-flash-thinking-exp-01-21,0.1081,25,3,41,5,2
minimax-m1,0.092,26,12,36,13,11
mistral-medium-2505,0.0761,27,13,36,14,12
gpt-4o-2024-11-20,0.0668,28,9,40,10,3
grok-3-mini-high,0.0118,29,13,38,14,11
grok-3-mini-beta,-0.0176,30,16,38,17,14
claude-sonnet-4-20250514,-0.0292,31,17,38,19,14
gemma-3-27b-it,-0.046,32,19,38,20,15
qwq-32b,-0.0736,33,19,39,20,14
gpt-4.1-mini-2025-04-14,-0.1003,34,22,39,23,18
gemini-2.0-flash-001,-0.1114,35,23,39,25,19
mistral-small-2506,-0.1271,36,19,43,21,14
qwen3-30b-a3b,-0.168,37,25,42,26,22
o3-mini,-0.2144,38,26,44,28,25
command-a-03-2025,-0.2896,39,30,47,32,28
claude-3-7-sonnet-20250219-thinking-32k,-0.3423,40,34,47,34,30
claude-3-7-sonnet-20250219,-0.3649,41,34,48,34,30
claude-3-5-sonnet-20241022,-0.3949,42,35,48,36,33
amazon-nova-experimental-chat-05-14,-0.4149,43,34,48,36,30
llama-4-scout-17b-16e-instruct,-0.4963,44,39,48,39,34
gemma-3n-e4b-it,-0.5611,45,39,51,40,35
magistral-medium-2506,-0.572,46,40,52,40,36
llama-4-maverick-17b-128e-instruct,-0.5888,47,42,50,42,39
gpt-4o-mini-2024-07-18,-0.7867,48,40,52,41,34
claude-3-5-haiku-20241022,-0.8115,49,45,52,46,44
llama-3.3-70b-instruct,-0.84,50,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.8496,51,45,52,46,44
amazon.nova-pro-v1:0,-0.8551,52,47,52,48,44
