model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9353,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8013,2,1,5,1,1
grok-4-0709,0.6803,3,1,10,2,1
chatgpt-4o-latest-20250326,0.6441,4,2,9,2,2
o3-2025-04-16,0.5305,5,2,12,2,2
grok-3-preview-02-24,0.5107,6,2,12,3,2
llama-4-maverick-03-26-experimental,0.4984,7,2,13,3,2
deepseek-r1-0528,0.4825,8,3,14,3,2
gemini-2.5-pro-preview-05-06,0.4706,9,2,17,3,2
gemini-2.5-flash,0.4423,10,4,16,4,3
claude-opus-4-20250514-thinking-16k,0.2994,11,8,25,9,6
qwen3-235b-a22b-no-thinking,0.2991,12,9,25,9,7
claude-opus-4-20250514,0.2765,13,10,26,10,8
gemini-2.5-flash-preview-04-17,0.2375,14,10,28,11,9
kimi-k2-0711-preview,0.2361,15,9,28,10,6
qwen3-235b-a22b,0.2209,16,11,28,11,9
gpt-4.1-2025-04-14,0.2193,17,11,28,11,10
hunyuan-turbos-20250416,0.2081,18,8,32,9,5
deepseek-v3-0324,0.169,19,11,31,11,11
claude-sonnet-4-20250514-thinking-32k,0.1588,20,11,31,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1414,21,11,32,11,11
o4-mini-2025-04-16,0.12,22,12,32,14,11
qwen3-235b-a22b-instruct-2507,0.1185,23,8,38,10,3
qwen-max-2025-01-25,0.1153,24,11,33,13,11
gemini-2.0-flash-thinking-exp-01-21,0.0982,25,5,41,8,2
mistral-medium-2505,0.0948,26,14,33,14,12
minimax-m1,0.0536,27,14,36,14,14
grok-3-mini-beta,-0.0017,28,18,37,18,14
claude-sonnet-4-20250514,-0.0023,29,18,37,19,16
gpt-4o-2024-11-20,-0.0138,30,11,42,11,6
grok-3-mini-high,-0.0448,31,18,39,19,14
gemma-3-27b-it,-0.0539,32,22,38,22,19
gpt-4.1-mini-2025-04-14,-0.0951,33,25,39,25,20
mistral-small-2506,-0.1157,34,23,41,23,17
gemini-2.0-flash-001,-0.1337,35,25,39,26,23
qwq-32b,-0.1395,36,25,41,25,22
qwen3-30b-a3b,-0.1736,37,26,41,27,25
o3-mini,-0.2277,38,28,43,29,27
command-a-03-2025,-0.263,39,29,44,30,28
claude-3-7-sonnet-20250219,-0.3291,40,33,46,33,30
claude-3-7-sonnet-20250219-thinking-32k,-0.3349,41,33,46,34,31
claude-3-5-sonnet-20241022,-0.3815,42,36,48,36,32
amazon-nova-experimental-chat-05-14,-0.4475,43,37,48,39,34
llama-4-scout-17b-16e-instruct,-0.4963,44,40,48,40,36
llama-4-maverick-17b-128e-instruct,-0.5758,45,43,49,43,42
magistral-medium-2506,-0.583,46,42,51,42,38
gemma-3n-e4b-it,-0.6029,47,42,51,43,40
gpt-4o-mini-2024-07-18,-0.7694,48,42,52,43,36
llama-3.3-70b-instruct,-0.7801,49,45,52,46,44
claude-3-5-haiku-20241022,-0.7931,50,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.8376,51,46,52,46,44
amazon.nova-pro-v1:0,-0.8663,52,48,52,48,46
