model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8984,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7614,2,1,9,1,1
chatgpt-4o-latest-20250326,0.6656,3,2,10,2,2
grok-4-0709,0.6492,4,1,11,1,1
grok-3-preview-02-24,0.5593,5,2,13,2,2
o3-2025-04-16,0.532,6,2,13,2,2
deepseek-r1-0528,0.5124,7,2,13,2,2
llama-4-maverick-03-26-experimental,0.485,8,2,15,3,2
gemini-2.5-pro-preview-05-06,0.4706,9,2,19,2,2
gemini-2.5-flash,0.4008,10,4,20,4,3
claude-opus-4-20250514,0.2881,11,9,24,9,7
claude-opus-4-20250514-thinking-16k,0.288,12,9,27,9,6
qwen3-235b-a22b-no-thinking,0.2836,13,9,26,9,7
gpt-4.1-2025-04-14,0.2487,14,9,27,10,8
kimi-k2-0711-preview,0.2272,15,9,28,9,7
gemini-2.5-flash-preview-04-17,0.2168,16,10,27,11,9
hunyuan-turbos-20250416,0.2,17,8,34,9,4
deepseek-v3-0324,0.197,18,11,28,11,9
qwen3-235b-a22b,0.1545,19,11,33,11,11
claude-sonnet-4-20250514-thinking-32k,0.1392,20,11,33,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1257,21,11,34,11,11
qwen3-235b-a22b-instruct-2507,0.125,22,8,38,9,2
mistral-medium-2505,0.1234,23,12,33,13,11
gemini-2.0-flash-thinking-exp-01-21,0.1136,24,5,41,7,2
o4-mini-2025-04-16,0.0989,25,13,34,14,11
gpt-4o-2024-11-20,0.091,26,8,39,10,2
qwen-max-2025-01-25,0.0773,27,13,34,14,11
grok-3-mini-beta,-0.0002,28,16,36,18,15
claude-sonnet-4-20250514,-0.0152,29,18,36,18,15
gemma-3-27b-it,-0.0264,30,18,37,18,15
minimax-m1,-0.0411,31,18,38,18,15
grok-3-mini-high,-0.0691,32,18,39,18,15
gpt-4.1-mini-2025-04-14,-0.082,33,22,39,24,18
mistral-small-2506,-0.0921,34,18,41,21,15
gemini-2.0-flash-001,-0.1361,35,24,41,25,22
qwq-32b,-0.1735,36,25,42,25,23
qwen3-30b-a3b,-0.2128,37,27,44,27,25
command-a-03-2025,-0.2218,38,28,44,28,25
o3-mini,-0.2675,39,29,45,30,28
claude-3-7-sonnet-20250219-thinking-32k,-0.3302,40,33,47,33,30
claude-3-7-sonnet-20250219,-0.332,41,31,47,33,30
claude-3-5-sonnet-20241022,-0.3824,42,34,47,36,32
amazon-nova-experimental-chat-05-14,-0.4433,43,36,48,39,32
llama-4-scout-17b-16e-instruct,-0.4951,44,39,48,40,34
magistral-medium-2506,-0.5358,45,40,51,40,35
gemma-3n-e4b-it,-0.5855,46,41,51,42,38
llama-4-maverick-17b-128e-instruct,-0.5932,47,43,51,43,40
gpt-4o-mini-2024-07-18,-0.7026,48,39,52,40,29
claude-3-5-haiku-20241022,-0.7563,49,44,52,45,44
llama-3.3-70b-instruct,-0.7596,50,44,52,45,43
mistral-small-3.1-24b-instruct-2503,-0.8088,51,45,52,46,43
amazon.nova-pro-v1:0,-0.8699,52,48,52,48,45
