model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9241,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8292,2,1,6,1,1
chatgpt-4o-latest-20250326,0.6459,3,2,10,2,2
grok-4-0709,0.634,4,2,10,2,1
o3-2025-04-16,0.6052,5,2,10,2,2
grok-3-preview-02-24,0.598,6,2,10,2,2
deepseek-r1-0528,0.5456,7,2,11,3,2
gemini-2.5-flash,0.5077,8,3,11,3,2
llama-4-maverick-03-26-experimental,0.5072,9,3,11,3,2
gemini-2.5-pro-preview-05-06,0.4719,10,3,13,3,2
qwen3-235b-a22b-no-thinking,0.299,11,10,25,10,10
kimi-k2-0711-preview,0.2659,12,10,29,10,7
gpt-4.1-2025-04-14,0.2579,13,10,28,11,10
claude-opus-4-20250514-thinking-16k,0.255,14,10,28,11,10
claude-opus-4-20250514,0.2365,15,11,28,11,10
qwen3-235b-a22b,0.2098,16,11,29,11,10
gemini-2.5-flash-preview-04-17,0.2042,17,11,29,11,10
qwen3-235b-a22b-instruct-2507,0.1711,18,8,37,10,3
claude-sonnet-4-20250514-thinking-32k,0.1568,19,11,32,11,11
mistral-medium-2505,0.1532,20,11,30,12,11
hunyuan-turbos-20250416,0.1471,21,11,36,11,10
o4-mini-2025-04-16,0.1445,22,11,32,12,11
deepseek-v3-0324,0.1358,23,12,32,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1282,24,11,32,12,11
qwen-max-2025-01-25,0.0684,25,12,36,15,12
grok-3-mini-beta,0.0657,26,15,36,16,12
grok-3-mini-high,0.0402,27,14,37,16,11
gpt-4o-2024-11-20,-0.0019,28,11,39,11,8
gpt-4.1-mini-2025-04-14,-0.0195,29,19,37,21,16
minimax-m1,-0.0274,30,19,38,21,16
gemma-3-27b-it,-0.0549,31,23,38,23,19
mistral-small-2506,-0.0577,32,18,38,21,15
gemini-2.0-flash-thinking-exp-01-21,-0.0689,33,11,43,11,5
claude-sonnet-4-20250514,-0.0803,34,23,38,23,22
qwq-32b,-0.0874,35,23,38,23,19
qwen3-30b-a3b,-0.0931,36,23,38,23,21
gemini-2.0-flash-001,-0.1428,37,26,39,26,23
o3-mini,-0.2,38,28,40,29,26
command-a-03-2025,-0.2964,39,35,44,35,31
amazon-nova-experimental-chat-05-14,-0.3897,40,36,47,38,35
claude-3-7-sonnet-20250219-thinking-32k,-0.4121,41,37,47,38,36
claude-3-7-sonnet-20250219,-0.4209,42,37,47,38,37
claude-3-5-sonnet-20241022,-0.4509,43,38,47,38,37
gemma-3n-e4b-it,-0.5229,44,39,49,39,37
llama-4-scout-17b-16e-instruct,-0.5727,45,39,49,40,38
llama-4-maverick-17b-128e-instruct,-0.5964,46,40,49,43,39
magistral-medium-2506,-0.7221,47,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7565,48,44,52,44,43
gpt-4o-mini-2024-07-18,-0.785,49,40,52,43,38
claude-3-5-haiku-20241022,-0.8025,50,46,52,47,44
llama-3.3-70b-instruct,-0.8117,51,46,52,47,44
amazon.nova-pro-v1:0,-0.8345,52,47,52,47,45
