model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.8987,1,1,3,1,1
gemini-2.5-pro,0.8926,2,1,2,1,1
grok-4-0709,0.6262,3,2,10,3,1
chatgpt-4o-latest-20250326,0.616,4,3,10,3,2
grok-3-preview-02-24,0.5863,5,3,10,3,2
o3-2025-04-16,0.5474,6,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5029,7,3,11,3,3
gemini-2.5-flash,0.4958,8,3,11,3,3
llama-4-maverick-03-26-experimental,0.4851,9,3,11,3,3
deepseek-r1-0528,0.482,10,3,11,4,3
claude-opus-4-20250514-thinking-16k,0.2858,11,11,23,11,10
qwen3-235b-a22b-no-thinking,0.285,12,11,23,11,10
claude-opus-4-20250514,0.267,13,11,24,11,11
gemini-2.5-flash-preview-04-17,0.2474,14,11,25,11,11
gpt-4.1-2025-04-14,0.2472,15,11,25,11,11
kimi-k2-0711-preview,0.2451,16,11,28,11,10
claude-sonnet-4-20250514-thinking-32k,0.232,17,11,26,11,11
qwen3-235b-a22b-instruct-2507,0.2128,18,7,33,11,3
qwen3-235b-a22b,0.1795,19,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1509,20,11,29,11,11
mistral-medium-2505,0.1477,21,12,29,14,11
o4-mini-2025-04-16,0.114,22,14,30,14,12
deepseek-v3-0324,0.081,23,16,33,17,14
hunyuan-turbos-20250416,0.0791,24,11,36,14,11
grok-3-mini-beta,0.0736,25,17,33,17,14
qwen-max-2025-01-25,0.0572,26,17,34,18,14
grok-3-mini-high,0.0317,27,18,36,18,14
gemini-2.0-flash-thinking-exp-01-21,0.0239,28,11,41,11,6
gpt-4.1-mini-2025-04-14,-0.0151,29,21,37,21,18
claude-sonnet-4-20250514,-0.0332,30,22,37,22,20
minimax-m1,-0.0404,31,22,38,22,20
gpt-4o-2024-11-20,-0.0478,32,13,41,16,11
gemma-3-27b-it,-0.0509,33,22,37,22,21
qwq-32b,-0.1164,34,24,39,26,22
qwen3-30b-a3b,-0.1312,35,25,39,26,24
mistral-small-2506,-0.1531,36,26,41,26,22
gemini-2.0-flash-001,-0.1636,37,28,39,29,25
o3-mini,-0.1943,38,31,41,32,25
command-a-03-2025,-0.2739,39,32,43,33,32
claude-3-7-sonnet-20250219,-0.3322,40,35,43,36,34
claude-3-7-sonnet-20250219-thinking-32k,-0.3365,41,35,43,37,34
claude-3-5-sonnet-20241022,-0.3912,42,37,45,37,36
amazon-nova-experimental-chat-05-14,-0.4041,43,37,46,39,35
llama-4-scout-17b-16e-instruct,-0.5775,44,43,49,43,41
llama-4-maverick-17b-128e-instruct,-0.5785,45,43,49,43,42
gemma-3n-e4b-it,-0.588,46,43,49,43,41
magistral-medium-2506,-0.6826,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7353,48,44,52,44,44
claude-3-5-haiku-20241022,-0.7973,49,47,52,47,45
llama-3.3-70b-instruct,-0.8045,50,47,52,47,45
amazon.nova-pro-v1:0,-0.8212,51,47,52,47,45
gpt-4o-mini-2024-07-18,-0.8251,52,44,52,44,42
