model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9144,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.9103,2,1,3,1,1
grok-4-0709,0.6465,3,2,10,3,1
chatgpt-4o-latest-20250326,0.607,4,3,9,3,3
grok-3-preview-02-24,0.5536,5,3,10,3,3
o3-2025-04-16,0.5449,6,3,10,3,3
gemini-2.5-flash,0.5134,7,3,11,3,3
gemini-2.5-pro-preview-05-06,0.4996,8,3,11,3,3
llama-4-maverick-03-26-experimental,0.4934,9,3,11,3,3
deepseek-r1-0528,0.4658,10,4,11,4,3
qwen3-235b-a22b-no-thinking,0.2944,11,11,22,11,10
claude-opus-4-20250514-thinking-16k,0.2925,12,11,22,11,9
claude-opus-4-20250514,0.2618,13,11,22,11,11
gemini-2.5-flash-preview-04-17,0.258,14,11,24,11,11
kimi-k2-0711-preview,0.249,15,11,25,11,9
claude-sonnet-4-20250514-thinking-32k,0.2372,16,11,26,11,11
gpt-4.1-2025-04-14,0.229,17,11,26,11,11
qwen3-235b-a22b,0.2185,18,11,29,11,11
qwen3-235b-a22b-instruct-2507,0.2019,19,8,33,11,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1586,20,11,30,12,11
mistral-medium-2505,0.1286,21,14,30,14,12
o4-mini-2025-04-16,0.1258,22,14,30,14,12
hunyuan-turbos-20250416,0.093,23,11,35,13,11
qwen-max-2025-01-25,0.0813,24,15,33,18,13
deepseek-v3-0324,0.0728,25,18,32,19,14
grok-3-mini-beta,0.0666,26,18,33,19,14
grok-3-mini-high,0.0392,27,18,36,19,14
gemini-2.0-flash-thinking-exp-01-21,0.0216,28,11,39,11,7
minimax-m1,0.0161,29,19,36,19,19
claude-sonnet-4-20250514,-0.0235,30,22,37,22,20
gpt-4.1-mini-2025-04-14,-0.0289,31,22,37,22,19
gemma-3-27b-it,-0.0654,32,22,38,24,22
gpt-4o-2024-11-20,-0.0977,33,19,43,19,11
qwq-32b,-0.0999,34,25,38,25,22
qwen3-30b-a3b,-0.1135,35,25,38,26,22
gemini-2.0-flash-001,-0.1593,36,29,39,30,25
mistral-small-2506,-0.1647,37,27,41,29,22
o3-mini,-0.1759,38,31,39,31,26
command-a-03-2025,-0.2939,39,34,43,35,32
claude-3-7-sonnet-20250219,-0.3309,40,36,43,36,34
claude-3-7-sonnet-20250219-thinking-32k,-0.3393,41,36,43,36,35
claude-3-5-sonnet-20241022,-0.3898,42,37,44,38,36
amazon-nova-experimental-chat-05-14,-0.4088,43,38,46,38,36
llama-4-maverick-17b-128e-instruct,-0.5695,44,43,49,43,42
llama-4-scout-17b-16e-instruct,-0.5718,45,43,49,43,41
gemma-3n-e4b-it,-0.5977,46,43,49,43,42
magistral-medium-2506,-0.7017,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.7582,48,44,52,45,44
llama-3.3-70b-instruct,-0.8119,49,47,52,47,45
claude-3-5-haiku-20241022,-0.8179,50,47,52,47,46
amazon.nova-pro-v1:0,-0.8228,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8519,52,44,52,44,43
