model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9124,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8983,2,1,3,1,1
grok-4-0709,0.6626,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6432,4,3,7,3,2
o3-2025-04-16,0.5483,5,3,10,3,3
grok-3-preview-02-24,0.5462,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.4971,7,3,10,4,3
gemini-2.5-flash,0.4967,8,4,10,4,4
llama-4-maverick-03-26-experimental,0.4921,9,4,10,4,3
deepseek-r1-0528,0.4643,10,4,11,5,4
qwen3-235b-a22b-no-thinking,0.2985,11,11,22,11,11
claude-opus-4-20250514-thinking-16k,0.2797,12,11,22,11,11
claude-opus-4-20250514,0.275,13,11,22,11,11
gemini-2.5-flash-preview-04-17,0.2599,14,11,24,11,11
kimi-k2-0711-preview,0.2542,15,11,25,11,11
gpt-4.1-2025-04-14,0.2468,16,11,24,11,11
qwen3-235b-a22b,0.2187,17,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.2155,18,11,26,11,11
qwen3-235b-a22b-instruct-2507,0.1698,19,11,33,11,5
gemini-2.5-flash-lite-preview-06-17-thinking,0.1683,20,11,29,12,11
mistral-medium-2505,0.132,21,14,30,15,13
o4-mini-2025-04-16,0.1269,22,14,30,15,13
hunyuan-turbos-20250416,0.1234,23,11,32,12,11
deepseek-v3-0324,0.0952,24,16,32,17,14
qwen-max-2025-01-25,0.0732,25,17,33,19,14
grok-3-mini-beta,0.0653,26,19,33,19,16
gemini-2.0-flash-thinking-exp-01-21,0.0254,27,11,39,11,7
grok-3-mini-high,0.0071,28,19,36,20,17
minimax-m1,0.0043,29,20,36,21,19
claude-sonnet-4-20250514,-0.0094,30,22,36,22,20
gpt-4.1-mini-2025-04-14,-0.0357,31,22,37,23,21
gemma-3-27b-it,-0.067,32,24,38,25,22
qwen3-30b-a3b,-0.1242,33,26,38,27,25
gpt-4o-2024-11-20,-0.1269,34,20,42,22,13
qwq-32b,-0.1316,35,26,39,27,24
mistral-small-2506,-0.1541,36,26,40,27,23
gemini-2.0-flash-001,-0.1653,37,30,39,31,26
o3-mini,-0.1878,38,31,40,32,28
command-a-03-2025,-0.2793,39,33,43,34,32
claude-3-7-sonnet-20250219,-0.316,40,35,43,36,33
claude-3-7-sonnet-20250219-thinking-32k,-0.3354,41,36,43,37,35
claude-3-5-sonnet-20241022,-0.3833,42,38,43,38,37
amazon-nova-experimental-chat-05-14,-0.4265,43,38,46,39,37
llama-4-scout-17b-16e-instruct,-0.5622,44,43,48,43,42
llama-4-maverick-17b-128e-instruct,-0.5649,45,43,48,43,43
gemma-3n-e4b-it,-0.6161,46,43,50,44,43
magistral-medium-2506,-0.6931,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.7635,48,46,52,46,44
llama-3.3-70b-instruct,-0.7834,49,46,52,46,45
claude-3-5-haiku-20241022,-0.8068,50,47,52,47,46
amazon.nova-pro-v1:0,-0.8319,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8363,52,44,52,44,43
