model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8933,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.887,2,1,3,1,1
chatgpt-4o-latest-20250326,0.6542,3,2,7,3,2
grok-4-0709,0.6457,4,2,10,2,1
grok-3-preview-02-24,0.5741,5,3,10,3,3
o3-2025-04-16,0.5508,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.4998,7,3,11,4,3
llama-4-maverick-03-26-experimental,0.4848,8,4,11,4,4
gemini-2.5-flash,0.4803,9,4,11,4,4
deepseek-r1-0528,0.4784,10,4,11,4,4
qwen3-235b-a22b-no-thinking,0.2908,11,11,22,11,11
claude-opus-4-20250514,0.2806,12,11,22,11,11
claude-opus-4-20250514-thinking-16k,0.2731,13,11,23,11,11
gpt-4.1-2025-04-14,0.2639,14,11,23,11,11
kimi-k2-0711-preview,0.251,15,11,26,11,11
gemini-2.5-flash-preview-04-17,0.2508,16,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.2098,17,11,27,11,11
qwen3-235b-a22b,0.1848,18,11,28,11,11
qwen3-235b-a22b-instruct-2507,0.1776,19,11,33,11,5
gemini-2.5-flash-lite-preview-06-17-thinking,0.1624,20,11,29,12,11
mistral-medium-2505,0.1486,21,13,29,14,11
o4-mini-2025-04-16,0.1168,22,15,29,15,13
hunyuan-turbos-20250416,0.1134,23,11,33,12,11
deepseek-v3-0324,0.1041,24,15,31,16,13
grok-3-mini-beta,0.0714,25,17,33,18,15
qwen-max-2025-01-25,0.0513,26,18,33,18,15
gemini-2.0-flash-thinking-exp-01-21,0.0266,27,11,40,11,7
grok-3-mini-high,-0.0012,28,19,37,21,17
claude-sonnet-4-20250514,-0.0164,29,22,36,22,21
gpt-4.1-mini-2025-04-14,-0.0245,30,22,36,22,21
minimax-m1,-0.046,31,23,37,23,21
gemma-3-27b-it,-0.0544,32,23,37,24,22
gpt-4o-2024-11-20,-0.0869,33,18,41,19,11
qwen3-30b-a3b,-0.1402,34,26,39,27,24
mistral-small-2506,-0.1436,35,26,40,27,23
qwq-32b,-0.1486,36,27,39,27,24
gemini-2.0-flash-001,-0.1695,37,29,39,30,26
o3-mini,-0.2047,38,32,41,32,28
command-a-03-2025,-0.2608,39,32,43,32,32
claude-3-7-sonnet-20250219,-0.3158,40,35,43,36,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3325,41,36,43,37,33
claude-3-5-sonnet-20241022,-0.3841,42,37,43,38,37
amazon-nova-experimental-chat-05-14,-0.4233,43,38,46,40,37
llama-4-scout-17b-16e-instruct,-0.5663,44,43,49,43,42
llama-4-maverick-17b-128e-instruct,-0.5723,45,43,49,43,43
gemma-3n-e4b-it,-0.6085,46,43,51,43,42
magistral-medium-2506,-0.6756,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7442,48,44,52,45,44
llama-3.3-70b-instruct,-0.7745,49,46,52,46,44
claude-3-5-haiku-20241022,-0.7885,50,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8115,51,44,52,44,42
amazon.nova-pro-v1:0,-0.8312,52,47,52,47,46
