model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9329,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.9239,2,1,3,1,1
grok-4-0709,0.6555,3,2,10,3,1
chatgpt-4o-latest-20250326,0.623,4,3,9,3,2
o3-2025-04-16,0.5678,5,3,10,3,3
grok-3-preview-02-24,0.5452,6,3,10,3,3
gemini-2.5-flash,0.5233,7,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5208,8,3,10,3,3
llama-4-maverick-03-26-experimental,0.4968,9,3,10,3,3
deepseek-r1-0528,0.4764,10,4,11,4,3
qwen3-235b-a22b-no-thinking,0.3033,11,11,22,11,10
claude-opus-4-20250514-thinking-16k,0.2851,12,11,23,11,11
gemini-2.5-flash-preview-04-17,0.2596,13,11,24,11,11
kimi-k2-0711-preview,0.2514,14,11,28,11,10
claude-opus-4-20250514,0.2458,15,11,25,11,11
qwen3-235b-a22b,0.232,16,11,28,11,11
gpt-4.1-2025-04-14,0.2295,17,11,28,11,11
claude-sonnet-4-20250514-thinking-32k,0.212,18,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1588,19,11,30,12,11
o4-mini-2025-04-16,0.1409,20,12,30,13,11
qwen3-235b-a22b-instruct-2507,0.1367,21,11,37,11,5
mistral-medium-2505,0.1268,22,13,30,14,12
hunyuan-turbos-20250416,0.1169,23,11,34,12,11
deepseek-v3-0324,0.0973,24,15,32,15,13
qwen-max-2025-01-25,0.0867,25,15,34,15,12
grok-3-mini-beta,0.0653,26,18,34,19,14
grok-3-mini-high,0.0452,27,16,36,18,13
minimax-m1,0.0273,28,19,36,19,16
gemini-2.0-flash-thinking-exp-01-21,-0.0068,29,11,40,11,7
gpt-4.1-mini-2025-04-14,-0.0354,30,22,38,22,19
claude-sonnet-4-20250514,-0.0388,31,22,37,23,22
gemma-3-27b-it,-0.0658,32,23,38,24,22
qwq-32b,-0.088,33,23,38,25,22
gpt-4o-2024-11-20,-0.0888,34,18,42,19,11
qwen3-30b-a3b,-0.1132,35,25,38,26,23
gemini-2.0-flash-001,-0.147,36,27,38,28,25
mistral-small-2506,-0.1571,37,26,39,28,23
o3-mini,-0.1781,38,29,39,30,27
command-a-03-2025,-0.3059,39,35,43,35,33
claude-3-7-sonnet-20250219,-0.3458,40,36,43,36,35
claude-3-7-sonnet-20250219-thinking-32k,-0.3596,41,36,43,37,36
amazon-nova-experimental-chat-05-14,-0.3952,42,37,46,37,35
claude-3-5-sonnet-20241022,-0.4092,43,37,45,38,37
llama-4-scout-17b-16e-instruct,-0.5673,44,42,49,42,40
llama-4-maverick-17b-128e-instruct,-0.5749,45,43,48,44,42
gemma-3n-e4b-it,-0.5974,46,43,49,44,41
magistral-medium-2506,-0.7282,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.782,48,45,52,46,44
llama-3.3-70b-instruct,-0.8196,49,47,52,47,45
amazon.nova-pro-v1:0,-0.8239,50,47,52,47,46
claude-3-5-haiku-20241022,-0.8283,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8296,52,44,52,44,41
