model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9285,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.9095,2,1,3,1,1
grok-4-0709,0.6714,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6591,4,3,7,3,2
o3-2025-04-16,0.5683,5,3,10,3,3
grok-3-preview-02-24,0.5385,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5155,7,3,10,3,3
gemini-2.5-flash,0.5043,8,4,10,4,4
llama-4-maverick-03-26-experimental,0.4951,9,4,10,4,3
deepseek-r1-0528,0.4734,10,4,10,4,4
qwen3-235b-a22b-no-thinking,0.3063,11,11,21,11,11
claude-opus-4-20250514-thinking-16k,0.2728,12,11,23,11,11
claude-opus-4-20250514,0.262,13,11,22,11,11
gemini-2.5-flash-preview-04-17,0.2615,14,11,25,11,11
kimi-k2-0711-preview,0.2566,15,11,25,11,11
gpt-4.1-2025-04-14,0.2482,16,11,25,11,11
qwen3-235b-a22b,0.2304,17,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.1924,18,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.169,19,12,29,12,11
hunyuan-turbos-20250416,0.146,20,11,32,11,11
o4-mini-2025-04-16,0.1399,21,13,30,14,12
mistral-medium-2505,0.1306,22,14,30,16,12
deepseek-v3-0324,0.1176,23,14,30,16,12
qwen3-235b-a22b-instruct-2507,0.1105,24,11,37,11,7
qwen-max-2025-01-25,0.0776,25,17,32,18,14
grok-3-mini-beta,0.064,26,18,33,18,16
minimax-m1,0.0137,27,20,36,20,18
grok-3-mini-high,0.0104,28,19,37,20,16
gemini-2.0-flash-thinking-exp-01-21,-0.0004,29,11,40,12,8
claude-sonnet-4-20250514,-0.0218,30,23,36,23,22
gpt-4.1-mini-2025-04-14,-0.0416,31,23,37,23,22
gemma-3-27b-it,-0.0675,32,24,38,26,23
gpt-4o-2024-11-20,-0.1202,33,20,43,22,12
qwq-32b,-0.123,34,26,38,26,23
qwen3-30b-a3b,-0.1243,35,26,38,26,25
mistral-small-2506,-0.1468,36,26,39,26,23
gemini-2.0-flash-001,-0.1552,37,28,39,29,26
o3-mini,-0.1904,38,30,39,31,28
command-a-03-2025,-0.2888,39,34,43,35,31
claude-3-7-sonnet-20250219,-0.3279,40,36,43,37,35
claude-3-7-sonnet-20250219-thinking-32k,-0.3531,41,37,43,37,35
claude-3-5-sonnet-20241022,-0.3999,42,37,44,38,37
amazon-nova-experimental-chat-05-14,-0.4155,43,37,46,38,37
llama-4-scout-17b-16e-instruct,-0.5578,44,42,48,42,41
llama-4-maverick-17b-128e-instruct,-0.5694,45,43,48,43,42
gemma-3n-e4b-it,-0.6168,46,43,50,44,42
magistral-medium-2506,-0.7156,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.7841,48,46,52,46,44
llama-3.3-70b-instruct,-0.7885,49,46,52,46,45
claude-3-5-haiku-20241022,-0.8151,50,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8163,51,44,52,44,42
amazon.nova-pro-v1:0,-0.8334,52,47,52,47,46
