model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9093,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8984,2,1,3,1,1
chatgpt-4o-latest-20250326,0.6721,3,2,7,2,2
grok-4-0709,0.654,4,2,10,2,1
o3-2025-04-16,0.5722,5,3,10,3,3
grok-3-preview-02-24,0.5672,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5199,7,3,10,3,3
deepseek-r1-0528,0.4892,8,4,10,4,4
llama-4-maverick-03-26-experimental,0.4876,9,4,10,4,4
gemini-2.5-flash,0.4873,10,4,10,4,4
qwen3-235b-a22b-no-thinking,0.2987,11,11,22,11,11
claude-opus-4-20250514,0.267,12,11,22,11,11
gpt-4.1-2025-04-14,0.2664,13,11,26,11,11
claude-opus-4-20250514-thinking-16k,0.2653,14,11,26,11,11
kimi-k2-0711-preview,0.2535,15,11,26,11,11
gemini-2.5-flash-preview-04-17,0.2519,16,11,26,11,11
qwen3-235b-a22b,0.195,17,11,28,11,11
claude-sonnet-4-20250514-thinking-32k,0.185,18,11,28,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1629,19,11,29,12,11
mistral-medium-2505,0.1483,20,13,29,13,12
hunyuan-turbos-20250416,0.1368,21,11,33,11,11
o4-mini-2025-04-16,0.1302,22,13,29,15,12
deepseek-v3-0324,0.1285,23,13,29,15,12
qwen3-235b-a22b-instruct-2507,0.1148,24,11,37,11,7
grok-3-mini-beta,0.0704,25,17,33,17,15
qwen-max-2025-01-25,0.0545,26,17,34,17,15
grok-3-mini-high,0.0019,27,19,37,19,16
gemini-2.0-flash-thinking-exp-01-21,-0.0032,28,11,41,11,7
claude-sonnet-4-20250514,-0.0301,29,23,37,23,21
gpt-4.1-mini-2025-04-14,-0.0302,30,23,37,23,21
minimax-m1,-0.0385,31,23,37,23,21
gemma-3-27b-it,-0.0543,32,23,37,23,23
gpt-4o-2024-11-20,-0.0779,33,17,41,18,11
mistral-small-2506,-0.1351,34,25,39,26,23
qwq-32b,-0.1403,35,26,39,26,24
qwen3-30b-a3b,-0.1412,36,26,39,26,24
gemini-2.0-flash-001,-0.1588,37,26,39,27,26
o3-mini,-0.2085,38,31,40,32,28
command-a-03-2025,-0.2699,39,32,43,32,31
claude-3-7-sonnet-20250219,-0.3285,40,36,43,36,33
claude-3-7-sonnet-20250219-thinking-32k,-0.3516,41,37,43,37,35
claude-3-5-sonnet-20241022,-0.4021,42,37,44,39,37
amazon-nova-experimental-chat-05-14,-0.4115,43,37,46,39,36
llama-4-scout-17b-16e-instruct,-0.5618,44,42,49,42,40
llama-4-maverick-17b-128e-instruct,-0.5774,45,43,49,44,42
gemma-3n-e4b-it,-0.609,46,43,51,44,42
magistral-medium-2506,-0.6977,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.7645,48,45,52,46,44
llama-3.3-70b-instruct,-0.7792,49,46,52,46,44
gpt-4o-mini-2024-07-18,-0.7878,50,44,52,44,40
claude-3-5-haiku-20241022,-0.7965,51,46,52,47,45
amazon.nova-pro-v1:0,-0.8327,52,47,52,47,46
