model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8997,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8178,2,1,6,1,1
grok-4-0709,0.6235,3,2,11,2,1
chatgpt-4o-latest-20250326,0.6217,4,2,11,2,2
grok-3-preview-02-24,0.6053,5,2,11,2,2
o3-2025-04-16,0.5722,6,2,11,2,2
deepseek-r1-0528,0.5248,7,3,11,3,2
llama-4-maverick-03-26-experimental,0.5016,8,3,11,3,2
gemini-2.5-flash,0.4958,9,3,12,3,2
gemini-2.5-pro-preview-05-06,0.4464,10,3,17,3,2
qwen3-235b-a22b-no-thinking,0.2871,11,10,24,10,10
claude-opus-4-20250514-thinking-16k,0.2673,12,10,26,10,10
kimi-k2-0711-preview,0.2612,13,10,29,10,8
claude-opus-4-20250514,0.259,14,10,25,11,10
gpt-4.1-2025-04-14,0.2549,15,10,26,10,10
qwen3-235b-a22b-instruct-2507,0.2533,16,5,34,7,3
gemini-2.5-flash-preview-04-17,0.2067,17,11,29,11,10
claude-sonnet-4-20250514-thinking-32k,0.1946,18,11,29,11,10
qwen3-235b-a22b,0.1943,19,11,29,11,10
mistral-medium-2505,0.153,20,11,29,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.13,21,11,32,12,11
o4-mini-2025-04-16,0.1238,22,12,32,13,11
hunyuan-turbos-20250416,0.1128,23,11,36,11,10
deepseek-v3-0324,0.1001,24,13,34,14,11
grok-3-mini-beta,0.0675,25,15,36,16,13
qwen-max-2025-01-25,0.0625,26,15,36,15,12
grok-3-mini-high,0.0333,27,15,37,16,12
gpt-4.1-mini-2025-04-14,-0.0119,28,20,37,20,16
gemini-2.0-flash-thinking-exp-01-21,-0.0186,29,11,43,11,4
gpt-4o-2024-11-20,-0.0194,30,11,39,11,10
minimax-m1,-0.039,31,20,38,22,19
gemma-3-27b-it,-0.0552,32,22,38,23,20
claude-sonnet-4-20250514,-0.0559,33,22,38,23,20
mistral-small-2506,-0.0759,34,20,39,21,16
qwen3-30b-a3b,-0.0953,35,23,38,23,21
qwq-32b,-0.104,36,23,39,25,20
gemini-2.0-flash-001,-0.1594,37,27,39,27,24
o3-mini,-0.1951,38,29,39,29,25
command-a-03-2025,-0.2806,39,33,43,34,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3807,40,37,45,37,36
claude-3-7-sonnet-20250219,-0.3951,41,37,46,37,36
amazon-nova-experimental-chat-05-14,-0.4081,42,37,47,38,35
claude-3-5-sonnet-20241022,-0.4207,43,37,47,38,37
gemma-3n-e4b-it,-0.5278,44,40,49,40,37
llama-4-scout-17b-16e-instruct,-0.5788,45,40,51,41,39
llama-4-maverick-17b-128e-instruct,-0.5878,46,42,49,43,39
magistral-medium-2506,-0.6882,47,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7276,48,44,52,44,44
claude-3-5-haiku-20241022,-0.7898,49,46,52,47,44
llama-3.3-70b-instruct,-0.802,50,46,52,47,44
gpt-4o-mini-2024-07-18,-0.8207,51,44,52,44,40
amazon.nova-pro-v1:0,-0.8324,52,47,52,47,46
