model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9258,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8419,2,1,4,1,1
grok-4-0709,0.6487,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6102,4,2,11,2,2
o3-2025-04-16,0.567,5,3,11,3,2
grok-3-preview-02-24,0.5631,6,3,11,3,2
gemini-2.5-flash,0.5168,7,3,11,3,2
llama-4-maverick-03-26-experimental,0.5097,8,3,11,3,2
deepseek-r1-0528,0.5012,9,3,11,3,3
gemini-2.5-pro-preview-05-06,0.4482,10,3,15,3,3
qwen3-235b-a22b-no-thinking,0.2984,11,10,22,10,10
claude-opus-4-20250514-thinking-16k,0.2769,12,10,24,10,10
kimi-k2-0711-preview,0.2648,13,10,28,10,9
claude-opus-4-20250514,0.2531,14,11,26,11,10
qwen3-235b-a22b,0.2398,15,11,28,11,10
qwen3-235b-a22b-instruct-2507,0.2365,16,7,36,7,3
gpt-4.1-2025-04-14,0.2318,17,11,28,11,10
gemini-2.5-flash-preview-04-17,0.2234,18,11,29,11,10
claude-sonnet-4-20250514-thinking-32k,0.2039,19,11,29,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.1411,20,11,31,12,11
o4-mini-2025-04-16,0.1373,21,12,30,12,11
mistral-medium-2505,0.1291,22,12,30,13,12
hunyuan-turbos-20250416,0.1271,23,11,36,11,10
qwen-max-2025-01-25,0.0913,24,14,36,14,12
deepseek-v3-0324,0.0881,25,14,35,14,12
grok-3-mini-beta,0.0593,26,17,36,18,14
grok-3-mini-high,0.0422,27,14,37,17,12
minimax-m1,0.0291,28,19,36,19,14
gemini-2.0-flash-thinking-exp-01-21,-0.0143,29,11,42,11,7
gpt-4.1-mini-2025-04-14,-0.0292,30,21,38,22,19
claude-sonnet-4-20250514,-0.0426,31,22,38,22,21
gemma-3-27b-it,-0.0731,32,23,38,24,22
qwen3-30b-a3b,-0.0771,33,22,38,24,21
gpt-4o-2024-11-20,-0.0843,34,15,42,18,11
qwq-32b,-0.0849,35,22,38,24,21
mistral-small-2506,-0.0962,36,22,38,22,19
gemini-2.0-flash-001,-0.1546,37,28,39,29,25
o3-mini,-0.1725,38,29,39,29,25
command-a-03-2025,-0.3047,39,34,43,35,33
claude-3-7-sonnet-20250219-thinking-32k,-0.3801,40,37,45,37,37
claude-3-7-sonnet-20250219,-0.3868,41,37,45,37,37
amazon-nova-experimental-chat-05-14,-0.4137,42,37,46,37,37
claude-3-5-sonnet-20241022,-0.416,43,37,46,37,37
gemma-3n-e4b-it,-0.5449,44,40,49,40,37
llama-4-scout-17b-16e-instruct,-0.5719,45,40,49,42,38
llama-4-maverick-17b-128e-instruct,-0.5762,46,42,49,43,39
magistral-medium-2506,-0.7117,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7558,48,44,52,44,44
llama-3.3-70b-instruct,-0.8117,49,47,52,47,45
claude-3-5-haiku-20241022,-0.8156,50,47,52,47,45
amazon.nova-pro-v1:0,-0.8336,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8543,52,44,52,44,40
