model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9219,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8356,2,1,4,1,1
grok-4-0709,0.6678,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6527,4,2,6,2,2
o3-2025-04-16,0.5679,5,3,10,3,2
grok-3-preview-02-24,0.5529,6,3,10,3,2
llama-4-maverick-03-26-experimental,0.5061,7,4,11,4,3
gemini-2.5-flash,0.4963,8,4,11,4,3
deepseek-r1-0528,0.4939,9,4,11,4,3
gemini-2.5-pro-preview-05-06,0.4523,10,4,13,4,3
qwen3-235b-a22b-no-thinking,0.3023,11,10,22,10,10
claude-opus-4-20250514,0.2701,12,11,22,11,10
kimi-k2-0711-preview,0.2682,13,10,26,10,9
claude-opus-4-20250514-thinking-16k,0.2645,14,11,24,11,10
gpt-4.1-2025-04-14,0.2523,15,11,25,11,10
qwen3-235b-a22b,0.237,16,11,27,11,10
gemini-2.5-flash-preview-04-17,0.2311,17,11,27,11,10
qwen3-235b-a22b-instruct-2507,0.1933,18,10,35,10,4
claude-sonnet-4-20250514-thinking-32k,0.1834,19,11,29,11,11
hunyuan-turbos-20250416,0.1596,20,11,32,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.1552,21,12,30,12,11
o4-mini-2025-04-16,0.1369,22,13,30,13,12
mistral-medium-2505,0.133,23,13,30,14,12
deepseek-v3-0324,0.1124,24,14,31,15,12
qwen-max-2025-01-25,0.0805,25,15,34,16,13
grok-3-mini-beta,0.0586,26,18,35,18,15
minimax-m1,0.0138,27,19,36,19,18
grok-3-mini-high,0.0035,28,18,37,19,15
gemini-2.0-flash-thinking-exp-01-21,-0.0064,29,11,40,11,7
claude-sonnet-4-20250514,-0.0227,30,22,37,23,20
gpt-4.1-mini-2025-04-14,-0.0375,31,22,37,23,20
gemma-3-27b-it,-0.0739,32,24,38,25,23
mistral-small-2506,-0.0936,33,23,39,24,19
qwen3-30b-a3b,-0.0953,34,26,38,26,23
gpt-4o-2024-11-20,-0.12,35,18,43,19,11
qwq-32b,-0.125,36,26,39,26,23
gemini-2.0-flash-001,-0.163,37,28,39,29,26
o3-mini,-0.1874,38,31,39,31,27
command-a-03-2025,-0.2855,39,33,43,35,32
claude-3-7-sonnet-20250219,-0.3603,40,37,43,37,36
claude-3-7-sonnet-20250219-thinking-32k,-0.3697,41,37,43,37,37
claude-3-5-sonnet-20241022,-0.4043,42,37,45,37,37
amazon-nova-experimental-chat-05-14,-0.4343,43,37,46,38,37
llama-4-scout-17b-16e-instruct,-0.5606,44,42,49,42,38
llama-4-maverick-17b-128e-instruct,-0.5696,45,43,49,43,42
gemma-3n-e4b-it,-0.5734,46,42,49,42,38
magistral-medium-2506,-0.6995,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7623,48,44,52,46,44
llama-3.3-70b-instruct,-0.7783,49,46,52,47,44
claude-3-5-haiku-20241022,-0.8029,50,47,52,47,45
gpt-4o-mini-2024-07-18,-0.8345,51,44,52,44,41
amazon.nova-pro-v1:0,-0.843,52,47,52,47,47
