model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9501,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8541,2,1,4,1,1
grok-4-0709,0.6602,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6307,4,2,10,2,2
o3-2025-04-16,0.5967,5,2,10,2,2
grok-3-preview-02-24,0.5536,6,3,11,3,2
gemini-2.5-flash,0.5292,7,3,11,3,2
deepseek-r1-0528,0.5177,8,3,11,3,2
llama-4-maverick-03-26-experimental,0.5153,9,3,11,3,2
gemini-2.5-pro-preview-05-06,0.4711,10,3,13,3,3
qwen3-235b-a22b-no-thinking,0.31,11,10,22,10,10
kimi-k2-0711-preview,0.2692,12,10,28,10,8
claude-opus-4-20250514-thinking-16k,0.2664,13,10,27,11,10
qwen3-235b-a22b,0.2579,14,11,28,11,10
gpt-4.1-2025-04-14,0.2327,15,11,28,11,10
claude-opus-4-20250514,0.2323,16,11,28,11,11
gemini-2.5-flash-preview-04-17,0.2227,17,11,30,11,10
claude-sonnet-4-20250514-thinking-32k,0.1698,18,11,30,11,11
hunyuan-turbos-20250416,0.1599,19,11,36,11,10
qwen3-235b-a22b-instruct-2507,0.1598,20,10,38,10,3
o4-mini-2025-04-16,0.1569,21,12,30,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.14,22,12,31,12,11
mistral-medium-2505,0.1269,23,12,31,12,12
deepseek-v3-0324,0.1196,24,12,33,12,11
qwen-max-2025-01-25,0.099,25,12,36,13,11
grok-3-mini-beta,0.0571,26,17,36,18,13
grok-3-mini-high,0.0491,27,13,37,16,12
minimax-m1,0.0443,28,17,36,18,13
gpt-4.1-mini-2025-04-14,-0.0373,29,22,38,22,18
gemini-2.0-flash-thinking-exp-01-21,-0.0547,30,11,43,12,6
claude-sonnet-4-20250514,-0.0634,31,23,38,23,21
qwq-32b,-0.0686,32,23,38,23,18
gpt-4o-2024-11-20,-0.0724,33,13,42,17,11
qwen3-30b-a3b,-0.0738,34,23,38,23,20
gemma-3-27b-it,-0.0741,35,23,38,24,22
mistral-small-2506,-0.0814,36,22,38,23,18
gemini-2.0-flash-001,-0.1392,37,27,38,27,24
o3-mini,-0.1751,38,28,39,28,27
command-a-03-2025,-0.3209,39,36,44,36,33
amazon-nova-experimental-chat-05-14,-0.3972,40,37,47,37,35
claude-3-7-sonnet-20250219-thinking-32k,-0.4077,41,37,47,37,37
claude-3-7-sonnet-20250219,-0.4095,42,37,47,37,37
claude-3-5-sonnet-20241022,-0.4426,43,37,47,38,37
gemma-3n-e4b-it,-0.5412,44,40,49,40,37
llama-4-scout-17b-16e-instruct,-0.566,45,40,49,40,37
llama-4-maverick-17b-128e-instruct,-0.5834,46,40,49,42,39
magistral-medium-2506,-0.7462,47,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.785,48,44,52,46,44
llama-3.3-70b-instruct,-0.8216,49,47,52,47,44
gpt-4o-mini-2024-07-18,-0.8263,50,44,52,44,38
claude-3-5-haiku-20241022,-0.8289,51,47,52,47,46
amazon.nova-pro-v1:0,-0.8359,52,47,52,47,46
