model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9421,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8454,2,1,4,1,1
grok-4-0709,0.6789,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6728,4,2,6,2,2
o3-2025-04-16,0.593,5,2,10,3,2
grok-3-preview-02-24,0.5442,6,3,10,3,2
llama-4-maverick-03-26-experimental,0.5107,7,4,10,4,3
deepseek-r1-0528,0.5072,8,4,10,4,3
gemini-2.5-flash,0.5052,9,4,10,4,4
gemini-2.5-pro-preview-05-06,0.4718,10,4,13,4,3
qwen3-235b-a22b-no-thinking,0.312,11,10,20,10,10
kimi-k2-0711-preview,0.2723,12,10,26,11,9
claude-opus-4-20250514-thinking-16k,0.2551,13,11,25,11,10
gpt-4.1-2025-04-14,0.2543,14,11,27,11,10
claude-opus-4-20250514,0.2539,15,11,26,11,10
qwen3-235b-a22b,0.2521,16,11,27,11,10
gemini-2.5-flash-preview-04-17,0.2312,17,11,27,11,10
hunyuan-turbos-20250416,0.1897,18,11,30,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.155,19,12,30,12,11
claude-sonnet-4-20250514-thinking-32k,0.1533,20,12,30,12,11
o4-mini-2025-04-16,0.1532,21,12,30,12,11
deepseek-v3-0324,0.1404,22,12,30,12,11
mistral-medium-2505,0.1313,23,12,30,13,12
qwen3-235b-a22b-instruct-2507,0.1244,24,11,37,11,6
qwen-max-2025-01-25,0.0865,25,15,34,17,12
grok-3-mini-beta,0.0566,26,18,36,18,15
minimax-m1,0.026,27,18,36,18,17
grok-3-mini-high,0.0066,28,18,37,18,15
claude-sonnet-4-20250514,-0.0386,29,23,37,24,22
gemini-2.0-flash-thinking-exp-01-21,-0.0419,30,11,42,12,7
gpt-4.1-mini-2025-04-14,-0.0447,31,23,38,24,20
gemma-3-27b-it,-0.0749,32,24,38,25,23
mistral-small-2506,-0.0807,33,24,38,24,18
qwen3-30b-a3b,-0.0934,34,25,38,26,23
gpt-4o-2024-11-20,-0.1113,35,18,42,18,11
qwq-32b,-0.114,36,26,38,26,23
gemini-2.0-flash-001,-0.1507,37,27,39,27,26
o3-mini,-0.1906,38,29,39,30,27
command-a-03-2025,-0.2976,39,35,43,36,32
claude-3-7-sonnet-20250219,-0.3774,40,37,45,37,37
claude-3-7-sonnet-20250219-thinking-32k,-0.3927,41,37,45,37,37
amazon-nova-experimental-chat-05-14,-0.4216,42,37,47,37,36
claude-3-5-sonnet-20241022,-0.426,43,37,47,37,37
llama-4-scout-17b-16e-instruct,-0.5549,44,40,48,41,38
gemma-3n-e4b-it,-0.572,45,40,49,42,38
llama-4-maverick-17b-128e-instruct,-0.5753,46,42,48,43,39
magistral-medium-2506,-0.7274,47,44,52,44,44
llama-3.3-70b-instruct,-0.7843,48,46,52,47,44
mistral-small-3.1-24b-instruct-2503,-0.7866,49,46,52,46,44
gpt-4o-mini-2024-07-18,-0.81,50,44,52,44,40
claude-3-5-haiku-20241022,-0.813,51,47,52,47,46
amazon.nova-pro-v1:0,-0.8456,52,47,52,47,47
