model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9198,1,1,2,1,1
gemini-2.5-pro-preview-03-25,0.8234,2,1,6,1,1
chatgpt-4o-latest-20250326,0.6902,3,2,6,2,2
grok-4-0709,0.6583,4,2,10,2,1
o3-2025-04-16,0.5999,5,2,10,2,2
grok-3-preview-02-24,0.5801,6,2,10,2,2
deepseek-r1-0528,0.5296,7,4,10,4,2
llama-4-maverick-03-26-experimental,0.5034,8,4,11,4,2
gemini-2.5-flash,0.485,9,4,11,4,4
gemini-2.5-pro-preview-05-06,0.4726,10,4,13,4,2
qwen3-235b-a22b-no-thinking,0.3034,11,10,23,10,10
gpt-4.1-2025-04-14,0.277,12,10,26,11,10
kimi-k2-0711-preview,0.2696,13,10,26,11,8
claude-opus-4-20250514,0.2595,14,11,26,11,10
claude-opus-4-20250514-thinking-16k,0.2448,15,11,26,11,10
gemini-2.5-flash-preview-04-17,0.2168,16,11,28,11,11
qwen3-235b-a22b,0.2116,17,11,28,11,11
hunyuan-turbos-20250416,0.1821,18,11,32,11,10
deepseek-v3-0324,0.1561,19,11,29,12,11
mistral-medium-2505,0.1532,20,12,29,12,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1465,21,12,30,12,11
o4-mini-2025-04-16,0.1425,22,12,30,12,11
claude-sonnet-4-20250514-thinking-32k,0.1414,23,12,30,12,11
qwen3-235b-a22b-instruct-2507,0.1311,24,11,37,11,5
grok-3-mini-beta,0.0639,25,16,34,17,14
qwen-max-2025-01-25,0.0592,26,16,35,16,12
grok-3-mini-high,-0.004,27,18,37,18,14
gpt-4.1-mini-2025-04-14,-0.0311,28,23,37,23,19
minimax-m1,-0.0359,29,23,37,23,18
claude-sonnet-4-20250514,-0.0497,30,23,37,24,21
gemini-2.0-flash-thinking-exp-01-21,-0.0543,31,11,43,12,7
gpt-4o-2024-11-20,-0.0581,32,14,39,16,11
gemma-3-27b-it,-0.0588,33,23,37,24,23
mistral-small-2506,-0.0613,34,21,38,23,17
qwen3-30b-a3b,-0.1112,35,25,39,26,23
qwq-32b,-0.1344,36,26,39,26,23
gemini-2.0-flash-001,-0.1547,37,26,39,26,25
o3-mini,-0.2128,38,31,39,31,26
command-a-03-2025,-0.2749,39,32,43,34,31
claude-3-7-sonnet-20250219,-0.3833,40,37,46,37,36
claude-3-7-sonnet-20250219-thinking-32k,-0.3946,41,37,46,37,36
amazon-nova-experimental-chat-05-14,-0.4169,42,37,47,38,36
claude-3-5-sonnet-20241022,-0.4314,43,37,47,39,37
gemma-3n-e4b-it,-0.5586,44,40,50,40,38
llama-4-scout-17b-16e-instruct,-0.5593,45,40,49,40,38
llama-4-maverick-17b-128e-instruct,-0.5851,46,42,49,43,39
magistral-medium-2506,-0.7057,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7632,48,44,52,44,44
llama-3.3-70b-instruct,-0.772,49,44,52,47,44
gpt-4o-mini-2024-07-18,-0.7738,50,42,52,44,38
claude-3-5-haiku-20241022,-0.7903,51,47,52,47,44
amazon.nova-pro-v1:0,-0.8454,52,47,52,47,47
