model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8661,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8501,2,1,6,1,1
grok-4-0709,0.6127,3,1,13,1,1
chatgpt-4o-latest-20250326,0.5996,4,2,11,2,2
grok-3-preview-02-24,0.5421,5,2,14,2,2
gemini-2.5-pro-preview-05-06,0.5368,6,2,14,2,2
o3-2025-04-16,0.519,7,2,14,3,2
deepseek-r1-0528,0.4697,8,3,17,3,2
gemini-2.5-flash,0.4574,9,3,16,3,2
llama-4-maverick-03-26-experimental,0.4522,10,3,18,3,2
claude-opus-4-20250514-thinking-16k,0.3386,11,4,23,6,4
qwen3-235b-a22b-no-thinking,0.2909,12,8,25,9,6
claude-opus-4-20250514,0.2827,13,9,25,10,6
claude-sonnet-4-20250514-thinking-32k,0.2775,14,8,28,9,4
gemini-2.5-flash-preview-04-17,0.2408,15,10,29,11,6
gpt-4.1-2025-04-14,0.2163,16,11,29,11,8
kimi-k2-0711-preview,0.2004,17,11,32,11,6
qwen3-235b-a22b,0.1797,18,11,32,11,10
mistral-medium-2505,0.1479,19,11,32,12,11
gpt-4o-2024-11-20,0.1406,20,4,40,6,3
qwen3-235b-a22b-instruct-2507,0.119,21,6,40,8,3
o4-mini-2025-04-16,0.1143,22,12,34,14,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1026,23,12,35,13,11
deepseek-v3-0324,0.0803,24,14,35,14,11
hunyuan-turbos-20250416,0.0679,25,11,38,11,10
grok-3-mini-beta,0.0646,26,14,36,15,12
qwen-max-2025-01-25,0.0515,27,14,37,15,12
grok-3-mini-high,0.0146,28,15,38,15,11
gemini-2.0-flash-thinking-exp-01-21,0.0106,29,8,43,11,3
gpt-4.1-mini-2025-04-14,0.0049,30,17,38,17,15
claude-sonnet-4-20250514,-0.0057,31,17,38,17,15
minimax-m1,-0.0402,32,17,38,19,15
gemma-3-27b-it,-0.0698,33,20,39,21,17
qwq-32b,-0.1131,34,21,41,21,17
qwen3-30b-a3b,-0.1441,35,23,43,24,20
gemini-2.0-flash-001,-0.1524,36,24,43,24,21
mistral-small-2506,-0.1708,37,22,43,23,17
o3-mini,-0.1949,38,25,43,27,24
command-a-03-2025,-0.2649,39,30,45,31,27
claude-3-7-sonnet-20250219,-0.2743,40,31,45,31,27
claude-3-7-sonnet-20250219-thinking-32k,-0.3088,41,31,45,31,29
claude-3-5-sonnet-20241022,-0.3488,42,32,46,35,31
amazon-nova-experimental-chat-05-14,-0.3952,43,34,48,36,31
llama-4-scout-17b-16e-instruct,-0.5285,44,39,50,41,37
llama-4-maverick-17b-128e-instruct,-0.5753,45,42,50,43,40
magistral-medium-2506,-0.5898,46,42,52,43,38
gemma-3n-e4b-it,-0.6437,47,43,52,43,40
claude-3-5-haiku-20241022,-0.7781,48,44,52,44,44
mistral-small-3.1-24b-instruct-2503,-0.789,49,44,52,44,44
gpt-4o-mini-2024-07-18,-0.7906,50,42,52,43,34
amazon.nova-pro-v1:0,-0.8322,51,46,52,46,44
llama-3.3-70b-instruct,-0.8412,52,46,52,46,44
