model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8398,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8324,2,1,5,1,1
grok-4-0709,0.6008,3,1,15,1,1
chatgpt-4o-latest-20250326,0.5731,4,2,13,2,2
grok-3-preview-02-24,0.5577,5,2,13,2,2
gemini-2.5-pro-preview-05-06,0.4964,6,2,17,3,2
o3-2025-04-16,0.4845,7,3,15,3,2
deepseek-r1-0528,0.4515,8,3,17,3,2
llama-4-maverick-03-26-experimental,0.4513,9,3,17,3,2
gemini-2.5-flash,0.4471,10,3,16,3,2
claude-opus-4-20250514-thinking-16k,0.3458,11,5,21,5,3
claude-sonnet-4-20250514-thinking-32k,0.3168,12,5,24,5,4
claude-opus-4-20250514,0.3082,13,6,23,7,5
qwen3-235b-a22b-no-thinking,0.2753,14,8,24,11,6
gemini-2.5-flash-preview-04-17,0.2407,15,11,29,11,6
qwen3-235b-a22b-instruct-2507,0.2375,16,3,36,3,2
gpt-4.1-2025-04-14,0.2168,17,11,29,11,7
kimi-k2-0711-preview,0.2021,18,11,31,11,6
qwen3-235b-a22b,0.1613,19,11,32,11,11
mistral-medium-2505,0.1482,20,12,31,13,11
gpt-4o-2024-11-20,0.109,21,6,41,8,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1074,22,14,33,14,11
o4-mini-2025-04-16,0.0899,23,15,33,15,13
grok-3-mini-beta,0.0673,24,15,36,15,13
gemini-2.0-flash-thinking-exp-01-21,0.0558,25,6,42,8,3
qwen-max-2025-01-25,0.0454,26,15,36,15,13
deepseek-v3-0324,0.0379,27,15,36,16,15
hunyuan-turbos-20250416,0.0296,28,14,39,14,11
claude-sonnet-4-20250514,0.0192,29,17,36,17,15
gpt-4.1-mini-2025-04-14,0.0115,30,17,37,17,15
grok-3-mini-high,0.0084,31,15,38,16,13
minimax-m1,-0.0538,32,19,40,20,17
gemma-3-27b-it,-0.0691,33,20,40,20,18
qwq-32b,-0.1339,34,22,42,23,20
qwen3-30b-a3b,-0.1406,35,23,42,23,20
gemini-2.0-flash-001,-0.1734,36,26,42,27,22
mistral-small-2506,-0.1837,37,22,43,24,20
o3-mini,-0.1891,38,27,43,28,23
command-a-03-2025,-0.2475,39,29,43,31,27
claude-3-7-sonnet-20250219,-0.2548,40,29,43,32,27
claude-3-7-sonnet-20250219-thinking-32k,-0.2746,41,32,43,32,27
claude-3-5-sonnet-20241022,-0.3198,42,32,45,32,30
amazon-nova-experimental-chat-05-14,-0.4199,43,37,48,37,32
llama-4-scout-17b-16e-instruct,-0.5419,44,42,50,42,37
magistral-medium-2506,-0.5591,45,42,50,43,37
llama-4-maverick-17b-128e-instruct,-0.5667,46,43,50,43,41
gemma-3n-e4b-it,-0.6398,47,43,52,43,41
mistral-small-3.1-24b-instruct-2503,-0.7451,48,44,52,44,43
claude-3-5-haiku-20241022,-0.7649,49,44,52,44,44
llama-3.3-70b-instruct,-0.8255,50,46,52,47,44
amazon.nova-pro-v1:0,-0.8305,51,47,52,47,44
gpt-4o-mini-2024-07-18,-0.8351,52,43,52,44,37
