model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8814,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.858,2,1,3,1,1
grok-4-0709,0.6369,3,1,11,2,1
chatgpt-4o-latest-20250326,0.5647,4,2,11,3,2
grok-3-preview-02-24,0.5099,5,3,14,3,2
gemini-2.5-pro-preview-05-06,0.492,6,3,16,3,2
o3-2025-04-16,0.4876,7,3,14,3,3
gemini-2.5-flash,0.4816,8,3,14,3,3
llama-4-maverick-03-26-experimental,0.4684,9,3,14,3,3
deepseek-r1-0528,0.4294,10,3,19,3,3
claude-opus-4-20250514-thinking-16k,0.3509,11,4,21,5,3
claude-sonnet-4-20250514-thinking-32k,0.3174,12,6,23,8,4
claude-opus-4-20250514,0.2949,13,9,23,9,7
qwen3-235b-a22b-no-thinking,0.2921,14,9,23,10,7
gemini-2.5-flash-preview-04-17,0.2575,15,10,27,10,8
qwen3-235b-a22b,0.2267,16,11,30,11,8
qwen3-235b-a22b-instruct-2507,0.2168,17,4,35,5,3
kimi-k2-0711-preview,0.2129,18,11,31,11,8
gpt-4.1-2025-04-14,0.1912,19,11,31,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1257,20,12,32,15,11
mistral-medium-2505,0.1166,21,15,32,15,12
o4-mini-2025-04-16,0.1113,22,15,32,15,12
qwen-max-2025-01-25,0.0853,23,15,35,15,12
hunyuan-turbos-20250416,0.0579,24,12,38,15,11
grok-3-mini-beta,0.0573,25,16,35,16,15
gemini-2.0-flash-thinking-exp-01-21,0.0475,26,10,42,11,3
minimax-m1,0.0414,27,16,36,16,15
deepseek-v3-0324,0.0296,28,16,36,17,15
claude-sonnet-4-20250514,0.0291,29,17,36,18,16
grok-3-mini-high,0.0228,30,16,38,16,12
gpt-4o-2024-11-20,0.0017,31,11,42,12,5
gpt-4.1-mini-2025-04-14,-0.0141,32,19,38,19,16
gemma-3-27b-it,-0.0902,33,22,39,22,20
qwq-32b,-0.1053,34,22,41,22,19
qwen3-30b-a3b,-0.1107,35,22,41,23,19
o3-mini,-0.1605,36,27,42,27,22
gemini-2.0-flash-001,-0.1661,37,27,42,27,23
mistral-small-2506,-0.1981,38,24,43,28,22
claude-3-7-sonnet-20250219,-0.2631,39,31,43,32,28
command-a-03-2025,-0.2833,40,32,43,32,29
claude-3-7-sonnet-20250219-thinking-32k,-0.288,41,32,43,32,29
claude-3-5-sonnet-20241022,-0.327,42,34,44,35,32
amazon-nova-experimental-chat-05-14,-0.4258,43,36,48,38,34
llama-4-scout-17b-16e-instruct,-0.5362,44,42,49,43,36
llama-4-maverick-17b-128e-instruct,-0.5522,45,43,49,43,41
magistral-medium-2506,-0.6014,46,43,52,43,41
gemma-3n-e4b-it,-0.6501,47,43,52,43,43
mistral-small-3.1-24b-instruct-2503,-0.7819,48,44,52,45,44
claude-3-5-haiku-20241022,-0.8018,49,46,52,46,44
amazon.nova-pro-v1:0,-0.8306,50,46,52,46,45
llama-3.3-70b-instruct,-0.8344,51,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8754,52,44,52,44,42
