model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8844,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8487,2,1,4,1,1
grok-4-0709,0.6629,3,1,10,2,1
chatgpt-4o-latest-20250326,0.6258,4,2,8,2,2
grok-3-preview-02-24,0.5071,5,3,12,3,2
o3-2025-04-16,0.5024,6,3,12,3,3
gemini-2.5-pro-preview-05-06,0.4894,7,3,14,3,2
llama-4-maverick-03-26-experimental,0.4704,8,3,13,4,3
gemini-2.5-flash,0.4624,9,4,13,4,3
deepseek-r1-0528,0.4339,10,4,17,4,3
claude-opus-4-20250514-thinking-16k,0.3193,11,7,23,8,5
claude-opus-4-20250514,0.3083,12,9,22,10,7
qwen3-235b-a22b-no-thinking,0.2989,13,9,23,10,7
claude-sonnet-4-20250514-thinking-32k,0.2675,14,10,25,11,7
gemini-2.5-flash-preview-04-17,0.2603,15,11,25,11,8
kimi-k2-0711-preview,0.2271,16,11,28,11,7
gpt-4.1-2025-04-14,0.226,17,11,27,11,11
qwen3-235b-a22b,0.2253,18,11,28,11,9
qwen3-235b-a22b-instruct-2507,0.1671,19,7,36,10,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.1471,20,12,31,14,11
mistral-medium-2505,0.1241,21,14,31,14,14
o4-mini-2025-04-16,0.1162,22,14,32,14,14
hunyuan-turbos-20250416,0.1104,23,11,34,11,11
qwen-max-2025-01-25,0.0724,24,16,33,16,14
deepseek-v3-0324,0.0717,25,16,32,17,14
grok-3-mini-beta,0.057,26,17,33,18,14
gemini-2.0-flash-thinking-exp-01-21,0.0497,27,10,42,11,3
claude-sonnet-4-20250514,0.0393,28,18,35,19,16
minimax-m1,0.0185,29,19,36,19,16
grok-3-mini-high,-0.0225,30,19,38,19,16
gpt-4.1-mini-2025-04-14,-0.027,31,20,38,21,19
gpt-4o-2024-11-20,-0.0567,32,14,42,16,10
gemma-3-27b-it,-0.088,33,22,38,23,22
qwen3-30b-a3b,-0.1277,34,26,41,27,22
qwq-32b,-0.1518,35,26,42,27,22
gemini-2.0-flash-001,-0.1734,36,28,42,28,26
mistral-small-2506,-0.1764,37,26,42,27,22
o3-mini,-0.1808,38,28,42,29,26
claude-3-7-sonnet-20250219,-0.2541,39,32,43,32,29
command-a-03-2025,-0.2637,40,32,43,32,29
claude-3-7-sonnet-20250219-thinking-32k,-0.2916,41,32,43,33,31
claude-3-5-sonnet-20241022,-0.3287,42,33,44,36,32
amazon-nova-experimental-chat-05-14,-0.4499,43,39,48,41,36
llama-4-scout-17b-16e-instruct,-0.5282,44,42,48,43,38
llama-4-maverick-17b-128e-instruct,-0.5486,45,43,48,43,42
magistral-medium-2506,-0.6055,46,43,51,43,42
gemma-3n-e4b-it,-0.6693,47,43,52,43,43
mistral-small-3.1-24b-instruct-2503,-0.7866,48,46,52,46,44
llama-3.3-70b-instruct,-0.7867,49,46,52,46,44
claude-3-5-haiku-20241022,-0.7879,50,46,52,46,45
amazon.nova-pro-v1:0,-0.8433,51,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8452,52,44,52,44,42
