model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8516,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8263,2,1,4,1,1
chatgpt-4o-latest-20250326,0.6406,3,2,7,2,2
grok-4-0709,0.6361,4,1,10,1,1
grok-3-preview-02-24,0.545,5,2,12,3,2
o3-2025-04-16,0.5015,6,3,12,3,2
gemini-2.5-pro-preview-05-06,0.4926,7,3,14,3,2
llama-4-maverick-03-26-experimental,0.4568,8,4,14,4,2
deepseek-r1-0528,0.4524,9,4,14,4,3
gemini-2.5-flash,0.4327,10,4,16,4,4
claude-opus-4-20250514,0.3205,11,7,22,7,6
claude-opus-4-20250514-thinking-16k,0.3122,12,7,23,7,5
qwen3-235b-a22b-no-thinking,0.287,13,10,24,11,7
claude-sonnet-4-20250514-thinking-32k,0.2626,14,11,26,11,7
gpt-4.1-2025-04-14,0.2501,15,11,26,11,7
gemini-2.5-flash-preview-04-17,0.2469,16,11,26,11,7
kimi-k2-0711-preview,0.2196,17,11,29,11,7
qwen3-235b-a22b-instruct-2507,0.1793,18,6,35,7,3
qwen3-235b-a22b,0.1731,19,11,31,11,11
mistral-medium-2505,0.1494,20,12,31,14,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1351,21,12,31,13,11
o4-mini-2025-04-16,0.0997,22,14,32,15,13
hunyuan-turbos-20250416,0.0936,23,11,35,12,11
deepseek-v3-0324,0.0832,24,14,33,16,14
grok-3-mini-beta,0.0655,25,16,34,17,14
gemini-2.0-flash-thinking-exp-01-21,0.0545,26,8,42,11,3
qwen-max-2025-01-25,0.0381,27,17,35,17,14
claude-sonnet-4-20250514,0.0335,28,17,34,17,16
gpt-4o-2024-11-20,0.0185,29,11,42,11,5
gpt-4.1-mini-2025-04-14,-0.0088,30,18,37,20,17
grok-3-mini-high,-0.0381,31,18,40,20,17
minimax-m1,-0.0604,32,21,39,21,18
gemma-3-27b-it,-0.0706,33,22,39,22,20
qwen3-30b-a3b,-0.1534,34,25,42,26,23
mistral-small-2506,-0.1631,35,24,42,25,20
gemini-2.0-flash-001,-0.1799,36,27,42,28,25
qwq-32b,-0.1807,37,26,42,27,23
o3-mini,-0.2059,38,28,42,29,26
command-a-03-2025,-0.2328,39,29,42,31,27
claude-3-7-sonnet-20250219,-0.2465,40,31,43,32,28
claude-3-7-sonnet-20250219-thinking-32k,-0.2812,41,32,43,32,29
claude-3-5-sonnet-20241022,-0.3234,42,32,44,33,32
amazon-nova-experimental-chat-05-14,-0.4471,43,39,48,41,34
llama-4-scout-17b-16e-instruct,-0.5314,44,42,49,43,39
llama-4-maverick-17b-128e-instruct,-0.5592,45,43,49,43,42
magistral-medium-2506,-0.5711,46,43,51,43,41
gemma-3n-e4b-it,-0.6624,47,43,52,43,43
claude-3-5-haiku-20241022,-0.7581,48,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7584,49,44,52,44,43
llama-3.3-70b-instruct,-0.773,50,46,52,46,44
gpt-4o-mini-2024-07-18,-0.8084,51,43,52,44,41
amazon.nova-pro-v1:0,-0.8444,52,47,52,47,46
