model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9092,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8756,2,1,4,1,1
grok-4-0709,0.6514,3,1,10,2,1
chatgpt-4o-latest-20250326,0.5865,4,2,10,2,2
gemini-2.5-pro-preview-05-06,0.5262,5,3,13,3,2
o3-2025-04-16,0.5187,6,3,13,3,2
gemini-2.5-flash,0.4945,7,3,13,3,2
grok-3-preview-02-24,0.4924,8,3,13,3,2
llama-4-maverick-03-26-experimental,0.4711,9,3,15,3,3
deepseek-r1-0528,0.4425,10,3,20,3,3
claude-opus-4-20250514-thinking-16k,0.345,11,4,22,6,4
qwen3-235b-a22b-no-thinking,0.3072,12,8,23,9,5
claude-sonnet-4-20250514-thinking-32k,0.2827,13,8,27,9,5
claude-opus-4-20250514,0.2712,14,10,26,11,8
gemini-2.5-flash-preview-04-17,0.2595,15,10,29,10,5
qwen3-235b-a22b,0.2508,16,10,30,10,7
kimi-k2-0711-preview,0.2125,17,10,32,11,7
gpt-4.1-2025-04-14,0.1881,18,11,31,11,11
o4-mini-2025-04-16,0.1346,19,12,32,13,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1229,20,12,33,13,11
mistral-medium-2505,0.112,21,13,33,14,12
qwen3-235b-a22b-instruct-2507,0.1097,22,7,39,10,3
hunyuan-turbos-20250416,0.0951,23,11,38,11,9
qwen-max-2025-01-25,0.095,24,13,35,13,11
deepseek-v3-0324,0.0661,25,15,36,16,13
minimax-m1,0.0624,26,15,36,16,13
grok-3-mini-beta,0.054,27,15,36,17,13
grok-3-mini-high,0.0297,28,15,38,16,12
gpt-4o-2024-11-20,0.0208,29,11,42,11,4
gemini-2.0-flash-thinking-exp-01-21,0.0108,30,11,43,11,3
claude-sonnet-4-20250514,0.009,31,17,38,18,16
gpt-4.1-mini-2025-04-14,-0.0225,32,18,38,19,17
qwq-32b,-0.0846,33,20,39,22,18
gemma-3-27b-it,-0.0927,34,22,38,22,20
qwen3-30b-a3b,-0.1107,35,22,40,23,19
gemini-2.0-flash-001,-0.147,36,26,41,26,22
o3-mini,-0.1626,37,26,41,27,22
mistral-small-2506,-0.1885,38,24,43,26,19
claude-3-7-sonnet-20250219,-0.2813,39,31,44,31,29
command-a-03-2025,-0.3022,40,32,44,33,30
claude-3-7-sonnet-20250219-thinking-32k,-0.3178,41,33,44,34,30
claude-3-5-sonnet-20241022,-0.3527,42,35,45,36,31
amazon-nova-experimental-chat-05-14,-0.4045,43,36,48,37,31
llama-4-scout-17b-16e-instruct,-0.5242,44,38,48,40,36
llama-4-maverick-17b-128e-instruct,-0.5585,45,43,48,43,39
magistral-medium-2506,-0.6355,46,43,52,43,40
gemma-3n-e4b-it,-0.6538,47,43,52,43,40
claude-3-5-haiku-20241022,-0.8169,48,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.8257,49,46,52,46,44
amazon.nova-pro-v1:0,-0.8324,50,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8433,51,43,52,44,38
llama-3.3-70b-instruct,-0.8498,52,46,52,46,45
