model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8733,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.8394,2,1,4,1,1
chatgpt-4o-latest-20250326,0.6678,3,2,7,2,2
grok-4-0709,0.6489,4,1,10,1,1
grok-3-preview-02-24,0.5317,5,2,11,3,2
o3-2025-04-16,0.53,6,3,11,3,2
gemini-2.5-pro-preview-05-06,0.5239,7,2,11,3,2
deepseek-r1-0528,0.4668,8,4,16,4,2
llama-4-maverick-03-26-experimental,0.4584,9,4,16,4,2
gemini-2.5-flash,0.4391,10,4,16,4,4
claude-opus-4-20250514-thinking-16k,0.3038,11,7,24,8,6
claude-opus-4-20250514,0.3022,12,8,23,9,7
qwen3-235b-a22b-no-thinking,0.2996,13,8,24,10,7
gpt-4.1-2025-04-14,0.2528,14,11,26,11,7
gemini-2.5-flash-preview-04-17,0.2481,15,11,28,11,7
claude-sonnet-4-20250514-thinking-32k,0.2268,16,11,28,11,9
kimi-k2-0711-preview,0.2202,17,11,29,11,7
qwen3-235b-a22b,0.1885,18,11,30,11,11
mistral-medium-2505,0.149,19,11,31,13,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1337,20,11,32,13,11
hunyuan-turbos-20250416,0.1299,21,11,34,11,8
deepseek-v3-0324,0.1201,22,13,32,14,11
o4-mini-2025-04-16,0.1191,23,14,32,14,11
qwen3-235b-a22b-instruct-2507,0.0791,24,11,40,11,4
grok-3-mini-beta,0.063,25,15,34,16,14
qwen-max-2025-01-25,0.0424,26,15,36,16,14
gpt-4o-2024-11-20,0.0381,27,11,41,11,5
claude-sonnet-4-20250514,0.016,28,17,36,18,16
gemini-2.0-flash-thinking-exp-01-21,0.0145,29,9,43,11,3
gpt-4.1-mini-2025-04-14,-0.0157,30,19,37,20,17
grok-3-mini-high,-0.0377,31,18,39,19,15
minimax-m1,-0.0499,32,20,38,20,17
gemma-3-27b-it,-0.0716,33,23,39,23,20
mistral-small-2506,-0.1509,34,23,42,23,20
qwen3-30b-a3b,-0.1565,35,24,41,27,23
gemini-2.0-flash-001,-0.1644,36,27,41,27,23
qwq-32b,-0.1694,37,25,42,27,23
o3-mini,-0.2121,38,28,43,28,26
command-a-03-2025,-0.2445,39,29,43,30,28
claude-3-7-sonnet-20250219,-0.2604,40,30,43,31,28
claude-3-7-sonnet-20250219-thinking-32k,-0.3083,41,31,45,31,30
claude-3-5-sonnet-20241022,-0.3464,42,31,46,34,31
amazon-nova-experimental-chat-05-14,-0.4302,43,38,48,38,31
llama-4-scout-17b-16e-instruct,-0.5203,44,41,48,42,37
llama-4-maverick-17b-128e-instruct,-0.5654,45,43,49,43,41
magistral-medium-2506,-0.5959,46,43,51,43,40
gemma-3n-e4b-it,-0.6676,47,43,52,43,42
claude-3-5-haiku-20241022,-0.7675,48,46,52,46,44
gpt-4o-mini-2024-07-18,-0.7716,49,43,52,43,37
llama-3.3-70b-instruct,-0.7799,50,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7925,51,44,52,46,44
amazon.nova-pro-v1:0,-0.8473,52,46,52,47,46
