model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8274,1,1,5,1,1
gemini-2.5-pro-preview-03-25,0.6332,2,1,17,1,1
grok-4-0709,0.5824,3,1,18,1,1
grok-3-preview-02-24,0.581,4,2,14,2,1
chatgpt-4o-latest-20250326,0.5624,5,2,14,2,2
deepseek-r1-0528,0.5202,6,2,16,2,2
o3-2025-04-16,0.5033,7,2,16,2,2
llama-4-maverick-03-26-experimental,0.467,8,2,18,2,2
gemini-2.5-flash,0.4228,9,2,20,2,2
gemini-2.5-pro-preview-05-06,0.373,10,2,24,2,2
claude-opus-4-20250514-thinking-16k,0.3368,11,2,23,4,2
qwen3-235b-a22b-instruct-2507,0.3293,12,2,36,2,1
claude-opus-4-20250514,0.3141,13,4,23,5,2
claude-sonnet-4-20250514-thinking-32k,0.2811,14,4,31,6,2
qwen3-235b-a22b-no-thinking,0.274,15,6,30,6,4
gpt-4o-2024-11-20,0.2544,16,2,39,2,1
gpt-4.1-2025-04-14,0.2178,17,8,32,10,6
kimi-k2-0711-preview,0.2118,18,6,34,8,3
qwen3-235b-a22b,0.1835,19,10,34,10,6
mistral-medium-2505,0.1592,20,10,34,10,8
gemini-2.5-flash-preview-04-17,0.1522,21,10,36,10,7
o4-mini-2025-04-16,0.0979,22,12,36,13,10
hunyuan-turbos-20250416,0.0768,23,10,39,10,4
deepseek-v3-0324,0.0552,24,13,37,14,10
grok-3-mini-beta,0.0518,25,13,38,14,10
qwen-max-2025-01-25,0.0487,26,13,38,13,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.0388,27,13,38,14,10
gpt-4.1-mini-2025-04-14,0.0325,28,14,38,15,11
grok-3-mini-high,0.0048,29,13,39,15,10
claude-sonnet-4-20250514,0.001,30,15,38,16,14
gemini-2.0-flash-thinking-exp-01-21,-0.0086,31,5,47,8,1
mistral-small-2506,-0.0383,32,15,41,15,10
minimax-m1,-0.0591,33,16,39,16,15
qwen3-30b-a3b,-0.0708,34,16,39,18,15
gemma-3-27b-it,-0.0869,35,19,39,20,16
qwq-32b,-0.1167,36,19,42,20,15
gemini-2.0-flash-001,-0.1691,37,21,43,22,20
o3-mini,-0.1884,38,23,43,24,21
command-a-03-2025,-0.2478,39,28,47,28,22
claude-3-7-sonnet-20250219-thinking-32k,-0.3396,40,33,48,34,27
claude-3-5-sonnet-20241022,-0.3448,41,34,48,35,27
claude-3-7-sonnet-20250219,-0.3499,42,34,48,35,28
amazon-nova-experimental-chat-05-14,-0.4343,43,36,49,37,30
magistral-medium-2506,-0.5064,44,38,51,38,33
llama-4-scout-17b-16e-instruct,-0.5282,45,38,51,38,35
gemma-3n-e4b-it,-0.532,46,38,52,38,35
llama-4-maverick-17b-128e-instruct,-0.5824,47,39,51,41,39
claude-3-5-haiku-20241022,-0.7316,48,43,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7384,49,43,52,43,41
llama-3.3-70b-instruct,-0.8282,50,44,52,45,42
gpt-4o-mini-2024-07-18,-0.8334,51,40,52,43,32
amazon.nova-pro-v1:0,-0.8597,52,46,52,48,43
