model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8891,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.712,2,1,11,1,1
grok-4-0709,0.6372,3,1,12,1,1
chatgpt-4o-latest-20250326,0.553,4,2,14,2,2
grok-3-preview-02-24,0.509,5,2,15,2,2
o3-2025-04-16,0.5044,6,2,14,2,2
llama-4-maverick-03-26-experimental,0.4871,7,2,19,2,2
deepseek-r1-0528,0.4783,8,2,19,2,2
gemini-2.5-flash,0.4744,9,2,18,2,2
gemini-2.5-pro-preview-05-06,0.3913,10,2,22,2,2
claude-opus-4-20250514-thinking-16k,0.3454,11,4,22,4,2
qwen3-235b-a22b-no-thinking,0.2983,12,6,26,8,3
claude-opus-4-20250514,0.2935,13,8,24,9,3
claude-sonnet-4-20250514-thinking-32k,0.2877,14,5,28,7,2
qwen3-235b-a22b-instruct-2507,0.2855,15,2,37,2,1
qwen3-235b-a22b,0.2691,16,7,28,9,3
kimi-k2-0711-preview,0.2261,17,7,34,10,3
gemini-2.5-flash-preview-04-17,0.1906,18,10,34,10,9
gpt-4.1-2025-04-14,0.181,19,10,34,10,10
o4-mini-2025-04-16,0.1263,20,11,35,12,10
mistral-medium-2505,0.1123,21,14,35,14,10
hunyuan-turbos-20250416,0.1095,22,10,38,10,4
qwen-max-2025-01-25,0.1041,23,12,36,12,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.0772,24,14,37,14,10
minimax-m1,0.0757,25,14,36,14,10
gpt-4o-2024-11-20,0.0655,26,6,42,10,2
grok-3-mini-beta,0.04,27,15,38,16,14
deepseek-v3-0324,0.0395,28,15,38,16,14
grok-3-mini-high,0.0246,29,14,38,15,10
claude-sonnet-4-20250514,0.0164,30,16,38,16,15
gemini-2.0-flash-thinking-exp-01-21,-0.0011,31,7,43,10,2
gpt-4.1-mini-2025-04-14,-0.0078,32,16,38,16,15
qwen3-30b-a3b,-0.0405,33,16,38,19,16
qwq-32b,-0.079,34,19,39,19,16
mistral-small-2506,-0.0804,35,16,42,19,14
gemma-3-27b-it,-0.1158,36,21,39,22,19
o3-mini,-0.1483,37,23,42,24,21
gemini-2.0-flash-001,-0.1605,38,24,42,24,21
command-a-03-2025,-0.2998,39,32,46,32,28
claude-3-7-sonnet-20250219,-0.3418,40,34,47,34,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3474,41,34,48,35,32
claude-3-5-sonnet-20241022,-0.3503,42,34,48,35,32
amazon-nova-experimental-chat-05-14,-0.4414,43,37,48,38,32
llama-4-scout-17b-16e-instruct,-0.5226,44,38,50,38,37
llama-4-maverick-17b-128e-instruct,-0.5587,45,39,50,43,37
gemma-3n-e4b-it,-0.5656,46,38,52,40,37
magistral-medium-2506,-0.5758,47,38,52,40,37
claude-3-5-haiku-20241022,-0.7893,48,44,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.7904,49,44,52,44,43
llama-3.3-70b-instruct,-0.8422,50,46,52,46,44
amazon.nova-pro-v1:0,-0.8551,51,46,52,47,44
gpt-4o-mini-2024-07-18,-0.8907,52,43,52,43,38
