model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9329,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7189,2,1,11,1,1
grok-4-0709,0.6598,3,1,15,1,1
chatgpt-4o-latest-20250326,0.5848,4,2,13,2,2
o3-2025-04-16,0.5509,5,2,14,2,2
deepseek-r1-0528,0.5068,6,2,18,2,2
llama-4-maverick-03-26-experimental,0.4938,7,2,18,2,2
gemini-2.5-flash,0.4919,8,2,18,2,2
grok-3-preview-02-24,0.4842,9,2,18,2,2
gemini-2.5-pro-preview-05-06,0.4282,10,2,23,2,2
claude-opus-4-20250514-thinking-16k,0.3356,11,5,25,5,2
qwen3-235b-a22b-no-thinking,0.3226,12,5,25,5,3
qwen3-235b-a22b,0.3112,13,5,29,6,2
claude-opus-4-20250514,0.2567,14,10,30,10,4
claude-sonnet-4-20250514-thinking-32k,0.2299,15,10,31,10,4
kimi-k2-0711-preview,0.2282,16,7,35,9,3
gemini-2.5-flash-preview-04-17,0.1824,17,10,35,10,9
hunyuan-turbos-20250416,0.1756,18,6,38,9,2
gpt-4.1-2025-04-14,0.1749,19,10,35,10,10
o4-mini-2025-04-16,0.1629,20,10,35,11,10
qwen3-235b-a22b-instruct-2507,0.1434,21,3,39,5,2
qwen-max-2025-01-25,0.1224,22,11,35,11,10
minimax-m1,0.1126,23,11,36,12,10
mistral-medium-2505,0.1045,24,13,35,13,10
gpt-4o-2024-11-20,0.0985,25,5,39,6,2
deepseek-v3-0324,0.0949,26,13,37,13,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.0652,27,13,38,14,10
grok-3-mini-beta,0.0319,28,15,38,15,13
grok-3-mini-high,0.0312,29,13,38,14,10
claude-sonnet-4-20250514,-0.0166,30,16,38,16,15
gpt-4.1-mini-2025-04-14,-0.0186,31,16,38,16,15
qwen3-30b-a3b,-0.0296,32,15,38,16,14
qwq-32b,-0.0425,33,16,38,16,14
mistral-small-2506,-0.0466,34,15,39,15,11
gemini-2.0-flash-thinking-exp-01-21,-0.0636,35,10,47,10,2
gemma-3-27b-it,-0.1226,36,21,39,24,19
gemini-2.0-flash-001,-0.1322,37,23,40,24,19
o3-mini,-0.1499,38,24,41,24,20
command-a-03-2025,-0.3325,39,32,48,33,29
claude-3-7-sonnet-20250219,-0.3815,40,35,48,37,32
claude-3-5-sonnet-20241022,-0.3933,41,36,48,37,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3989,42,36,48,38,32
amazon-nova-experimental-chat-05-14,-0.4123,43,34,48,38,30
llama-4-scout-17b-16e-instruct,-0.5006,44,38,49,38,32
gemma-3n-e4b-it,-0.5597,45,38,52,38,36
llama-4-maverick-17b-128e-instruct,-0.5686,46,38,50,39,37
magistral-medium-2506,-0.6256,47,38,52,39,37
claude-3-5-haiku-20241022,-0.8109,48,44,52,46,43
gpt-4o-mini-2024-07-18,-0.845,49,39,52,40,34
mistral-small-3.1-24b-instruct-2503,-0.8576,50,44,52,46,42
amazon.nova-pro-v1:0,-0.8609,51,46,52,46,43
llama-3.3-70b-instruct,-0.8673,52,46,52,46,43
