model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9234,1,1,3,1,1
gemini-2.5-pro-preview-03-25,0.7347,2,1,10,1,1
grok-4-0709,0.6927,3,1,10,1,1
chatgpt-4o-latest-20250326,0.6677,4,2,9,2,2
o3-2025-04-16,0.5559,5,2,11,2,2
deepseek-r1-0528,0.4916,6,2,17,2,2
llama-4-maverick-03-26-experimental,0.4911,7,2,17,3,2
grok-3-preview-02-24,0.4863,8,2,17,3,2
gemini-2.5-flash,0.4599,9,3,18,3,2
gemini-2.5-pro-preview-05-06,0.4401,10,3,21,3,2
qwen3-235b-a22b-no-thinking,0.3223,11,6,24,6,5
claude-opus-4-20250514-thinking-16k,0.295,12,6,27,9,5
claude-opus-4-20250514,0.2868,13,10,26,10,6
qwen3-235b-a22b,0.2865,14,6,27,9,5
kimi-k2-0711-preview,0.2439,15,9,29,10,6
gpt-4.1-2025-04-14,0.229,16,10,29,10,10
hunyuan-turbos-20250416,0.2251,17,6,33,8,3
gemini-2.5-flash-preview-04-17,0.2095,18,10,31,10,10
claude-sonnet-4-20250514-thinking-32k,0.1812,19,11,32,11,10
o4-mini-2025-04-16,0.1558,20,11,33,12,10
deepseek-v3-0324,0.1381,21,11,33,12,10
mistral-medium-2505,0.1186,22,13,34,14,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.1133,23,12,34,12,11
qwen-max-2025-01-25,0.0951,24,12,36,13,11
qwen3-235b-a22b-instruct-2507,0.0867,25,6,39,10,2
minimax-m1,0.0628,26,15,36,15,12
grok-3-mini-beta,0.0374,27,15,37,16,14
claude-sonnet-4-20250514,0.0114,28,16,37,18,15
gpt-4o-2024-11-20,-0.0023,29,11,42,11,5
gpt-4.1-mini-2025-04-14,-0.0372,30,19,38,20,16
grok-3-mini-high,-0.0381,31,16,38,18,14
gemini-2.0-flash-thinking-exp-01-21,-0.0431,32,10,44,11,2
mistral-small-2506,-0.0563,33,18,39,18,14
qwen3-30b-a3b,-0.0764,34,21,38,23,17
gemma-3-27b-it,-0.1112,35,24,39,25,22
qwq-32b,-0.129,36,24,40,25,20
gemini-2.0-flash-001,-0.1533,37,26,40,27,23
o3-mini,-0.183,38,28,41,28,25
command-a-03-2025,-0.2885,39,29,45,31,29
claude-3-7-sonnet-20250219,-0.3336,40,33,46,33,29
claude-3-7-sonnet-20250219-thinking-32k,-0.3747,41,35,48,37,32
claude-3-5-sonnet-20241022,-0.3773,42,36,48,37,32
amazon-nova-experimental-chat-05-14,-0.4523,43,37,48,37,33
llama-4-scout-17b-16e-instruct,-0.4997,44,38,48,38,35
llama-4-maverick-17b-128e-instruct,-0.5587,45,40,49,40,38
gemma-3n-e4b-it,-0.6109,46,41,52,42,37
magistral-medium-2506,-0.6214,47,41,52,43,37
claude-3-5-haiku-20241022,-0.7883,48,46,52,46,44
llama-3.3-70b-instruct,-0.7893,49,46,52,46,44
gpt-4o-mini-2024-07-18,-0.805,50,41,52,43,36
mistral-small-3.1-24b-instruct-2503,-0.8398,51,46,52,46,44
amazon.nova-pro-v1:0,-0.8724,52,46,52,47,46
