model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.878,1,1,4,1,1
chatgpt-4o-latest-20250326,0.699,2,1,8,2,1
gemini-2.5-pro-preview-03-25,0.6724,3,1,11,1,1
grok-4-0709,0.6554,4,1,11,1,1
o3-2025-04-16,0.5621,5,2,13,2,2
grok-3-preview-02-24,0.5407,6,2,14,2,2
deepseek-r1-0528,0.53,7,2,14,2,2
llama-4-maverick-03-26-experimental,0.4749,8,3,19,3,2
gemini-2.5-pro-preview-05-06,0.4346,9,3,21,3,2
gemini-2.5-flash,0.4142,10,3,20,3,3
qwen3-235b-a22b-no-thinking,0.3079,11,7,25,8,4
claude-opus-4-20250514,0.3031,12,7,26,8,4
claude-opus-4-20250514-thinking-16k,0.2807,13,8,27,8,4
gpt-4.1-2025-04-14,0.267,14,8,28,9,5
kimi-k2-0711-preview,0.2343,15,8,32,9,4
hunyuan-turbos-20250416,0.2171,16,7,34,8,3
qwen3-235b-a22b,0.217,17,9,32,10,6
gemini-2.5-flash-preview-04-17,0.1806,18,10,33,10,9
deepseek-v3-0324,0.1675,19,10,33,11,9
claude-sonnet-4-20250514-thinking-32k,0.1612,20,10,33,11,9
mistral-medium-2505,0.1579,21,11,33,11,10
o4-mini-2025-04-16,0.1376,22,11,33,11,10
gpt-4o-2024-11-20,0.1266,23,5,39,8,2
qwen3-235b-a22b-instruct-2507,0.0954,24,8,39,8,2
gemini-2.5-flash-lite-preview-06-17-thinking,0.0895,25,13,35,13,10
grok-3-mini-beta,0.0473,26,15,37,15,13
qwen-max-2025-01-25,0.0456,27,14,37,15,11
claude-sonnet-4-20250514,-0.0006,28,15,37,16,15
gpt-4.1-mini-2025-04-14,-0.0112,29,15,38,17,15
mistral-small-2506,-0.0185,30,15,39,15,11
minimax-m1,-0.0492,31,17,39,20,15
grok-3-mini-high,-0.0636,32,16,39,17,14
gemini-2.0-flash-thinking-exp-01-21,-0.0722,33,9,48,11,2
gemma-3-27b-it,-0.0862,34,22,39,22,17
qwen3-30b-a3b,-0.107,35,22,39,23,16
gemini-2.0-flash-001,-0.1598,36,24,40,25,22
qwq-32b,-0.1702,37,24,44,24,22
o3-mini,-0.2223,38,27,45,28,24
command-a-03-2025,-0.2436,39,28,45,28,25
claude-3-7-sonnet-20250219,-0.3369,40,33,47,33,29
claude-3-7-sonnet-20250219-thinking-32k,-0.3741,41,33,48,36,30
claude-3-5-sonnet-20241022,-0.3785,42,34,48,36,30
amazon-nova-experimental-chat-05-14,-0.4477,43,36,48,37,31
llama-4-scout-17b-16e-instruct,-0.4991,44,38,51,39,33
magistral-medium-2506,-0.5647,45,39,51,39,34
llama-4-maverick-17b-128e-instruct,-0.5754,46,40,51,40,39
gemma-3n-e4b-it,-0.5901,47,39,52,39,37
gpt-4o-mini-2024-07-18,-0.7358,48,38,52,40,28
claude-3-5-haiku-20241022,-0.7437,49,44,52,44,42
llama-3.3-70b-instruct,-0.7654,50,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.8037,51,44,52,45,42
amazon.nova-pro-v1:0,-0.8779,52,47,52,48,44
