"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.20283325752251,1,1,23,1,1
"gemini-2.5-pro-preview-03",6.95351070201257,2,1,26,1,1
"grok-4-0709",5.41126922442771,4,1,40,1,1
"o3-2025-04-16",4.00739396121179,8,3,52,3,1
"chatgpt-4o-latest-2025032",4.65935158512914,6,2,52,2,1
"gemini-2.5-pro-preview-05",3.61036358169071,10,3,52,3,2
"deepseek-r1-0528",3.58702726316588,11,3,52,3,2
"grok-3-preview-02-24",5.45038121330193,3,1,40,1,1
"llama-4-maverick-03-26-ex",4.08072374549231,7,2,52,3,1
"gemini-2.5-flash",3.65333034862572,9,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.29285373017131,18,5,52,6,3
"gemini-2.5-flash-preview-",2.61613145169673,16,5,52,5,3
"gemini-2.0-flash-thinking",2.76381260636081,15,3,52,5,3
"kimi-k2-0711-preview",2.58512012303376,17,5,52,5,3
"gpt-4.1-2025-04-14",2.21605590938354,19,5,52,7,3
"deepseek-v3-0324",1.2558241524296,22,7,52,9,3
"o4-mini-2025-04-16",0.802855572949778,27,9,52,12,3
"mistral-medium-2505",1.14165436868499,23,8,52,10,3
"gemini-2.5-flash-lite-pre",1.51222288118415,21,7,52,9,3
"qwen-max-2025-01-25",0.687641002657558,28,12,52,13,3
"hunyuan-turbos-20250416",1.07693398406282,25,9,52,9,3
"qwen3-235b-a22b",1.67122939812289,20,7,52,7,3
"minimax-m1",-0.828446306366494,33,20,52,20,2
"claude-opus-4-20250514-th",2.92211245820693,14,3,52,5,2
"qwen3-235b-a22b-instruct-",4.73240523935075,5,1,52,1,1
"gemma-3-27b-it",0.403369364638722,29,13,52,15,3
"claude-opus-4-20250514",3.11848296259719,13,3,52,3,2
"grok-3-mini-beta",0.0581653080922848,30,15,52,18,3
"grok-3-mini-high",-0.181686696715516,31,16,52,19,3
"gpt-4o-2024-11-20",1.12556087887529,24,8,52,10,3
"claude-sonnet-4-20250514-",3.36370366163112,12,3,52,3,2
"gemini-2.0-flash-001",-0.894647619425674,34,20,52,20,1
"mistral-small-2506",-1.35639420089099,35,21,52,22,1
"gpt-4.1-mini-2025-04-14",-0.748732393238148,32,20,52,20,2
"qwq-32b",-2.55331833386004,41,30,52,31,1
"claude-sonnet-4-20250514",0.901352618090402,26,9,52,13,3
"qwen3-30b-a3b",-1.4234970053941,36,21,52,22,1
"command-a-03-2025",-2.02090389594504,38,27,52,29,1
"o3-mini",-2.22306645194159,39,28,52,30,1
"amazon-nova-experimental-",-4.90898128354944,43,38,52,40,1
"gemma-3n-e4b-it",-6.47447165871421,47,43,52,43,1
"claude-3-7-sonnet-2025021",-1.43466353933045,37,22,52,26,1
"claude-3-5-sonnet-2024102",-2.43541752009348,40,29,52,30,1
"llama-4-maverick-17b-128e",-6.47719498098079,48,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.59702253006346,42,30,52,31,1
"llama-4-scout-17b-16e-ins",-6.13160842033538,46,43,52,43,1
"llama-3.3-70b-instruct",-6.63430711232423,49,43,52,43,1
"amazon.nova-pro-v1:0",-8.99822591079023,52,45,52,47,1
"mistral-small-3.1-24b-ins",-8.49170982991474,50,45,52,45,1
"magistral-medium-2506",-6.13147339811551,45,43,52,43,1
"claude-3-5-haiku-20241022",-8.8460428528183,51,45,52,47,1
"gpt-4o-mini-2024-07-18",-5.07186061399312,44,38,52,40,1
