"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.72384195921868,1,1,25,1,1
"gemini-2.5-pro-preview-03",8.56078080440149,2,1,30,1,1
"grok-4-0709",7.35537255480337,4,1,35,1,1
"o3-2025-04-16",5.32223818243074,6,4,52,4,2
"chatgpt-4o-latest-2025032",7.7787547597752,3,1,48,1,1
"gemini-2.5-pro-preview-05",5.14158730663245,7,3,52,4,2
"deepseek-r1-0528",3.72353221523872,10,5,52,5,3
"grok-3-preview-02-24",5.84644257547428,5,3,52,3,2
"llama-4-maverick-03-26-ex",4.99287142050208,8,4,52,5,2
"gemini-2.5-flash",3.4104259883528,11,5,52,6,3
"qwen3-235b-a22b-no-thinki",1.99255848884653,13,9,52,9,3
"gemini-2.5-flash-preview-",2.34689304063913,12,8,52,9,3
"gemini-2.0-flash-thinking",4.01619817658304,9,3,52,4,3
"kimi-k2-0711-preview",1.94438388635227,14,9,52,9,3
"gpt-4.1-2025-04-14",1.78753562583331,17,9,52,9,3
"deepseek-v3-0324",1.455706053287,20,9,52,9,3
"o4-mini-2025-04-16",0.966124829250253,26,10,52,11,2
"mistral-medium-2505",1.13639559387171,23,9,52,10,3
"gemini-2.5-flash-lite-pre",1.34315658841647,22,9,52,10,3
"qwen-max-2025-01-25",0.984761487011356,25,9,52,11,2
"hunyuan-turbos-20250416",1.55235486854721,18,9,52,9,3
"qwen3-235b-a22b",1.46924251731583,19,9,52,9,3
"minimax-m1",-0.331360864722987,32,12,52,12,1
"claude-opus-4-20250514-th",1.78921525818968,16,9,52,9,3
"qwen3-235b-a22b-instruct-",1.3681749845781,21,9,52,9,3
"gemma-3-27b-it",0.202632584207834,29,12,52,12,2
"claude-opus-4-20250514",1.90190126695125,15,9,52,9,3
"grok-3-mini-beta",0.659961688138454,27,10,52,11,2
"grok-3-mini-high",0.172695140494776,31,11,52,12,2
"gpt-4o-2024-11-20",0.290852086121882,28,12,52,12,2
"claude-sonnet-4-20250514-",1.0958558916749,24,9,52,10,3
"gemini-2.0-flash-001",-1.65615161337244,36,21,52,25,1
"mistral-small-2506",-0.542464354889855,34,12,52,12,1
"gpt-4.1-mini-2025-04-14",-0.533984296039588,33,12,52,12,1
"qwq-32b",-2.94971132702491,39,32,52,32,1
"claude-sonnet-4-20250514",0.196904765472905,30,11,52,12,2
"qwen3-30b-a3b",-0.856114093440436,35,12,52,12,1
"command-a-03-2025",-2.30286787859849,37,27,52,28,1
"o3-mini",-3.71964619641841,40,33,52,36,1
"amazon-nova-experimental-",-5.40389843515662,44,37,52,38,1
"gemma-3n-e4b-it",-5.91774125972822,47,37,52,38,1
"claude-3-7-sonnet-2025021",-2.63527099064422,38,28,52,29,1
"claude-3-5-sonnet-2024102",-4.45879275745483,42,36,52,36,1
"llama-4-maverick-17b-128e",-5.91470785386119,46,38,52,39,1
"claude-3-7-sonnet-2025021.1",-3.86885980285232,41,35,52,36,1
"llama-4-scout-17b-16e-ins",-5.81640061691665,45,37,52,38,1
"llama-3.3-70b-instruct",-6.04764825121098,49,37,52,38,1
"amazon.nova-pro-v1:0",-8.93783185987369,50,45,52,49,1
"mistral-small-3.1-24b-ins",-8.9378318671112,51,45,52,49,1
"magistral-medium-2506",-5.93392536974622,48,37,52,38,1
"claude-3-5-haiku-20241022",-9.03869417917062,52,45,52,49,1
"gpt-4o-mini-2024-07-18",-4.72544872037974,43,36,52,37,1
