"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.7643280317171,1,1,20,1,1
"gemini-2.5-pro-preview-03",6.70619995096386,2,1,22,1,1
"grok-4-0709",5.36981870189845,4,1,31,1,1
"o3-2025-04-16",3.53969339327424,11,3,52,4,2
"chatgpt-4o-latest-2025032",4.2360560637826,6,2,52,3,1
"gemini-2.5-pro-preview-05",3.62395065956582,9,3,52,3,2
"deepseek-r1-0528",3.56478354381149,10,3,52,3,2
"grok-3-preview-02-24",5.60982766980243,3,1,30,1,1
"llama-4-maverick-03-26-ex",4.07118620202795,7,3,52,3,1
"gemini-2.5-flash",3.47462642564314,12,3,52,4,2
"qwen3-235b-a22b-no-thinki",2.03003065985104,18,6,52,7,3
"gemini-2.5-flash-preview-",2.4811296389375,16,6,52,6,3
"gemini-2.0-flash-thinking",3.17865152090813,14,3,52,5,2
"kimi-k2-0711-preview",2.3674314352534,17,6,52,6,3
"gpt-4.1-2025-04-14",1.90913857055767,19,6,52,8,3
"deepseek-v3-0324",0.849647181770662,25,13,52,16,3
"o4-mini-2025-04-16",-0.297182765076745,30,18,52,18,3
"mistral-medium-2505",0.283799431288321,28,16,52,17,3
"gemini-2.5-flash-lite-pre",1.09220236156907,23,13,52,15,3
"qwen-max-2025-01-25",0.88407824720961,24,13,52,15,3
"hunyuan-turbos-20250416",0.366541968626889,27,16,52,16,3
"qwen3-235b-a22b",1.29887896330189,21,8,52,8,3
"minimax-m1",-0.654978525948539,34,18,52,20,3
"claude-opus-4-20250514-th",3.03461611562995,15,5,52,5,3
"qwen3-235b-a22b-instruct-",4.96453388043238,5,1,52,1,1
"gemma-3-27b-it",0.526270622132851,26,15,52,16,3
"claude-opus-4-20250514",3.21892739958452,13,3,52,5,2
"grok-3-mini-beta",-0.316282762182296,31,18,52,19,3
"grok-3-mini-high",-0.192052380214617,29,18,52,18,3
"gpt-4o-2024-11-20",1.69559198955645,20,6,52,8,3
"claude-sonnet-4-20250514-",3.62802455074983,8,3,52,3,2
"gemini-2.0-flash-001",-0.594119048059977,33,17,52,18,3
"mistral-small-2506",-1.0549044439168,35,19,52,21,2
"gpt-4.1-mini-2025-04-14",-0.494910248876567,32,18,52,20,3
"qwq-32b",-3.19679551421029,42,33,52,35,1
"claude-sonnet-4-20250514",1.17266379870149,22,8,52,13,3
"qwen3-30b-a3b",-1.13476463752572,36,19,52,21,2
"command-a-03-2025",-2.08944516769347,38,27,52,29,1
"o3-mini",-2.5409444186884,40,29,52,30,1
"amazon-nova-experimental-",-4.927924388322,44,39,52,40,1
"gemma-3n-e4b-it",-5.94165594499173,48,41,52,42,1
"claude-3-7-sonnet-2025021",-1.28809090246297,37,22,52,24,1
"claude-3-5-sonnet-2024102",-2.40659721606565,39,29,52,29,1
"llama-4-maverick-17b-128e",-5.93182075349983,47,41,52,42,1
"claude-3-7-sonnet-2025021.1",-2.67496903940677,41,29,52,31,1
"llama-4-scout-17b-16e-ins",-5.69629235820212,46,41,52,42,1
"llama-3.3-70b-instruct",-6.0899726579598,49,40,52,42,1
"amazon.nova-pro-v1:0",-8.72115348899139,52,46,52,49,1
"mistral-small-3.1-24b-ins",-8.10617599790081,50,45,52,45,1
"magistral-medium-2506",-5.65493920201716,45,41,52,42,1
"claude-3-5-haiku-20241022",-8.39661308486724,51,45,52,47,1
"gpt-4o-mini-2024-07-18",-4.54004403146779,43,38,52,38,1
