"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.90708734328309,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.93554693609571,2,1,28,1,1
"grok-4-0709",7.16555466939518,4,1,33,1,1
"o3-2025-04-16",4.51457569897136,8,5,52,5,2
"chatgpt-4o-latest-2025032",7.2028334786168,3,1,41,1,1
"gemini-2.5-pro-preview-05",5.10309549041793,6,3,52,3,1
"deepseek-r1-0528",3.49972757393079,10,5,52,6,2
"grok-3-preview-02-24",5.74632250636545,5,2,52,2,1
"llama-4-maverick-03-26-ex",4.76363730927078,7,3,52,5,2
"gemini-2.5-flash",2.8812582874966,11,6,52,6,3
"qwen3-235b-a22b-no-thinki",1.78754196307525,14,9,52,9,3
"gemini-2.5-flash-preview-",2.07996567383711,12,7,52,8,3
"gemini-2.0-flash-thinking",4.02187830639799,9,3,52,3,2
"kimi-k2-0711-preview",1.68217085715036,16,9,52,9,3
"gpt-4.1-2025-04-14",1.56531971390827,17,9,52,9,3
"deepseek-v3-0324",1.48272823364303,19,9,52,10,3
"o4-mini-2025-04-16",0.808426717731756,26,10,52,10,3
"mistral-medium-2505",1.00367153130243,24,10,52,10,3
"gemini-2.5-flash-lite-pre",1.20890291679851,22,9,52,10,3
"qwen-max-2025-01-25",0.980810805461584,25,10,52,10,3
"hunyuan-turbos-20250416",1.50623878227312,18,9,52,10,3
"qwen3-235b-a22b",1.2472097443062,21,9,52,10,3
"minimax-m1",-0.104149225959004,30,11,52,11,2
"claude-opus-4-20250514-th",1.74949229219168,15,9,52,9,3
"qwen3-235b-a22b-instruct-",1.39927054458355,20,9,52,10,3
"gemma-3-27b-it",-0.208044882682202,32,12,52,12,1
"claude-opus-4-20250514",1.84243521949325,13,8,52,9,3
"grok-3-mini-beta",0.507366929931534,29,10,52,11,2
"grok-3-mini-high",-0.163029562382672,31,11,52,11,1
"gpt-4o-2024-11-20",0.641562380108784,27,10,52,11,3
"claude-sonnet-4-20250514-",1.10389121110142,23,9,52,10,3
"gemini-2.0-flash-001",-1.43861755364893,36,20,52,23,1
"mistral-small-2506",-0.285277656329525,33,11,52,11,1
"gpt-4.1-mini-2025-04-14",-0.305896943532966,34,11,52,11,1
"qwq-32b",-3.42068786034465,40,35,52,36,1
"claude-sonnet-4-20250514",0.514612689425556,28,10,52,11,2
"qwen3-30b-a3b",-0.614257410601827,35,11,52,11,1
"command-a-03-2025",-2.04348275663685,37,26,52,27,1
"o3-mini",-3.68590110841803,41,35,52,36,1
"amazon-nova-experimental-",-5.04121253259501,44,37,52,37,1
"gemma-3n-e4b-it",-5.41670090711297,48,37,52,37,1
"claude-3-7-sonnet-2025021",-2.4323852847576,38,27,52,30,1
"claude-3-5-sonnet-2024102",-3.92671798378993,42,36,52,36,1
"llama-4-maverick-17b-128e",-5.39958648999698,47,37,52,38,1
"claude-3-7-sonnet-2025021.1",-3.2851259184448,39,30,52,35,1
"llama-4-scout-17b-16e-ins",-5.27823041595197,45,37,52,38,1
"llama-3.3-70b-instruct",-5.53111325504731,49,37,52,37,1
"amazon.nova-pro-v1:0",-8.91027283809295,51,45,52,50,1
"mistral-small-3.1-24b-ins",-8.92360637069802,52,46,52,50,1
"magistral-medium-2506",-5.38243051482515,46,37,52,37,1
"claude-3-5-haiku-20241022",-8.89684981977795,50,45,52,49,1
"gpt-4o-mini-2024-07-18",-4.15955851493777,43,36,52,36,1
