"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.83074555487157,1,1,23,1,1
"gemini-2.5-pro-preview-03",6.94028782294019,2,1,24,1,1
"grok-4-0709",4.78311485600717,5,2,43,2,1
"o3-2025-04-16",3.71771636826681,8,3,52,3,2
"chatgpt-4o-latest-2025032",4.43264568872207,6,2,52,3,1
"gemini-2.5-pro-preview-05",3.60259912150749,10,3,52,3,2
"deepseek-r1-0528",3.46323003509116,12,3,52,3,2
"grok-3-preview-02-24",5.65899071723361,3,1,36,1,1
"llama-4-maverick-03-26-ex",4.15381544295561,7,3,52,3,1
"gemini-2.5-flash",3.70673270420625,9,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.10053275950566,19,6,52,7,3
"gemini-2.5-flash-preview-",3.10480186929244,15,3,52,4,2
"gemini-2.0-flash-thinking",3.28001009281685,13,3,52,4,2
"kimi-k2-0711-preview",2.6699225023693,17,4,52,5,3
"gpt-4.1-2025-04-14",2.27184356521567,18,5,52,6,3
"deepseek-v3-0324",1.5640502767365,21,7,52,8,3
"o4-mini-2025-04-16",0.983101910130768,26,8,52,10,3
"mistral-medium-2505",1.33815497109905,23,7,52,8,3
"gemini-2.5-flash-lite-pre",2.0212205633336,20,6,52,7,3
"qwen-max-2025-01-25",0.891551991071193,27,11,52,14,3
"hunyuan-turbos-20250416",1.28083732782465,24,8,52,8,3
"qwen3-235b-a22b",1.36556100191848,22,7,52,8,3
"minimax-m1",-1.02649265105354,33,21,52,22,1
"claude-opus-4-20250514-th",2.8611930002472,16,4,52,4,3
"qwen3-235b-a22b-instruct-",4.92123582755991,4,1,52,1,1
"gemma-3-27b-it",0.860687687094259,28,11,52,14,3
"claude-opus-4-20250514",3.11410872376041,14,3,52,4,2
"grok-3-mini-beta",0.193196652673349,29,16,52,18,3
"grok-3-mini-high",-0.0802277413537347,30,18,52,18,3
"gpt-4o-2024-11-20",-0.281200003305865,31,18,52,18,3
"claude-sonnet-4-20250514-",3.46834835325097,11,3,52,3,2
"gemini-2.0-flash-001",-0.541910225961879,32,18,52,19,2
"mistral-small-2506",-2.84774035672934,42,30,52,31,1
"gpt-4.1-mini-2025-04-14",-1.18092155394858,35,22,52,25,1
"qwq-32b",-2.76219126547448,41,30,52,31,1
"claude-sonnet-4-20250514",1.18704334495994,25,8,52,11,3
"qwen3-30b-a3b",-1.85395049845584,37,27,52,29,1
"command-a-03-2025",-1.67841734538513,36,26,52,29,1
"o3-mini",-1.90475872186337,38,27,52,29,1
"amazon-nova-experimental-",-4.88884945891056,43,40,52,41,1
"gemma-3n-e4b-it",-6.6228983787994,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.11535922417828,34,21,52,24,1
"claude-3-5-sonnet-2024102",-1.94948449994321,39,27,52,29,1
"llama-4-maverick-17b-128e",-6.60888825593606,47,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.11164939279123,40,29,52,29,1
"llama-4-scout-17b-16e-ins",-6.0183185988009,46,43,52,43,1
"llama-3.3-70b-instruct",-6.73130920039533,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.10991811089517,52,47,52,47,1
"mistral-small-3.1-24b-ins",-8.44873452522861,50,45,52,45,1
"magistral-medium-2506",-5.98114827777512,45,43,52,43,1
"claude-3-5-haiku-20241022",-8.90164571920564,51,45,52,47,1
"gpt-4o-mini-2024-07-18",-5.12126672627089,44,41,52,41,1
