"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.90254612673652,1,1,20,1,1
"gemini-2.5-pro-preview-03",6.83859028377316,2,1,24,1,1
"grok-4-0709",5.50304108659192,5,1,34,2,1
"o3-2025-04-16",4.12546460941559,8,3,52,3,2
"chatgpt-4o-latest-2025032",5.83622515143713,3,1,34,1,1
"gemini-2.5-pro-preview-05",3.9196586703768,9,3,52,4,2
"deepseek-r1-0528",3.53740901143713,11,4,52,6,3
"grok-3-preview-02-24",5.62461773265675,4,1,32,1,1
"llama-4-maverick-03-26-ex",4.45309705296262,7,3,48,3,2
"gemini-2.5-flash",3.83414860393789,10,3,52,4,2
"qwen3-235b-a22b-no-thinki",2.27431175987769,19,7,52,8,4
"gemini-2.5-flash-preview-",2.93220318611895,16,6,52,6,3
"gemini-2.0-flash-thinking",3.12760166792427,14,6,52,6,3
"kimi-k2-0711-preview",2.70588504188516,17,6,52,6,3
"gpt-4.1-2025-04-14",2.46912067526311,18,6,52,8,3
"deepseek-v3-0324",1.76247347145859,22,8,52,11,5
"o4-mini-2025-04-16",1.14557010444972,26,11,52,14,6
"mistral-medium-2505",1.44271287245649,24,11,52,12,6
"gemini-2.5-flash-lite-pre",2.05239397662534,20,8,52,9,4
"qwen-max-2025-01-25",0.802887270443529,27,15,52,17,6
"hunyuan-turbos-20250416",1.77275279879104,21,9,52,11,5
"qwen3-235b-a22b",1.65850650885479,23,9,52,11,5
"minimax-m1",-1.04725520566571,33,26,52,27,2
"claude-opus-4-20250514-th",2.95268477675156,15,6,52,6,3
"qwen3-235b-a22b-instruct-",4.48704363278179,6,1,52,2,1
"gemma-3-27b-it",0.651617502423817,29,15,52,17,5
"claude-opus-4-20250514",3.43083137891636,12,4,52,6,3
"grok-3-mini-beta",0.721503798926561,28,14,52,16,6
"grok-3-mini-high",-0.384122402491109,30,21,52,23,3
"gpt-4o-2024-11-20",-0.578308192007077,31,21,52,23,3
"claude-sonnet-4-20250514-",3.37182405547027,13,3,52,4,3
"gemini-2.0-flash-001",-0.782429434916077,32,21,52,24,2
"mistral-small-2506",-2.63787864796044,41,30,52,31,1
"gpt-4.1-mini-2025-04-14",-1.20905443740428,34,26,52,27,2
"qwq-32b",-3.00969999739226,42,30,52,32,1
"claude-sonnet-4-20250514",1.43211408226491,25,11,52,12,6
"qwen3-30b-a3b",-1.83332253909259,37,30,52,30,1
"command-a-03-2025",-1.60311906428533,36,27,52,30,1
"o3-mini",-1.97377771639934,38,30,52,30,1
"amazon-nova-experimental-",-5.26355011773509,43,42,52,42,1
"gemma-3n-e4b-it",-6.89621259128463,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.25697980759368,35,27,52,27,1
"claude-3-5-sonnet-2024102",-2.06911836508061,39,30,52,30,1
"llama-4-maverick-17b-128e",-6.83183908828809,47,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.08602161260115,40,30,52,30,1
"llama-4-scout-17b-16e-ins",-6.283807620831,45,43,52,43,1
"llama-3.3-70b-instruct",-6.96715867532151,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.72064674655267,52,49,52,50,1
"mistral-small-3.1-24b-ins",-9.08112481525864,50,47,52,47,1
"magistral-medium-2506",-6.31479683278385,46,43,52,43,1
"claude-3-5-haiku-20241022",-9.49367403728791,51,47,52,50,1
"gpt-4o-mini-2024-07-18",-5.44493894277639,44,42,52,43,1
