"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.53330476159802,2,1,49,1,1
"gemini-2.5-pro-preview-03",9.78017843507146,1,1,52,1,1
"grok-4-0709",7.70039694937919,3,1,52,1,1
"o3-2025-04-16",4.06657709915958,8,4,52,4,1
"chatgpt-4o-latest-2025032",4.84320071919047,6,3,52,4,1
"gemini-2.5-pro-preview-05",5.93133462538015,4,3,52,3,1
"deepseek-r1-0528",3.45001008643873,11,4,52,4,1
"grok-3-preview-02-24",5.69865620908691,5,3,52,3,1
"llama-4-maverick-03-26-ex",3.83609533119242,9,4,52,4,1
"gemini-2.5-flash",3.5149010239685,10,4,52,4,1
"qwen3-235b-a22b-no-thinki",1.68270304079085,15,6,52,7,1
"gemini-2.5-flash-preview-",2.49344045731904,12,5,52,6,1
"gemini-2.0-flash-thinking",4.12465170617488,7,3,52,3,1
"kimi-k2-0711-preview",1.51277645239227,17,6,52,7,1
"gpt-4.1-2025-04-14",1.34786899113101,18,7,52,7,1
"deepseek-v3-0324",0.756970391538308,21,7,52,9,1
"o4-mini-2025-04-16",0.324869534099305,27,9,52,10,1
"mistral-medium-2505",0.636090235761531,25,7,52,9,1
"gemini-2.5-flash-lite-pre",1.28786451871249,19,7,52,7,1
"qwen-max-2025-01-25",0.679233014196519,23,7,52,9,1
"hunyuan-turbos-20250416",0.462297543184505,26,9,52,10,1
"qwen3-235b-a22b",0.668670097261943,24,7,52,9,1
"minimax-m1",-0.0932053064675475,31,10,52,10,1
"claude-opus-4-20250514-th",2.11645972331748,13,6,52,6,1
"qwen3-235b-a22b-instruct-",1.16088451477584,20,7,52,7,1
"gemma-3-27b-it",-0.327029963416823,33,12,52,12,1
"claude-opus-4-20250514",1.6962154635112,14,6,52,7,1
"grok-3-mini-beta",0.179213968120877,28,9,52,10,1
"grok-3-mini-high",0.0597056403211358,29,9,52,10,1
"gpt-4o-2024-11-20",0.69976518693394,22,7,52,9,1
"claude-sonnet-4-20250514-",1.63233471577659,16,6,52,7,1
"gemini-2.0-flash-001",-1.64022874935671,36,14,52,17,1
"mistral-small-2506",-0.388623531419123,34,9,52,11,1
"gpt-4.1-mini-2025-04-14",-0.16207585336881,32,10,52,12,1
"qwq-32b",-3.09214336858014,40,27,52,29,1
"claude-sonnet-4-20250514",-0.0402181177990162,30,10,52,11,1
"qwen3-30b-a3b",-0.622226195417941,35,9,52,11,1
"command-a-03-2025",-2.53803940877694,38,21,52,22,1
"o3-mini",-3.8577079378229,42,33,52,35,1
"amazon-nova-experimental-",-4.39320541462385,44,36,52,36,1
"gemma-3n-e4b-it",-5.49412281594552,48,36,52,36,1
"claude-3-7-sonnet-2025021",-2.52136993851777,37,21,52,22,1
"claude-3-5-sonnet-2024102",-3.66438378737551,41,30,52,33,1
"llama-4-maverick-17b-128e",-5.40758738863942,47,36,52,36,1
"claude-3-7-sonnet-2025021.1",-2.92117152226185,39,23,52,27,1
"llama-4-scout-17b-16e-ins",-5.32312621177314,45,36,52,36,1
"llama-3.3-70b-instruct",-5.57472460733403,49,36,52,36,1
"amazon.nova-pro-v1:0",-8.09887348687296,51,44,52,45,1
"mistral-small-3.1-24b-ins",-8.08517463928175,50,44,52,45,1
"magistral-medium-2506",-5.36674402322171,46,36,52,37,1
"claude-3-5-haiku-20241022",-8.11247913765205,52,44,52,45,1
"gpt-4o-mini-2024-07-18",-4.15220902985964,43,33,52,36,1
