"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.6644547393337,1,1,47,1,1
"gemini-2.5-pro-preview-03",10.4239014313031,2,1,52,1,1
"grok-4-0709",7.99133235213008,3,1,52,1,1
"o3-2025-04-16",5.3969281757204,7,3,52,3,1
"chatgpt-4o-latest-2025032",6.02624463435745,4,3,52,3,1
"gemini-2.5-pro-preview-05",5.85098559822608,5,3,52,3,1
"deepseek-r1-0528",3.78491251747787,11,4,52,4,1
"grok-3-preview-02-24",5.81161155881803,6,3,52,3,1
"llama-4-maverick-03-26-ex",4.25580703900382,8,4,52,4,1
"gemini-2.5-flash",3.95805967611151,10,4,52,4,1
"qwen3-235b-a22b-no-thinki",1.89138809988648,14,8,52,8,1
"gemini-2.5-flash-preview-",2.74718050523749,12,5,52,7,1
"gemini-2.0-flash-thinking",4.02891230425983,9,3,52,3,1
"kimi-k2-0711-preview",1.79007944157616,15,8,52,8,1
"gpt-4.1-2025-04-14",1.60000849522334,17,8,52,8,1
"deepseek-v3-0324",0.909025711434715,22,8,52,11,1
"o4-mini-2025-04-16",0.634033944969314,26,9,52,12,1
"mistral-medium-2505",0.890066406743495,23,9,52,11,1
"gemini-2.5-flash-lite-pre",1.3607077669202,19,8,52,8,1
"qwen-max-2025-01-25",0.75433798933576,25,9,52,12,1
"hunyuan-turbos-20250416",0.767271162837616,24,9,52,11,1
"qwen3-235b-a22b",1.05973070103591,21,8,52,10,1
"minimax-m1",-0.396264650181132,32,12,52,12,1
"claude-opus-4-20250514-th",2.06450921286322,13,8,52,8,1
"qwen3-235b-a22b-instruct-",1.19240465518341,20,8,52,9,1
"gemma-3-27b-it",0.136919514797523,30,12,52,12,1
"claude-opus-4-20250514",1.75806900927079,16,8,52,8,1
"grok-3-mini-beta",0.44704694568402,27,10,52,12,1
"grok-3-mini-high",0.28735264879584,29,11,52,12,1
"gpt-4o-2024-11-20",0.2952803649244,28,12,52,12,1
"claude-sonnet-4-20250514-",1.51844791472809,18,8,52,8,1
"gemini-2.0-flash-001",-1.84777048934713,36,18,52,20,1
"mistral-small-2506",-0.696795422452654,34,12,52,12,1
"gpt-4.1-mini-2025-04-14",-0.468093874324888,33,12,52,12,1
"qwq-32b",-2.91589591772375,39,27,52,31,1
"claude-sonnet-4-20250514",-0.394993178007837,31,12,52,12,1
"qwen3-30b-a3b",-0.93537689317429,35,12,52,12,1
"command-a-03-2025",-2.74355909935903,37,26,52,28,1
"o3-mini",-3.81461074876448,41,31,52,34,1
"amazon-nova-experimental-",-4.89188398779839,44,36,52,36,1
"gemma-3n-e4b-it",-6.04772240668714,48,37,52,37,1
"claude-3-7-sonnet-2025021",-2.74904690878193,38,26,52,28,1
"claude-3-5-sonnet-2024102",-4.2774475291773,42,35,52,36,1
"llama-4-maverick-17b-128e",-5.99454213969787,47,37,52,37,1
"claude-3-7-sonnet-2025021.1",-3.56420022402329,40,31,52,34,1
"llama-4-scout-17b-16e-ins",-5.91976952736888,45,37,52,37,1
"llama-3.3-70b-instruct",-6.15288519162759,49,37,52,37,1
"amazon.nova-pro-v1:0",-8.55029743965123,51,45,52,45,1
"mistral-small-3.1-24b-ins",-8.52957130560896,50,45,52,45,1
"magistral-medium-2506",-5.99113688491355,46,37,52,37,1
"claude-3-5-haiku-20241022",-8.63452859295759,52,45,52,45,1
"gpt-4o-mini-2024-07-18",-4.78061810656073,43,36,52,36,1
